Experiment	bias spectroscopy	
Saved Date	29.06.2018 19:16:29	
User		
Date		
X (m)	-314.596E-9	
Y (m)	-55.1683E-9	
Z (m)	-50.1844E-9	
Z offset (m)	0E+0	
Settling time (s)	20E-3	
Integration time (s)	40E-3	
Z-Ctrl hold	TRUE	
Final Z (m)	N/A	
Start time	29.06.2018 19:13:28	
Filter type	Gaussian	
Order	2	
Cutoff frq		

[DATA]
Bias calc (V)	Current (A)	Bias (V)	Z (m)	LI Demod 1 X (A)	LI Demod 1 Y (A)	Current [bwd] (A)	Bias [bwd] (V)	Z [bwd] (m)	LI Demod 1 X [bwd] (A)	LI Demod 1 Y [bwd] (A)	Current (A) [filt]	Bias (V) [filt]	Z (m) [filt]	LI Demod 1 X (A) [filt]	LI Demod 1 Y (A) [filt]	Current (A) [bwd] [filt]	Bias (V) [bwd] [filt]	Z (m) [bwd] [filt]	LI Demod 1 X (A) [bwd] [filt]	LI Demod 1 Y (A) [bwd] [filt]
-500.00000E-3	-399.28705E-12	-500.00000E-3	-50.184369E-9	7.6107766E-12	955.56907E-15	-442.31196E-12	-500.00000E-3	-50.184369E-9	8.3828977E-12	725.23124E-15	-399.28705E-12	-500.00000E-3	-50.184369E-9	7.6107766E-12	955.56907E-15	-442.31196E-12	-500.00000E-3	-50.184369E-9	8.3828977E-12	725.23124E-15
-498.99900E-3	-402.30280E-12	-498.99900E-3	-50.184369E-9	7.6083861E-12	538.34666E-15	-439.50024E-12	-498.99900E-3	-50.184369E-9	8.2329907E-12	725.42010E-15	-398.66382E-12	-498.99900E-3	-50.184369E-9	7.5728347E-12	757.66780E-15	-440.22821E-12	-498.99900E-3	-50.184369E-9	8.2503735E-12	719.76350E-15
-497.99800E-3	-396.19083E-12	-497.99800E-3	-50.184369E-9	7.4704487E-12	603.68567E-15	-439.02276E-12	-497.99800E-3	-50.184369E-9	8.0424400E-12	737.72726E-15	-397.78764E-12	-497.99800E-3	-50.184369E-9	7.5567903E-12	646.97575E-15	-438.16653E-12	-497.99800E-3	-50.184369E-9	8.1970620E-12	733.35408E-15
-496.99700E-3	-395.08063E-12	-496.99700E-3	-50.184369E-9	7.5722891E-12	645.74409E-15	-435.45223E-12	-496.99700E-3	-50.184369E-9	8.1748341E-12	649.50378E-15	-396.17351E-12	-496.99700E-3	-50.184369E-9	7.5287884E-12	638.00636E-15	-436.43889E-12	-496.99700E-3	-50.184369E-9	8.2149192E-12	730.71681E-15
-495.99600E-3	-396.80084E-12	-495.99600E-3	-50.184369E-9	7.5954642E-12	688.63209E-15	-434.61620E-12	-495.99600E-3	-50.184369E-9	8.4025243E-12	923.89692E-15	-394.36948E-12	-495.99600E-3	-50.184369E-9	7.4805448E-12	646.12616E-15	-434.42450E-12	-495.99600E-3	-50.184369E-9	8.2277336E-12	742.53142E-15
-494.99500E-3	-391.65024E-12	-494.99500E-3	-50.184369E-9	7.3132993E-12	682.11512E-15	-434.44817E-12	-494.99500E-3	-50.184369E-9	8.2737905E-12	532.97010E-15	-392.88414E-12	-494.99500E-3	-50.184369E-9	7.3676083E-12	653.76800E-15	-432.13649E-12	-494.99500E-3	-50.184369E-9	8.2009260E-12	753.21476E-15
-493.99400E-3	-390.19024E-12	-493.99400E-3	-50.184369E-9	7.3380902E-12	497.64386E-15	-427.07940E-12	-493.99400E-3	-50.184369E-9	7.9523835E-12	894.91397E-15	-391.58599E-12	-493.99400E-3	-50.184369E-9	7.2865880E-12	665.79164E-15	-430.19505E-12	-493.99400E-3	-50.184369E-9	8.1461114E-12	760.16033E-15
-492.99300E-3	-391.45295E-12	-492.99300E-3	-50.184369E-9	6.8906734E-12	841.44389E-15	-427.99334E-12	-492.99300E-3	-50.184369E-9	8.1283357E-12	794.30147E-15	-390.53411E-12	-492.99300E-3	-50.184369E-9	7.2478178E-12	727.25376E-15	-428.85365E-12	-492.99300E-3	-50.184369E-9	8.1076344E-12	722.70369E-15
-491.99200E-3	-390.31087E-12	-491.99200E-3	-50.184369E-9	7.6193158E-12	693.61183E-15	-429.90017E-12	-491.99200E-3	-50.184369E-9	8.1836421E-12	638.81013E-15	-389.37392E-12	-491.99200E-3	-50.184369E-9	7.2883236E-12	800.96081E-15	-427.90699E-12	-491.99200E-3	-50.184369E-9	8.0991056E-12	679.94156E-15
-490.99100E-3	-388.12095E-12	-490.99100E-3	-50.184369E-9	7.1755874E-12	1.0192954E-12	-427.13832E-12	-490.99100E-3	-50.184369E-9	8.0529611E-12	530.84799E-15	-387.72724E-12	-490.99100E-3	-50.184369E-9	7.3093059E-12	851.74673E-15	-426.88930E-12	-490.99100E-3	-50.184369E-9	8.0917903E-12	610.13922E-15
