Experiment	bias spectroscopy	
Saved Date	29.06.2018 18:50:34	
User		
Date		
X (m)	-314.596E-9	
Y (m)	-55.1683E-9	
Z (m)	-50.1827E-9	
Z offset (m)	0E+0	
Settling time (s)	20E-3	
Integration time (s)	40E-3	
Z-Ctrl hold	TRUE	
Final Z (m)	N/A	
Start time	29.06.2018 18:47:55	
Filter type	Gaussian	
Order	2	
Cutoff frq		

[DATA]
Bias calc (V)	Current (A)	Bias (V)	Z (m)	LI Demod 1 X (A)	LI Demod 1 Y (A)	Current [bwd] (A)	Bias [bwd] (V)	Z [bwd] (m)	LI Demod 1 X [bwd] (A)	LI Demod 1 Y [bwd] (A)	Current (A) [filt]	Bias (V) [filt]	Z (m) [filt]	LI Demod 1 X (A) [filt]	LI Demod 1 Y (A) [filt]	Current (A) [bwd] [filt]	Bias (V) [bwd] [filt]	Z (m) [bwd] [filt]	LI Demod 1 X (A) [bwd] [filt]	LI Demod 1 Y (A) [bwd] [filt]
-500.00000E-3	-398.26309E-12	-500.00000E-3	-50.182663E-9	7.6810650E-12	657.64332E-15	-413.90316E-12	-500.00000E-3	-50.182663E-9	7.9406516E-12	869.65472E-15	-398.26309E-12	-500.00000E-3	-50.182663E-9	7.6810650E-12	657.64332E-15	-413.90316E-12	-500.00000E-3	-50.182663E-9	7.9406516E-12	869.65472E-15
-498.99900E-3	-398.73913E-12	-498.99900E-3	-50.182663E-9	7.6710279E-12	738.50789E-15	-410.87164E-12	-498.99900E-3	-50.182663E-9	7.7903569E-12	737.86355E-15	-397.50792E-12	-498.99900E-3	-50.182663E-9	7.6430242E-12	682.63564E-15	-412.06405E-12	-498.99900E-3	-50.182663E-9	7.8436294E-12	811.00654E-15
-497.99800E-3	-395.79220E-12	-497.99800E-3	-50.182663E-9	7.6175897E-12	579.17126E-15	-410.47615E-12	-497.99800E-3	-50.182663E-9	7.6533398E-12	724.22775E-15	-396.67139E-12	-497.99800E-3	-50.182663E-9	7.6036330E-12	715.64212E-15	-410.41412E-12	-497.99800E-3	-50.182663E-9	7.8087103E-12	782.45505E-15
-496.99700E-3	-395.91558E-12	-496.99700E-3	-50.182663E-9	7.4921336E-12	908.55871E-15	-409.90297E-12	-496.99700E-3	-50.182663E-9	7.9385673E-12	878.94270E-15	-395.54995E-12	-496.99700E-3	-50.182663E-9	7.5566159E-12	746.97979E-15	-408.80244E-12	-496.99700E-3	-50.182663E-9	7.8039086E-12	773.45519E-15
-495.99600E-3	-394.69211E-12	-495.99600E-3	-50.182663E-9	7.5816332E-12	687.79574E-15	-406.87004E-12	-495.99600E-3	-50.182663E-9	7.8630600E-12	743.66945E-15	-393.77107E-12	-495.99600E-3	-50.182663E-9	7.5137995E-12	790.06289E-15	-406.96890E-12	-495.99600E-3	-50.182663E-9	7.7795522E-12	760.75935E-15
-494.99500E-3	-392.67017E-12	-494.99500E-3	-50.182663E-9	7.4354438E-12	796.77795E-15	-404.28921E-12	-494.99500E-3	-50.182663E-9	7.6449524E-12	689.57307E-15	-391.54904E-12	-494.99500E-3	-50.182663E-9	7.4932534E-12	828.81076E-15	-404.90314E-12	-494.99500E-3	-50.182663E-9	7.7238537E-12	749.54870E-15
-493.99400E-3	-387.03693E-12	-493.99400E-3	-50.182663E-9	7.4373615E-12	1.0138740E-12	-403.19187E-12	-493.99400E-3	-50.182663E-9	7.6270804E-12	744.25345E-15	-389.44620E-12	-493.99400E-3	-50.182663E-9	7.5035117E-12	844.59414E-15	-402.92847E-12	-493.99400E-3	-50.182663E-9	7.6501323E-12	766.66462E-15
-492.99300E-3	-387.03332E-12	-492.99300E-3	-50.182663E-9	7.5827374E-12	742.88714E-15	-401.03107E-12	-492.99300E-3	-50.182663E-9	7.6337851E-12	806.84157E-15	-387.82957E-12	-492.99300E-3	-50.182663E-9	7.4886573E-12	870.07794E-15	-401.27798E-12	-492.99300E-3	-50.182663E-9	7.6144282E-12	776.23352E-15
-491.99200E-3	-389.03233E-12	-491.99200E-3	-50.182663E-9	7.5815829E-12	857.78259E-15	-399.40704E-12	-491.99200E-3	-50.182663E-9	7.5454426E-12	928.72769E-15	-386.66739E-12	-491.99200E-3	-50.182663E-9	7.4674251E-12	885.91954E-15	-399.79162E-12	-491.99200E-3	-50.182663E-9	7.6094062E-12	760.66253E-15
-490.99100E-3	-384.28508E-12	-490.99100E-3	-50.182663E-9	7.1980056E-12	1.0107313E-12	-398.84712E-12	-490.99100E-3	-50.182663E-9	7.6505469E-12	524.56412E-15	-385.37368E-12	-490.99100E-3	-50.182663E-9	7.4282828E-12	873.12015E-15	-398.30142E-12	-490.99100E-3	-50.182663E-9	7.6047311E-12	715.10338E-15
-489.99000E-3	-384.13805E-12	-489.99000E-3	-50.182663E-9	7.5134187E-12	873.02236E-15	-396.81236E-12	-489.99000E-3	-50.182663E-9	7.6269017E-12	722.28221E-15	-383.92126E-12	-489.99000E-3	-50.182663E-9	7.4310402E-12	830.39451E-15	-397.44319E-12	-489.99000E-3	-50.182663E-9	7.6147829E-12	689.02387E-15
-488.98900E-3	-381.54366E-12	-488.98900E-3	-50.182663E-9	7.3950195E-12	661.96392E-15	-394.90006E-12	-488.98900E-3	-50.182663E-9	7.5297173E-12	673.86450E-15	-382.70992E-12	-488.98900E-3	-50.182663E-9	7.4401301E-12	782.34001E-15	-397.39159E-12	-488.98900E-3	-50.182663E-9	7.6412158E-12	678.66605E-15
-487.98800E-3	-382.48396E-12	-487.98800E-3	-50.182663E-9	7.6261627E-12	661.92662E-15	-399.60574E-12	-487.98800E-3	-50.182663E-9	7.7555531E-12	739.16811E-15	-381.95497E-12	-487.98800E-3	-50.182663E-9	7.4552708E-12	765.95333E-15	-397.72519E-12	-487.98800E-3	-50.182663E-9	7.6864097E-12	691.47932E-15
-486.98699E-3	-381.75993E-12	-486.98699E-3	-50.182663E-9	7.2558942E-12	944.10525E-15	-399.24769E-12	-486.98699E-3	-50.182663E-9	7.7232188E-12	625.40175E-15	-380.99018E-12	-486.98699E-3	-50.182663E-9	7.4290704E-12	785.86530E-15	-397.82044E-12	-486.98699E-3	-50.182663E-9	7.7155730E-12	692.14410E-15
-485.98599E-3	-379.61745E-12	-485.98599E-3	-50.182663E-9	7.4822249E-12	784.65603E-15	-396.28370E-12	-485.98599E-3	-50.182663E-9	7.8117625E-12	708.22184E-15	-379.75964E-12	-485.98599E-3	-50.182663E-9	7.4073065E-12	802.10952E-15	-397.19830E-12	-485.98599E-3	-50.182663E-9	7.7121139E-12	699.73254E-15
-484.98499E-3	-378.08809E-12	-484.98499E-3	-50.182663E-9	7.4040878E-12	744.56402E-15	-396.33499E-12	-484.98499E-3	-50.182663E-9	7.5923729E-12	758.26167E-15	-378.22409E-12	-484.98499E-3	-50.182663E-9	7.3637034E-12	783.32300E-15	-395.82018E-12	-484.98499E-3	-50.182663E-9	7.6580660E-12	696.96430E-15
-483.98399E-3	-376.72590E-12	-483.98399E-3	-50.182663E-9	7.3121552E-12	810.95471E-15	-394.76608E-12	-483.98399E-3	-50.182663E-9	7.6277882E-12	670.67288E-15	-376.51621E-12	-483.98399E-3	-50.182663E-9	7.2898449E-12	756.94507E-15	-394.21241E-12	-483.98399E-3	-50.182663E-9	7.6121262E-12	676.65199E-15
-482.98299E-3	-375.27983E-12	-482.98299E-3	-50.182663E-9	7.2199564E-12	666.58029E-15	-392.24357E-12	-482.98299E-3	-50.182663E-9	7.5102077E-12	633.73010E-15	-374.73466E-12	-482.98299E-3	-50.182663E-9	7.1996025E-12	743.85805E-15	-392.62918E-12	-482.98299E-3	-50.182663E-9	7.6032973E-12	644.70526E-15
-481.98199E-3	-372.13471E-12	-481.98199E-3	-50.182663E-9	6.9429237E-12	799.93363E-15	-390.31067E-12	-481.98199E-3	-50.182663E-9	7.6274976E-12	579.43282E-15	-373.18551E-12	-481.98199E-3	-50.182663E-9	7.1536214E-12	724.21702E-15	-390.87114E-12	-481.98199E-3	-50.182663E-9	7.6315360E-12	636.38434E-15
-480.98099E-3	-371.18783E-12	-480.98099E-3	-50.182663E-9	7.2449030E-12	692.45900E-15	-390.35597E-12	-480.98099E-3	-50.182663E-9	7.7641886E-12	644.19092E-15	-371.84253E-12	-480.98099E-3	-50.182663E-9	7.1940925E-12	698.16684E-15	-389.29032E-12	-480.98099E-3	-50.182663E-9	7.6780700E-12	660.91940E-15
-479.97999E-3	-372.29697E-12	-479.97999E-3	-50.182663E-9	7.2341477E-12	620.90909E-15	-386.68491E-12	-479.97999E-3	-50.182663E-9	7.6222891E-12	745.99848E-15	-370.70691E-12	-479.97999E-3	-50.182663E-9	7.2729964E-12	697.54082E-15	-387.72704E-12	-479.97999E-3	-50.182663E-9	7.6982734E-12	674.64269E-15
-478.97899E-3	-368.60429E-12	-478.97899E-3	-50.182663E-9	7.4770407E-12	693.38323E-15	-386.79598E-12	-478.97899E-3	-50.182663E-9	7.8369837E-12	725.97587E-15	-369.59144E-12	-478.97899E-3	-50.182663E-9	7.3378222E-12	712.88613E-15	-386.25064E-12	-478.97899E-3	-50.182663E-9	7.6887776E-12	655.94063E-15
-477.97799E-3	-368.39004E-12	-477.97799E-3	-50.182663E-9	7.3361820E-12	823.01472E-15	-384.38186E-12	-477.97799E-3	-50.182663E-9	7.5424042E-12	531.68169E-15	-368.63626E-12	-477.97799E-3	-50.182663E-9	7.3351481E-12	736.01525E-15	-384.80061E-12	-477.97799E-3	-50.182663E-9	7.6510586E-12	629.05405E-15
