Experiment	bias spectroscopy	
Saved Date	29.06.2018 19:19:59	
User		
Date		
X (m)	-314.596E-9	
Y (m)	-55.1683E-9	
Z (m)	-50.189E-9	
Z offset (m)	0E+0	
Settling time (s)	20E-3	
Integration time (s)	40E-3	
Z-Ctrl hold	TRUE	
Final Z (m)	N/A	
Start time	29.06.2018 19:17:38	
Filter type	Gaussian	
Order	2	
Cutoff frq		

[DATA]
Bias calc (V)	Current (A)	Bias (V)	Z (m)	LI Demod 1 X (A)	LI Demod 1 Y (A)	Current [bwd] (A)	Bias [bwd] (V)	Z [bwd] (m)	LI Demod 1 X [bwd] (A)	LI Demod 1 Y [bwd] (A)	Current (A) [filt]	Bias (V) [filt]	Z (m) [filt]	LI Demod 1 X (A) [filt]	LI Demod 1 Y (A) [filt]	Current (A) [bwd] [filt]	Bias (V) [bwd] [filt]	Z (m) [bwd] [filt]	LI Demod 1 X (A) [bwd] [filt]	LI Demod 1 Y (A) [bwd] [filt]
-500.00000E-3	-401.73187E-12	-500.00000E-3	-50.188994E-9	7.6989951E-12	724.91595E-15	-423.74065E-12	-500.00000E-3	-50.188994E-9	8.1713603E-12	759.05726E-15	-401.73187E-12	-500.00000E-3	-50.188994E-9	7.6989951E-12	724.91595E-15	-423.74065E-12	-500.00000E-3	-50.188994E-9	8.1713603E-12	759.05726E-15
-498.99900E-3	-394.06631E-12	-498.99900E-3	-50.188994E-9	7.6917197E-12	493.02950E-15	-423.01734E-12	-498.99900E-3	-50.188994E-9	7.9825192E-12	875.48978E-15	-397.90618E-12	-498.99900E-3	-50.188994E-9	7.6885685E-12	782.09309E-15	-423.14813E-12	-498.99900E-3	-50.188994E-9	8.1153695E-12	844.97546E-15
-497.99800E-3	-395.84555E-12	-497.99800E-3	-50.188994E-9	7.6915583E-12	1.0119470E-12	-423.22179E-12	-497.99800E-3	-50.188994E-9	8.1287060E-12	957.83819E-15	-395.21139E-12	-497.99800E-3	-50.188994E-9	7.6940719E-12	840.61149E-15	-421.75302E-12	-497.99800E-3	-50.188994E-9	8.0379202E-12	863.55500E-15
-496.99700E-3	-393.11615E-12	-496.99700E-3	-50.188994E-9	7.6339013E-12	1.0275835E-12	-420.77750E-12	-496.99700E-3	-50.188994E-9	8.0848965E-12	907.33806E-15	-394.08254E-12	-496.99700E-3	-50.188994E-9	7.6888261E-12	916.43121E-15	-419.86417E-12	-496.99700E-3	-50.188994E-9	7.9683152E-12	820.40348E-15
-495.99600E-3	-393.82680E-12	-495.99600E-3	-50.188994E-9	7.8283447E-12	830.58013E-15	-415.16138E-12	-495.99600E-3	-50.188994E-9	7.6755347E-12	593.80994E-15	-393.06775E-12	-495.99600E-3	-50.188994E-9	7.6508418E-12	948.87271E-15	-418.00710E-12	-495.99600E-3	-50.188994E-9	7.9098663E-12	773.40071E-15
-494.99500E-3	-393.53479E-12	-494.99500E-3	-50.188994E-9	7.5340853E-12	1.0172291E-12	-417.07601E-12	-494.99500E-3	-50.188994E-9	7.9174774E-12	717.75376E-15	-391.27634E-12	-494.99500E-3	-50.188994E-9	7.5692100E-12	896.54011E-15	-416.70800E-12	-494.99500E-3	-50.188994E-9	7.8907011E-12	765.42760E-15
-493.99400E-3	-387.13530E-12	-493.99400E-3	-50.188994E-9	7.4106580E-12	896.01005E-15	-416.63409E-12	-493.99400E-3	-50.188994E-9	7.9413533E-12	911.40095E-15	-389.52327E-12	-493.99400E-3	-50.188994E-9	7.4908985E-12	833.53452E-15	-415.49059E-12	-493.99400E-3	-50.188994E-9	7.9004676E-12	790.18297E-15
-492.99300E-3	-386.66478E-12	-492.99300E-3	-50.188994E-9	7.3870614E-12	578.18957E-15	-415.06878E-12	-492.99300E-3	-50.188994E-9	7.9720007E-12	807.39706E-15	-388.16150E-12	-492.99300E-3	-50.188994E-9	7.4433021E-12	803.45702E-15	-413.95573E-12	-492.99300E-3	-50.188994E-9	7.9859938E-12	780.86100E-15
-491.99200E-3	-389.27006E-12	-491.99200E-3	-50.188994E-9	7.4999651E-12	818.34680E-15	-410.24792E-12	-491.99200E-3	-50.188994E-9	7.8268147E-12	773.94195E-15	-386.94162E-12	-491.99200E-3	-50.188994E-9	7.3774892E-12	770.35058E-15	-412.05395E-12	-491.99200E-3	-50.188994E-9	8.0893478E-12	727.73444E-15
-490.99100E-3	-386.68246E-12	-490.99100E-3	-50.188994E-9	7.4545517E-12	974.56884E-15	-409.98918E-12	-490.99100E-3	-50.188994E-9	8.5240330E-12	510.13013E-15	-385.84733E-12	-490.99100E-3	-50.188994E-9	7.2850640E-12	734.75438E-15	-410.66484E-12	-490.99100E-3	-50.188994E-9	8.1595061E-12	643.50099E-15
-489.99000E-3	-381.55337E-12	-489.99000E-3	-50.188994E-9	6.8279939E-12	488.69849E-15	-410.37185E-12	-489.99000E-3	-50.188994E-9	8.2791760E-12	710.48538E-15	-384.50568E-12	-489.99000E-3	-50.188994E-9	7.2002643E-12	697.44037E-15	-409.53338E-12	-489.99000E-3	-50.188994E-9	8.1357265E-12	586.84844E-15
-488.98900E-3	-384.60399E-12	-488.98900E-3	-50.188994E-9	7.2350259E-12	583.37103E-15	-409.60038E-12	-488.98900E-3	-50.188994E-9	7.8070883E-12	424.19510E-15	-383.17471E-12	-488.98900E-3	-50.188994E-9	7.1560002E-12	674.62426E-15	-408.26256E-12	-488.98900E-3	-50.188994E-9	8.0396531E-12	562.30297E-15
-487.98800E-3	-382.95023E-12	-487.98800E-3	-50.188994E-9	7.3005829E-12	798.75679E-15	-405.43283E-12	-487.98800E-3	-50.188994E-9	7.9283810E-12	570.42446E-15	-381.95058E-12	-487.98800E-3	-50.188994E-9	7.2062369E-12	662.06773E-15	-406.58321E-12	-487.98800E-3	-50.188994E-9	7.8972896E-12	567.23636E-15
-486.98699E-3	-379.68945E-12	-486.98699E-3	-50.188994E-9	7.0309435E-12	753.54789E-15	-404.42469E-12	-486.98699E-3	-50.188994E-9	7.9159465E-12	658.99657E-15	-380.58320E-12	-486.98699E-3	-50.188994E-9	7.3557870E-12	677.93308E-15	-404.94236E-12	-486.98699E-3	-50.188994E-9	7.8133949E-12	510.74385E-15
-485.98599E-3	-378.79999E-12	-485.98599E-3	-50.188994E-9	7.6381713E-12	436.81508E-15	-404.10400E-12	-485.98599E-3	-50.188994E-9	7.5823505E-12	523.88313E-15	-378.56365E-12	-485.98599E-3	-50.188994E-9	7.4693741E-12	678.41371E-15	-403.34994E-12	-485.98599E-3	-50.188994E-9	7.7834614E-12	500.29734E-15
-484.98499E-3	-377.75599E-12	-484.98499E-3	-50.188994E-9	7.8786257E-12	821.61556E-15	-402.42798E-12	-484.98499E-3	-50.188994E-9	7.7866290E-12	40.140034E-15	-376.35711E-12	-484.98499E-3	-50.188994E-9	7.5302577E-12	711.40495E-15	-401.47927E-12	-484.98499E-3	-50.188994E-9	7.7469402E-12	542.88334E-15
-483.98399E-3	-372.86113E-12	-483.98399E-3	-50.188994E-9	7.2411018E-12	752.58614E-15	-398.89381E-12	-483.98399E-3	-50.188994E-9	7.8980425E-12	1.0042441E-12	-374.50934E-12	-483.98399E-3	-50.188994E-9	7.4871108E-12	782.45792E-15	-399.66419E-12	-483.98399E-3	-50.188994E-9	7.6990948E-12	651.82798E-15
-482.98299E-3	-371.45156E-12	-482.98299E-3	-50.188994E-9	7.4663027E-12	863.80480E-15	-395.87192E-12	-482.98299E-3	-50.188994E-9	7.4986050E-12	856.89057E-15	-373.03194E-12	-482.98299E-3	-50.188994E-9	7.3616495E-12	833.38431E-15	-398.41661E-12	-482.98299E-3	-50.188994E-9	7.6750065E-12	749.37132E-15
-481.98199E-3	-374.29915E-12	-481.98199E-3	-50.188994E-9	7.2199859E-12	954.19267E-15	-399.49574E-12	-481.98199E-3	-50.188994E-9	7.5141672E-12	682.63217E-15	-372.12972E-12	-481.98199E-3	-50.188994E-9	7.2911390E-12	789.13086E-15	-397.65952E-12	-481.98199E-3	-50.188994E-9	7.6895643E-12	752.41836E-15
-480.98099E-3	-370.28278E-12	-480.98099E-3	-50.188994E-9	7.1153001E-12	677.75988E-15	-398.02753E-12	-480.98099E-3	-50.188994E-9	7.9112186E-12	768.05603E-15	-371.25353E-12	-480.98099E-3	-50.188994E-9	7.2774911E-12	676.57007E-15	-396.55762E-12	-480.98099E-3	-50.188994E-9	7.7190632E-12	671.08244E-15
-479.97999E-3	-370.84683E-12	-479.97999E-3	-50.188994E-9	7.5360196E-12	454.67880E-15	-394.43909E-12	-479.97999E-3	-50.188994E-9	7.8928834E-12	436.01868E-15	-369.92745E-12	-479.97999E-3	-50.188994E-9	7.2659478E-12	571.53658E-15	-394.94547E-12	-479.97999E-3	-50.188994E-9	7.7439799E-12	633.18594E-15
-478.97899E-3	-368.10757E-12	-478.97899E-3	-50.188994E-9	7.1039962E-12	368.11794E-15	-391.51274E-12	-478.97899E-3	-50.188994E-9	7.4829795E-12	694.85216E-15	-368.51416E-12	-478.97899E-3	-50.188994E-9	7.2238283E-12	552.82298E-15	-393.04979E-12	-478.97899E-3	-50.188994E-9	7.7343765E-12	673.75093E-15
-477.97799E-3	-366.15702E-12	-477.97799E-3	-50.188994E-9	7.2395510E-12	712.29519E-15	-392.51394E-12	-477.97799E-3	-50.188994E-9	7.7675219E-12	703.62867E-15	-367.19197E-12	-477.97799E-3	-50.188994E-9	7.1387575E-12	628.44353E-15	-391.23960E-12	-477.97799E-3	-50.188994E-9	7.7211250E-12	728.28798E-15
-476.97699E-3	-367.90249E-12	-476.97699E-3	-50.188994E-9	6.9639012E-12	800.13508E-15	-390.44346E-12	-476.97699E-3	-50.188994E-9	7.8351761E-12	962.11483E-15	-365.43665E-12	-476.97699E-3	-50.188994E-9	7.0360280E-12	782.27138E-15	-389.25899E-12	-476.97699E-3	-50.188994E-9	7.7438412E-12	759.66626E-15
-475.97599E-3	-362.90801E-12	-475.97599E-3	-50.188994E-9	6.9112719E-12	761.91429E-15	-385.68335E-12	-475.97599E-3	-50.188994E-9	7.6859569E-12	663.36048E-15	-363.47669E-12	-475.97599E-3	-50.188994E-9	6.9899368E-12	879.91913E-15	-387.55579E-12	-475.97599E-3	-50.188994E-9	7.7677838E-12	730.58069E-15
-474.97499E-3	-359.89101E-12	-474.97496E-3	-50.188994E-9	6.9973719E-12	1.3391018E-12	-384.46432E-12	-474.97496E-3	-50.188994E-9	7.8288339E-12	596.67912E-15	-361.80403E-12	-474.97496E-3	-50.188994E-9	7.0176512E-12	890.18479E-15	-386.27057E-12	-474.97496E-3	-50.188994E-9	7.7426633E-12	717.97754E-15
-473.97399E-3	-360.56377E-12	-473.97396E-3	-50.188994E-9	6.9935342E-12	565.12667E-15	-388.11904E-12	-473.97396E-3	-50.188994E-9	7.7185628E-12	733.56783E-15	-360.73827E-12	-473.97396E-3	-50.188994E-9	7.0804590E-12	832.87565E-15	-385.34900E-12	-473.97396E-3	-50.188994E-9	7.6744444E-12	727.66934E-15
-472.97299E-3	-361.19430E-12	-472.97296E-3	-50.188994E-9	7.4027850E-12	719.64841E-15	-384.33742E-12	-472.97296E-3	-50.188994E-9	7.5869840E-12	886.18322E-15	-360.14394E-12	-472.97296E-3	-50.188994E-9	7.1305366E-12	772.24360E-15	-384.15901E-12	-472.97296E-3	-50.188994E-9	7.5992398E-12	778.86986E-15
-471.97196E-3	-359.87108E-12	-471.97196E-3	-50.188994E-9	6.9794639E-12	799.67570E-15	-381.49939E-12	-471.97196E-3	-50.188994E-9	7.4013165E-12	717.67706E-15	-358.97901E-12	-471.97196E-3	-50.188994E-9	7.0752241E-12	765.46050E-15	-382.58208E-12	-471.97196E-3	-50.188994E-9	7.5379451E-12	792.58095E-15
-470.97096E-3	-357.23055E-12	-470.97096E-3	-50.188994E-9	7.1335104E-12	728.74654E-15	-380.61584E-12	-470.97096E-3	-50.188994E-9	7.5693557E-12	894.80246E-15	-357.19627E-12	-470.97096E-3	-50.188994E-9	6.9685811E-12	839.89440E-15	-380.82024E-12	-470.97096E-3	-50.188994E-9	7.5132713E-12	773.42082E-15
-469.96996E-3	-353.98109E-12	-469.96996E-3	-50.188994E-9	6.6003774E-12	1.0474955E-12	-380.43457E-12	-469.96996E-3	-50.188994E-9	7.5584122E-12	640.64514E-15	-355.50851E-12	-469.96996E-3	-50.188994E-9	6.8772180E-12	877.40655E-15	-379.42616E-12	-469.96996E-3	-50.188994E-9	7.5372694E-12	750.73536E-15
-468.96896E-3	-354.24902E-12	-468.96896E-3	-50.188994E-9	6.8425023E-12	907.92299E-15	-377.23721E-12	-468.96896E-3	-50.188994E-9	7.4285465E-12	729.80462E-15	-354.15115E-12	-468.96896E-3	-50.188994E-9	6.8806675E-12	879.50594E-15	-377.74303E-12	-468.96896E-3	-50.188994E-9	7.5494585E-12	740.44297E-15
-467.96796E-3	-354.31871E-12	-467.96796E-3	-50.188994E-9	7.0584250E-12	742.89733E-15	-376.72715E-12	-467.96796E-3	-50.188994E-9	7.7779909E-12	822.37006E-15	-353.12686E-12	-467.96796E-3	-50.188994E-9	6.9348151E-12	872.83875E-15	-375.93811E-12	-467.96796E-3	-50.188994E-9	7.5214088E-12	760.50001E-15
-466.96696E-3	-350.81099E-12	-466.96696E-3	-50.188994E-9	6.9486309E-12	886.58605E-15	-372.69784E-12	-466.96696E-3	-50.188994E-9	7.3554721E-12	652.83385E-15	-352.04967E-12	-466.96696E-3	-50.188994E-9	6.9937220E-12	838.17491E-15	-374.37720E-12	-466.96696E-3	-50.188994E-9	7.4616624E-12	816.37540E-15
-465.96596E-3	-351.55989E-12	-465.96596E-3	-50.188994E-9	7.0994243E-12	948.02313E-15	-373.40639E-12	-465.96596E-3	-50.188994E-9	7.3348185E-12	1.0050861E-12	-351.02224E-12	-465.96596E-3	-50.188994E-9	6.9946935E-12	810.81393E-15	-373.11410E-12	-465.96596E-3	-50.188994E-9	7.3867700E-12	864.16220E-15
-464.96496E-3	-349.45066E-12	-464.96496E-3	-50.188994E-9	6.9067625E-12	605.98586E-15	-373.16242E-12	-464.96496E-3	-50.188994E-9	7.3822970E-12	935.30695E-15	-349.87702E-12	-464.96496E-3	-50.188994E-9	6.9620711E-12	784.66817E-15	-371.86057E-12	-464.96496E-3	-50.188994E-9	7.3260408E-12	874.33462E-15
-463.96396E-3	-350.03858E-12	-463.96396E-3	-50.188994E-9	6.9299388E-12	778.96879E-15	-369.48541E-12	-463.96396E-3	-50.188994E-9	7.2124962E-12	819.65207E-15	-348.60362E-12	-463.96396E-3	-50.188994E-9	6.9006177E-12	742.99123E-15	-370.43263E-12	-463.96396E-3	-50.188994E-9	7.3191089E-12	845.83138E-15
-462.96296E-3	-346.19729E-12	-462.96296E-3	-50.188994E-9	6.9031048E-12	834.70232E-15	-369.24011E-12	-462.96296E-3	-50.188994E-9	7.3654798E-12	769.05734E-15	-346.73533E-12	-462.96296E-3	-50.188994E-9	6.8497460E-12	712.88765E-15	-368.80970E-12	-462.96296E-3	-50.188994E-9	7.3541910E-12	794.36517E-15
-461.96195E-3	-345.04766E-12	-461.96195E-3	-50.188994E-9	6.6038329E-12	536.05037E-15	-366.77927E-12	-461.96195E-3	-50.188994E-9	7.3612661E-12	730.85022E-15	-344.54017E-12	-461.96195E-3	-50.188994E-9	6.8266733E-12	704.51652E-15	-367.50317E-12	-461.96195E-3	-50.188994E-9	7.3918944E-12	788.91966E-15
-460.96095E-3	-342.06246E-12	-460.96095E-3	-50.188994E-9	6.9985133E-12	723.13368E-15	-366.15497E-12	-460.96095E-3	-50.188994E-9	7.5803894E-12	803.14585E-15	-342.48851E-12	-460.96095E-3	-50.188994E-9	6.8194916E-12	674.97435E-15	-366.43730E-12	-460.96095E-3	-50.188994E-9	7.3959528E-12	838.39565E-15
-459.95995E-3	-339.39940E-12	-459.95995E-3	-50.188994E-9	6.8035586E-12	772.98693E-15	-366.66573E-12	-459.95995E-3	-50.188994E-9	7.3114232E-12	927.96777E-15	-341.42242E-12	-459.95995E-3	-50.188994E-9	6.8065779E-12	695.68824E-15	-365.39691E-12	-459.95995E-3	-50.188994E-9	7.3588184E-12	883.57533E-15
