Experiment	bias spectroscopy	
Saved Date	29.06.2018 18:15:59	
User		
Date		
X (m)	-314.596E-9	
Y (m)	-55.1683E-9	
Z (m)	-50.3466E-9	
Z offset (m)	0E+0	
Settling time (s)	20E-3	
Integration time (s)	40E-3	
Z-Ctrl hold	TRUE	
Final Z (m)	N/A	
Start time	29.06.2018 18:13:36	
Filter type	Gaussian	
Order	2	
Cutoff frq		

[DATA]
Bias calc (V)	Current (A)	Bias (V)	Z (m)	LI Demod 1 X (A)	LI Demod 1 Y (A)	Current [bwd] (A)	Bias [bwd] (V)	Z [bwd] (m)	LI Demod 1 X [bwd] (A)	LI Demod 1 Y [bwd] (A)	Current (A) [filt]	Bias (V) [filt]	Z (m) [filt]	LI Demod 1 X (A) [filt]	LI Demod 1 Y (A) [filt]	Current (A) [bwd] [filt]	Bias (V) [bwd] [filt]	Z (m) [bwd] [filt]	LI Demod 1 X (A) [bwd] [filt]	LI Demod 1 Y (A) [bwd] [filt]
-500.00000E-3	-399.83072E-12	-500.00000E-3	-50.346646E-9	7.7610652E-12	615.81453E-15	-427.18212E-12	-500.00000E-3	-50.346646E-9	8.4781453E-12	553.68237E-15	-399.83072E-12	-500.00000E-3	-50.346646E-9	7.7610652E-12	615.81453E-15	-427.18212E-12	-500.00000E-3	-50.346646E-9	8.4781453E-12	553.68237E-15
-498.99900E-3	-398.43595E-12	-498.99900E-3	-50.346646E-9	7.9855445E-12	674.22045E-15	-427.35343E-12	-498.99900E-3	-50.346646E-9	8.4768650E-12	736.07342E-15	-398.44505E-12	-498.99900E-3	-50.346646E-9	7.8531496E-12	710.50842E-15	-427.30322E-12	-498.99900E-3	-50.346646E-9	8.4004886E-12	723.78057E-15
-497.99800E-3	-397.15742E-12	-497.99800E-3	-50.346646E-9	7.9215540E-12	827.79096E-15	-427.97671E-12	-497.99800E-3	-50.346646E-9	8.2730333E-12	1.0136199E-12	-396.87106E-12	-497.99800E-3	-50.346646E-9	7.8763671E-12	778.04782E-15	-426.96000E-12	-497.99800E-3	-50.346646E-9	8.3568673E-12	817.81110E-15
-496.99700E-3	-395.48184E-12	-496.99700E-3	-50.346646E-9	7.8599575E-12	914.42880E-15	-426.28964E-12	-496.99700E-3	-50.346646E-9	8.2193653E-12	789.36255E-15	-395.36036E-12	-496.99700E-3	-50.346646E-9	7.8487876E-12	791.57877E-15	-426.03185E-12	-496.99700E-3	-50.346646E-9	8.3344720E-12	850.11441E-15
-495.99600E-3	-392.76102E-12	-495.99600E-3	-50.346646E-9	7.6724486E-12	736.14921E-15	-424.56033E-12	-495.99600E-3	-50.346646E-9	8.5005267E-12	782.94055E-15	-393.87205E-12	-495.99600E-3	-50.346646E-9	7.8260991E-12	745.75616E-15	-424.93403E-12	-495.99600E-3	-50.346646E-9	8.3308603E-12	846.82841E-15
-494.99500E-3	-393.65297E-12	-494.99500E-3	-50.346646E-9	7.9009316E-12	615.67927E-15	-423.00749E-12	-494.99500E-3	-50.346646E-9	8.2834980E-12	925.36211E-15	-392.26006E-12	-494.99500E-3	-50.346646E-9	7.8398009E-12	696.28450E-15	-423.57667E-12	-494.99500E-3	-50.346646E-9	8.3330452E-12	827.02616E-15
-493.99400E-3	-390.66256E-12	-493.99400E-3	-50.346646E-9	7.9182095E-12	608.12846E-15	-424.11585E-12	-493.99400E-3	-50.346646E-9	8.2637846E-12	809.10170E-15	-390.42475E-12	-493.99400E-3	-50.346646E-9	7.8381711E-12	692.23945E-15	-421.82652E-12	-493.99400E-3	-50.346646E-9	8.3376101E-12	803.42108E-15
-492.99300E-3	-387.57342E-12	-492.99300E-3	-50.346646E-9	7.8417689E-12	799.48071E-15	-419.18710E-12	-492.99300E-3	-50.346646E-9	8.3734764E-12	728.66008E-15	-388.50367E-12	-492.99300E-3	-50.346646E-9	7.8147029E-12	719.87831E-15	-419.67968E-12	-492.99300E-3	-50.346646E-9	8.3242128E-12	750.11774E-15
-491.99200E-3	-386.64419E-12	-491.99200E-3	-50.346646E-9	7.6458440E-12	812.01501E-15	-415.95713E-12	-491.99200E-3	-50.346646E-9	8.4139995E-12	708.57979E-15	-386.62124E-12	-491.99200E-3	-50.346646E-9	7.7654714E-12	749.27206E-15	-417.46873E-12	-491.99200E-3	-50.346646E-9	8.2985676E-12	705.10432E-15
-490.99100E-3	-385.24925E-12	-490.99100E-3	-50.346646E-9	7.7932530E-12	649.21647E-15	-416.18006E-12	-490.99100E-3	-50.346646E-9	8.1688614E-12	596.26821E-15	-385.40476E-12	-490.99100E-3	-50.346646E-9	7.7402728E-12	773.53748E-15	-415.44049E-12	-490.99100E-3	-50.346646E-9	8.2483222E-12	717.71170E-15
-489.99000E-3	-383.40633E-12	-489.99000E-3	-50.346646E-9	7.7175809E-12	825.38853E-15	-414.02082E-12	-489.99000E-3	-50.346646E-9	8.1355834E-12	772.19822E-15	-384.36065E-12	-489.99000E-3	-50.346646E-9	7.7149441E-12	782.88938E-15	-413.54081E-12	-489.99000E-3	-50.346646E-9	8.2048569E-12	774.67573E-15
-488.98900E-3	-385.26554E-12	-488.98900E-3	-50.346646E-9	7.7427058E-12	894.30834E-15	-411.59517E-12	-488.98900E-3	-50.346646E-9	8.2270918E-12	940.86544E-15	-383.27916E-12	-488.98900E-3	-50.346646E-9	7.6822559E-12	778.66950E-15	-411.92286E-12	-488.98900E-3	-50.346646E-9	8.1823723E-12	794.02451E-15
-487.98800E-3	-380.87453E-12	-487.98800E-3	-50.346646E-9	7.5523260E-12	685.35065E-15	-408.35124E-12	-487.98800E-3	-50.346646E-9	8.2131489E-12	873.37131E-15	-381.85138E-12	-487.98800E-3	-50.346646E-9	7.6434033E-12	757.94725E-15	-410.40052E-12	-487.98800E-3	-50.346646E-9	8.1978703E-12	765.09545E-15
-486.98699E-3	-380.73095E-12	-486.98699E-3	-50.346646E-9	7.6072195E-12	692.43558E-15	-411.67619E-12	-486.98699E-3	-50.346646E-9	8.1082242E-12	470.85502E-15	-380.53896E-12	-486.98699E-3	-50.346646E-9	7.6417943E-12	734.63664E-15	-409.09104E-12	-486.98699E-3	-50.346646E-9	8.2004100E-12	700.09672E-15
-485.98599E-3	-378.09603E-12	-485.98599E-3	-50.346646E-9	7.6831770E-12	737.85558E-15	-407.12106E-12	-485.98599E-3	-50.346646E-9	8.3465413E-12	714.47053E-15	-378.68211E-12	-485.98599E-3	-50.346646E-9	7.6318700E-12	728.58017E-15	-407.85780E-12	-485.98599E-3	-50.346646E-9	8.1912073E-12	646.72546E-15
