Experiment	bias spectroscopy	
Saved Date	02.07.2018 11:24:25	
User		
Date		
X (m)	-314.915E-9	
Y (m)	-54.2692E-9	
Z (m)	-4.4179E-9	
Z offset (m)	0E+0	
Settling time (s)	20E-3	
Integration time (s)	30E-3	
Z-Ctrl hold	TRUE	
Final Z (m)	N/A	
Start time	02.07.2018 11:21:45	
Filter type	Gaussian	
Order	2	
Cutoff frq		

[DATA]
Bias calc (V)	Current [AVG] (A)	Bias [AVG] (V)	Z [AVG] (m)	LI Demod 1 X [AVG] (A)	LI Demod 1 Y [AVG] (A)	Current [00001] (A)	Bias [00001] (V)	Z [00001] (m)	LI Demod 1 X [00001] (A)	LI Demod 1 Y [00001] (A)	Current [00002] (A)	Bias [00002] (V)	Z [00002] (m)	LI Demod 1 X [00002] (A)	LI Demod 1 Y [00002] (A)	Current [AVG] [bwd] (A)	Bias [AVG] [bwd] (V)	Z [AVG] [bwd] (m)	LI Demod 1 X [AVG] [bwd] (A)	LI Demod 1 Y [AVG] [bwd] (A)	Current [00001] [bwd] (A)	Bias [00001] [bwd] (V)	Z [00001] [bwd] (m)	LI Demod 1 X [00001] [bwd] (A)	LI Demod 1 Y [00001] [bwd] (A)	Current [00002] [bwd] (A)	Bias [00002] [bwd] (V)	Z [00002] [bwd] (m)	LI Demod 1 X [00002] [bwd] (A)	LI Demod 1 Y [00002] [bwd] (A)	Current [AVG] (A) [filt]	Bias [AVG] (V) [filt]	Z [AVG] (m) [filt]	LI Demod 1 X [AVG] (A) [filt]	LI Demod 1 Y [AVG] (A) [filt]	Current [00001] (A) [filt]	Bias [00001] (V) [filt]	Z [00001] (m) [filt]	LI Demod 1 X [00001] (A) [filt]	LI Demod 1 Y [00001] (A) [filt]	Current [00002] (A) [filt]	Bias [00002] (V) [filt]	Z [00002] (m) [filt]	LI Demod 1 X [00002] (A) [filt]	LI Demod 1 Y [00002] (A) [filt]	Current [AVG] (A) [bwd] [filt]	Bias [AVG] (V) [bwd] [filt]	Z [AVG] (m) [bwd] [filt]	LI Demod 1 X [AVG] (A) [bwd] [filt]	LI Demod 1 Y [AVG] (A) [bwd] [filt]	Current [00001] (A) [bwd] [filt]	Bias [00001] (V) [bwd] [filt]	Z [00001] (m) [bwd] [filt]	LI Demod 1 X [00001] (A) [bwd] [filt]	LI Demod 1 Y [00001] (A) [bwd] [filt]	Current [00002] (A) [bwd] [filt]	Bias [00002] (V) [bwd] [filt]	Z [00002] (m) [bwd] [filt]	LI Demod 1 X [00002] (A) [bwd] [filt]	LI Demod 1 Y [00002] (A) [bwd] [filt]
-500.00000E-3	-400.30007E-12	-500.00000E-3	-4.4186805E-9	7.6893682E-12	579.24943E-15	-401.05050E-12	-500.00000E-3	-4.4194599E-9	7.7188091E-12	651.59873E-15	-399.54962E-12	-500.00000E-3	-4.4179016E-9	7.6599282E-12	506.90019E-15	-402.50395E-12	-500.00000E-3	-4.4186805E-9	7.6531420E-12	601.47991E-15	-401.41257E-12	-500.00000E-3	-4.4194599E-9	7.5683123E-12	595.05493E-15	-403.59532E-12	-500.00000E-3	-4.4179016E-9	7.7379709E-12	607.90489E-15	-400.30007E-12	-500.00000E-3	-4.4186805E-9	7.6893682E-12	579.24943E-15	-401.05050E-12	-500.00000E-3	-4.4194599E-9	7.7188091E-12	651.59873E-15	-399.54962E-12	-500.00000E-3	-4.4179016E-9	7.6599282E-12	506.90019E-15	-402.50395E-12	-500.00000E-3	-4.4186805E-9	7.6531420E-12	601.47991E-15	-401.41257E-12	-500.00000E-3	-4.4194599E-9	7.5683123E-12	595.05493E-15	-403.59532E-12	-500.00000E-3	-4.4179016E-9	7.7379709E-12	607.90489E-15
-498.74842E-3	-397.98767E-12	-498.74842E-3	-4.4186805E-9	7.6710496E-12	512.94516E-15	-398.32318E-12	-498.74842E-3	-4.4194599E-9	7.7721371E-12	514.55389E-15	-397.65216E-12	-498.74842E-3	-4.4179016E-9	7.5699620E-12	511.33642E-15	-400.83520E-12	-498.74842E-3	-4.4186805E-9	7.7789337E-12	539.90959E-15	-400.51257E-12	-498.74842E-3	-4.4194599E-9	7.8232039E-12	542.60112E-15	-401.15786E-12	-498.74842E-3	-4.4179016E-9	7.7346627E-12	537.21800E-15	-398.11940E-12	-498.74842E-3	-4.4186805E-9	7.6559948E-12	537.42031E-15	-398.61706E-12	-498.74842E-3	-4.4194599E-9	7.6963175E-12	587.86033E-15	-397.62169E-12	-498.74842E-3	-4.4179016E-9	7.6156728E-12	486.98025E-15	-400.55945E-12	-498.74842E-3	-4.4186805E-9	7.6801890E-12	545.29558E-15	-399.71382E-12	-498.74842E-3	-4.4194599E-9	7.6436028E-12	518.99159E-15	-401.40508E-12	-498.74842E-3	-4.4179016E-9	7.7167743E-12	571.59952E-15
-497.49687E-3	-395.84952E-12	-497.49687E-3	-4.4186805E-9	7.5567504E-12	449.28563E-15	-396.10404E-12	-497.49687E-3	-4.4194599E-9	7.5861704E-12	524.07894E-15	-395.59497E-12	-497.49687E-3	-4.4179016E-9	7.5273303E-12	374.49232E-15	-398.66044E-12	-497.49687E-3	-4.4186805E-9	7.6667318E-12	444.65861E-15	-398.02875E-12	-497.49687E-3	-4.4194599E-9	7.6752311E-12	359.34878E-15	-399.29213E-12	-497.49687E-3	-4.4179016E-9	7.6582317E-12	529.96843E-15	-396.10085E-12	-497.49687E-3	-4.4186805E-9	7.6462075E-12	512.49499E-15	-396.44144E-12	-497.49687E-3	-4.4194599E-9	7.6861486E-12	537.04578E-15	-395.76029E-12	-497.49687E-3	-4.4179016E-9	7.6062663E-12	487.94427E-15	-398.53154E-12	-497.49687E-3	-4.4186805E-9	7.6966619E-12	507.15047E-15	-397.74525E-12	-497.49687E-3	-4.4194599E-9	7.6825603E-12	474.60148E-15	-399.31780E-12	-497.49687E-3	-4.4179016E-9	7.7107626E-12	539.69936E-15
-496.24529E-3	-394.17314E-12	-496.24529E-3	-4.4186805E-9	7.7028314E-12	593.84604E-15	-394.42363E-12	-496.24529E-3	-4.4194599E-9	7.7066218E-12	586.43585E-15	-393.92264E-12	-496.24529E-3	-4.4179016E-9	7.6990411E-12	601.25619E-15	-396.10032E-12	-496.24529E-3	-4.4186805E-9	7.6503595E-12	536.28759E-15	-394.91499E-12	-496.24529E-3	-4.4194599E-9	7.5780111E-12	503.23472E-15	-397.28562E-12	-496.24529E-3	-4.4179016E-9	7.7227088E-12	569.34042E-15	-394.26848E-12	-496.24529E-3	-4.4186805E-9	7.6422427E-12	501.91811E-15	-394.57712E-12	-496.24529E-3	-4.4194599E-9	7.6665610E-12	507.53374E-15	-393.95981E-12	-496.24529E-3	-4.4179016E-9	7.6179254E-12	496.30243E-15	-396.56212E-12	-496.24529E-3	-4.4186805E-9	7.6847148E-12	503.34617E-15	-395.69481E-12	-496.24529E-3	-4.4194599E-9	7.6710079E-12	473.25799E-15	-397.42945E-12	-496.24529E-3	-4.4179016E-9	7.6984226E-12	533.43430E-15
-494.99375E-3	-392.67145E-12	-494.99375E-3	-4.4186805E-9	7.6737549E-12	444.38845E-15	-393.03752E-12	-494.99375E-3	-4.4194599E-9	7.6998798E-12	400.79677E-15	-392.30538E-12	-494.99375E-3	-4.4179016E-9	7.6476299E-12	487.98015E-15	-394.47873E-12	-494.99375E-3	-4.4186805E-9	7.7453911E-12	451.65700E-15	-393.44067E-12	-494.99375E-3	-4.4194599E-9	7.7403188E-12	462.86559E-15	-395.51679E-12	-494.99375E-3	-4.4179016E-9	7.7504643E-12	440.44838E-15	-392.52337E-12	-494.99375E-3	-4.4186805E-9	7.6314823E-12	489.72149E-15	-392.87798E-12	-494.99375E-3	-4.4194599E-9	7.6492129E-12	491.53373E-15	-392.16874E-12	-494.99375E-3	-4.4179016E-9	7.6137516E-12	487.90925E-15	-394.80930E-12	-494.99375E-3	-4.4186805E-9	7.6569385E-12	510.24191E-15	-393.90810E-12	-494.99375E-3	-4.4194599E-9	7.6345432E-12	492.75910E-15	-395.71052E-12	-494.99375E-3	-4.4179016E-9	7.6793337E-12	527.72478E-15
-493.74217E-3	-390.84219E-12	-493.74217E-3	-4.4186805E-9	7.5630188E-12	474.21810E-15	-391.27521E-12	-493.74217E-3	-4.4194599E-9	7.5517353E-12	476.97127E-15	-390.40915E-12	-493.74217E-3	-4.4179016E-9	7.5743023E-12	471.46494E-15	-393.51278E-12	-493.74217E-3	-4.4186805E-9	7.5935040E-12	610.90607E-15	-392.82777E-12	-493.74217E-3	-4.4194599E-9	7.6159331E-12	585.57608E-15	-394.19781E-12	-493.74217E-3	-4.4179016E-9	7.5710757E-12	636.23613E-15	-390.76040E-12	-493.74217E-3	-4.4186805E-9	7.6062472E-12	480.20442E-15	-391.15677E-12	-493.74217E-3	-4.4194599E-9	7.6168846E-12	485.65720E-15	-390.36402E-12	-493.74217E-3	-4.4179016E-9	7.5956090E-12	474.75169E-15	-393.16783E-12	-493.74217E-3	-4.4186805E-9	7.6187494E-12	525.43918E-15	-392.31218E-12	-493.74217E-3	-4.4194599E-9	7.6005608E-12	521.22233E-15	-394.02351E-12	-493.74217E-3	-4.4179016E-9	7.6369388E-12	529.65602E-15
-492.49062E-3	-388.86117E-12	-492.49062E-3	-4.4186805E-9	7.5851964E-12	465.77445E-15	-389.33928E-12	-492.49062E-3	-4.4194599E-9	7.6593515E-12	535.55820E-15	-388.38308E-12	-492.49062E-3	-4.4179016E-9	7.5110404E-12	395.99064E-15	-391.86848E-12	-492.49062E-3	-4.4186805E-9	7.5549237E-12	466.83100E-15	-391.21364E-12	-492.49062E-3	-4.4194599E-9	7.4654050E-12	488.75796E-15	-392.52335E-12	-492.49062E-3	-4.4179016E-9	7.6444424E-12	444.90407E-15	-388.96578E-12	-492.49062E-3	-4.4186805E-9	7.5607671E-12	478.28874E-15	-389.34003E-12	-492.49062E-3	-4.4194599E-9	7.5601530E-12	498.51816E-15	-388.59149E-12	-492.49062E-3	-4.4179016E-9	7.5613821E-12	458.05932E-15	-391.41285E-12	-492.49062E-3	-4.4186805E-9	7.5829169E-12	530.50072E-15	-390.56522E-12	-492.49062E-3	-4.4194599E-9	7.5753180E-12	530.49042E-15	-392.26053E-12	-492.49062E-3	-4.4179016E-9	7.5905150E-12	530.51102E-15
-491.23904E-3	-387.10027E-12	-491.23904E-3	-4.4186805E-9	7.5288178E-12	489.20601E-15	-387.43406E-12	-491.23904E-3	-4.4194599E-9	7.4386391E-12	482.49826E-15	-386.76648E-12	-491.23904E-3	-4.4179016E-9	7.6189974E-12	495.91380E-15	-389.27328E-12	-491.23904E-3	-4.4186805E-9	7.5227810E-12	562.53781E-15	-388.24444E-12	-491.23904E-3	-4.4194599E-9	7.5715788E-12	556.54656E-15	-390.30210E-12	-491.23904E-3	-4.4179016E-9	7.4739824E-12	568.52906E-15	-387.17643E-12	-491.23904E-3	-4.4186805E-9	7.5177460E-12	494.32425E-15	-387.47447E-12	-491.23904E-3	-4.4194599E-9	7.5043886E-12	519.54296E-15	-386.87842E-12	-491.23904E-3	-4.4179016E-9	7.5311033E-12	469.10549E-15	-389.47282E-12	-491.23904E-3	-4.4186805E-9	7.5439325E-12	541.93222E-15	-388.53845E-12	-491.23904E-3	-4.4194599E-9	7.5462683E-12	537.69267E-15	-390.40718E-12	-491.23904E-3	-4.4179016E-9	7.5415967E-12	546.17178E-15
-489.98749E-3	-385.52134E-12	-489.98749E-3	-4.4186805E-9	7.4442475E-12	531.71204E-15	-385.58287E-12	-489.98749E-3	-4.4194599E-9	7.4258447E-12	575.08322E-15	-385.45978E-12	-489.98749E-3	-4.4179016E-9	7.4626503E-12	488.34087E-15	-387.19244E-12	-489.98749E-3	-4.4186805E-9	7.6014282E-12	544.37596E-15	-386.05036E-12	-489.98749E-3	-4.4194599E-9	7.6310269E-12	539.77889E-15	-388.33453E-12	-489.98749E-3	-4.4179016E-9	7.5718294E-12	548.97308E-15	-385.39294E-12	-489.98749E-3	-4.4186805E-9	7.4989693E-12	511.98650E-15	-385.64582E-12	-489.98749E-3	-4.4194599E-9	7.4777554E-12	532.25761E-15	-385.14009E-12	-489.98749E-3	-4.4179016E-9	7.5201833E-12	491.71545E-15	-387.48182E-12	-489.98749E-3	-4.4186805E-9	7.5218217E-12	539.70386E-15	-386.49486E-12	-489.98749E-3	-4.4194599E-9	7.5326637E-12	533.15409E-15	-388.46878E-12	-489.98749E-3	-4.4179016E-9	7.5109788E-12	546.25369E-15
-488.73591E-3	-383.65505E-12	-488.73591E-3	-4.4186805E-9	7.4551806E-12	509.63303E-15	-383.84021E-12	-488.73591E-3	-4.4194599E-9	7.4739850E-12	511.32959E-15	-383.46992E-12	-488.73591E-3	-4.4179016E-9	7.4363753E-12	507.93641E-15	-385.73114E-12	-488.73591E-3	-4.4186805E-9	7.4068677E-12	570.76240E-15	-384.65214E-12	-488.73591E-3	-4.4194599E-9	7.3995523E-12	537.73717E-15	-386.81014E-12	-488.73591E-3	-4.4179016E-9	7.4141830E-12	603.78758E-15	-383.55830E-12	-488.73591E-3	-4.4186805E-9	7.4888047E-12	513.80981E-15	-383.85695E-12	-488.73591E-3	-4.4194599E-9	7.4668249E-12	519.44229E-15	-383.25965E-12	-488.73591E-3	-4.4179016E-9	7.5107845E-12	508.17732E-15	-385.63311E-12	-488.73591E-3	-4.4186805E-9	7.4884465E-12	543.91398E-15	-384.70091E-12	-488.73591E-3	-4.4194599E-9	7.5033339E-12	540.81072E-15	-386.56531E-12	-488.73591E-3	-4.4179016E-9	7.4735582E-12	547.01718E-15
