Experiment	bias spectroscopy	
Saved Date	02.07.2018 10:46:54	
User		
Date		
X (m)	-314.915E-9	
Y (m)	-54.2692E-9	
Z (m)	-4.61932E-9	
Z offset (m)	0E+0	
Settling time (s)	20E-3	
Integration time (s)	30E-3	
Z-Ctrl hold	TRUE	
Final Z (m)	N/A	
Start time	02.07.2018 10:43:37	
Filter type	Gaussian	
Order	2	
Cutoff frq		

[DATA]
Bias calc (V)	Current (A)	Bias (V)	Z (m)	LI Demod 1 X (A)	LI Demod 1 Y (A)	Current [bwd] (A)	Bias [bwd] (V)	Z [bwd] (m)	LI Demod 1 X [bwd] (A)	LI Demod 1 Y [bwd] (A)	Current (A) [filt]	Bias (V) [filt]	Z (m) [filt]	LI Demod 1 X (A) [filt]	LI Demod 1 Y (A) [filt]	Current (A) [bwd] [filt]	Bias (V) [bwd] [filt]	Z (m) [bwd] [filt]	LI Demod 1 X (A) [bwd] [filt]	LI Demod 1 Y (A) [bwd] [filt]
-500.00000E-3	-399.44845E-12	-500.00000E-3	-4.6192881E-9	7.0811438E-12	437.75159E-15	-420.50952E-12	-500.00000E-3	-4.6192881E-9	7.4264353E-12	558.68651E-15	-399.44845E-12	-500.00000E-3	-4.6192881E-9	7.0811438E-12	437.75159E-15	-420.50952E-12	-500.00000E-3	-4.6192881E-9	7.4264353E-12	558.68651E-15
-498.74842E-3	-398.52871E-12	-498.74842E-3	-4.6192881E-9	6.9678469E-12	485.83641E-15	-418.78118E-12	-498.74842E-3	-4.6192881E-9	7.4030036E-12	606.40989E-15	-398.18729E-12	-498.74842E-3	-4.6192881E-9	7.0113351E-12	481.48524E-15	-418.47417E-12	-498.74842E-3	-4.6192881E-9	7.3783219E-12	586.61789E-15
-497.49687E-3	-397.03113E-12	-497.49687E-3	-4.6192881E-9	6.9825560E-12	504.60786E-15	-416.59293E-12	-497.49687E-3	-4.6192881E-9	7.3391284E-12	635.50413E-15	-396.59312E-12	-497.49687E-3	-4.6192881E-9	6.9798564E-12	517.18401E-15	-416.34662E-12	-497.49687E-3	-4.6192881E-9	7.3234439E-12	594.32223E-15
-496.24529E-3	-394.85595E-12	-496.24529E-3	-4.6192881E-9	6.8595832E-12	605.10950E-15	-413.54969E-12	-496.24529E-3	-4.6192881E-9	7.2207986E-12	564.11093E-15	-394.70713E-12	-496.24529E-3	-4.6192881E-9	6.9790402E-12	543.93962E-15	-414.33029E-12	-496.24529E-3	-4.6192881E-9	7.2634702E-12	585.10461E-15
-494.99375E-3	-392.12716E-12	-494.99375E-3	-4.6192881E-9	7.1512713E-12	511.02661E-15	-412.28143E-12	-494.99375E-3	-4.6192881E-9	7.2266889E-12	556.38176E-15	-392.84379E-12	-494.99375E-3	-4.6192881E-9	7.0003833E-12	547.12360E-15	-412.56140E-12	-494.99375E-3	-4.6192881E-9	7.2157879E-12	565.42406E-15
-493.74217E-3	-391.02299E-12	-493.74217E-3	-4.6192881E-9	6.9428959E-12	588.70817E-15	-411.54868E-12	-493.74217E-3	-4.6192881E-9	7.1576295E-12	574.97637E-15	-391.14886E-12	-493.74217E-3	-4.6192881E-9	7.0123655E-12	534.16798E-15	-410.95405E-12	-493.74217E-3	-4.6192881E-9	7.1991358E-12	534.92410E-15
-492.49062E-3	-390.19926E-12	-492.49062E-3	-4.6192881E-9	7.0278288E-12	476.97057E-15	-409.34262E-12	-492.49062E-3	-4.6192881E-9	7.1753272E-12	502.48098E-15	-389.53019E-12	-492.49062E-3	-4.6192881E-9	7.0120272E-12	512.13596E-15	-409.30809E-12	-492.49062E-3	-4.6192881E-9	7.2155151E-12	517.40909E-15
-491.23904E-3	-387.72319E-12	-491.23904E-3	-4.6192881E-9	7.0271870E-12	485.04793E-15	-407.34344E-12	-491.23904E-3	-4.6192881E-9	7.2823709E-12	420.12037E-15	-387.84209E-12	-491.23904E-3	-4.6192881E-9	6.9911139E-12	516.98744E-15	-407.50067E-12	-491.23904E-3	-4.6192881E-9	7.2354059E-12	501.85832E-15
-489.98749E-3	-385.77952E-12	-489.98749E-3	-4.6192881E-9	6.9440864E-12	504.07682E-15	-405.65679E-12	-489.98749E-3	-4.6192881E-9	7.2945937E-12	603.10540E-15	-386.08708E-12	-489.98749E-3	-4.6192881E-9	6.9660939E-12	530.42927E-15	-405.64574E-12	-489.98749E-3	-4.6192881E-9	7.2253527E-12	500.77059E-15
-488.73591E-3	-384.36077E-12	-488.73591E-3	-4.6192881E-9	6.9631059E-12	644.13470E-15	-403.88426E-12	-488.73591E-3	-4.6192881E-9	7.1874052E-12	435.26876E-15	-384.41217E-12	-488.73591E-3	-4.6192881E-9	6.9225355E-12	531.32330E-15	-403.88093E-12	-488.73591E-3	-4.6192881E-9	7.1669233E-12	512.25761E-15
