Experiment	bias spectroscopy	
Saved Date	02.07.2018 12:17:19	
User		
Date		
X (m)	-314.915E-9	
Y (m)	-54.2692E-9	
Z (m)	-4.33058E-9	
Z offset (m)	0E+0	
Settling time (s)	20E-3	
Integration time (s)	30E-3	
Z-Ctrl hold	TRUE	
Final Z (m)	N/A	
Start time	02.07.2018 12:15:59	
Filter type	Gaussian	
Order	2	
Cutoff frq		

[DATA]
Bias calc (V)	Current (A)	Bias (V)	Z (m)	LI Demod 1 X (A)	LI Demod 1 Y (A)	Current [bwd] (A)	Bias [bwd] (V)	Z [bwd] (m)	LI Demod 1 X [bwd] (A)	LI Demod 1 Y [bwd] (A)	Current (A) [filt]	Bias (V) [filt]	Z (m) [filt]	LI Demod 1 X (A) [filt]	LI Demod 1 Y (A) [filt]	Current (A) [bwd] [filt]	Bias (V) [bwd] [filt]	Z (m) [bwd] [filt]	LI Demod 1 X (A) [bwd] [filt]	LI Demod 1 Y (A) [bwd] [filt]
-500.00000E-3	-401.53419E-12	-500.00000E-3	-4.3305821E-9	7.2155446E-12	356.50524E-15	-391.77589E-12	-500.00000E-3	-4.3305821E-9	6.9776784E-12	577.40526E-15	-401.53419E-12	-500.00000E-3	-4.3305821E-9	7.2155446E-12	356.50524E-15	-391.77589E-12	-500.00000E-3	-4.3305821E-9	6.9776784E-12	577.40526E-15
-498.74842E-3	-398.86955E-12	-498.74842E-3	-4.3305821E-9	7.1748731E-12	358.32204E-15	-389.34750E-12	-498.74842E-3	-4.3305821E-9	6.7921090E-12	481.43282E-15	-399.13356E-12	-498.74842E-3	-4.3305821E-9	7.1104641E-12	400.54142E-15	-390.08421E-12	-498.74842E-3	-4.3305821E-9	6.9133115E-12	551.98429E-15
-497.49687E-3	-396.70159E-12	-497.49687E-3	-4.3305821E-9	6.8228548E-12	451.44200E-15	-388.37250E-12	-497.49687E-3	-4.3305821E-9	6.8992711E-12	618.81977E-15	-397.05481E-12	-497.49687E-3	-4.3305821E-9	7.0780729E-12	450.59553E-15	-388.57531E-12	-497.49687E-3	-4.3305821E-9	6.8503731E-12	499.24030E-15
-496.24529E-3	-394.85237E-12	-496.24529E-3	-4.3305821E-9	7.1760458E-12	546.62671E-15	-388.00910E-12	-496.24529E-3	-4.3305821E-9	6.8862962E-12	427.06282E-15	-395.23543E-12	-496.24529E-3	-4.3305821E-9	7.0976497E-12	501.80004E-15	-387.25526E-12	-496.24529E-3	-4.3305821E-9	6.8241615E-12	469.44848E-15
-494.99375E-3	-394.35630E-12	-494.99375E-3	-4.3305821E-9	7.2220233E-12	534.42992E-15	-385.48995E-12	-494.99375E-3	-4.3305821E-9	6.6374441E-12	286.52300E-15	-393.45063E-12	-494.99375E-3	-4.3305821E-9	7.1052149E-12	548.84472E-15	-385.68898E-12	-494.99375E-3	-4.3305821E-9	6.8248063E-12	478.11055E-15
-493.74217E-3	-391.39969E-12	-493.74217E-3	-4.3305821E-9	7.1257670E-12	560.95693E-15	-384.48580E-12	-493.74217E-3	-4.3305821E-9	6.9235893E-12	643.71452E-15	-391.66115E-12	-493.74217E-3	-4.3305821E-9	7.0719533E-12	566.83656E-15	-383.85209E-12	-493.74217E-3	-4.3305821E-9	6.8346804E-12	536.85561E-15
-492.49062E-3	-389.11216E-12	-492.49062E-3	-4.3305821E-9	6.8766004E-12	664.48496E-15	-381.18203E-12	-492.49062E-3	-4.3305821E-9	6.9203488E-12	615.67483E-15	-389.89503E-12	-492.49062E-3	-4.3305821E-9	7.0069410E-12	559.61339E-15	-381.80933E-12	-492.49062E-3	-4.3305821E-9	6.8445427E-12	606.57425E-15
-491.23904E-3	-388.87119E-12	-491.23904E-3	-4.3305821E-9	6.9174449E-12	464.91207E-15	-380.15763E-12	-491.23904E-3	-4.3305821E-9	6.7775755E-12	719.26959E-15	-388.30106E-12	-491.23904E-3	-4.3305821E-9	6.9532114E-12	538.47741E-15	-379.80799E-12	-491.23904E-3	-4.3305821E-9	6.8473252E-12	651.14060E-15
-489.98749E-3	-386.54405E-12	-489.98749E-3	-4.3305821E-9	7.0840703E-12	497.36463E-15	-377.66457E-12	-489.98749E-3	-4.3305821E-9	6.8200055E-12	584.68540E-15	-386.87462E-12	-489.98749E-3	-4.3305821E-9	6.9098451E-12	515.68450E-15	-377.84542E-12	-489.98749E-3	-4.3305821E-9	6.8118792E-12	636.85624E-15
-488.73591E-3	-385.65509E-12	-488.73591E-3	-4.3305821E-9	6.7630385E-12	536.24683E-15	-375.80866E-12	-488.73591E-3	-4.3305821E-9	6.8639048E-12	689.13966E-15	-385.30093E-12	-488.73591E-3	-4.3305821E-9	6.8471778E-12	516.55083E-15	-376.32647E-12	-488.73591E-3	-4.3305821E-9	6.8098751E-12	618.81218E-15
-487.48437E-3	-383.89072E-12	-487.48437E-3	-4.3305821E-9	6.7641973E-12	480.63723E-15	-374.41741E-12	-487.48437E-3	-4.3305821E-9	6.6438010E-12	514.69983E-15	-383.43986E-12	-487.48437E-3	-4.3305821E-9	6.7780599E-12	512.34022E-15	-374.92762E-12	-487.48437E-3	-4.3305821E-9	6.8283742E-12	602.25094E-15
-486.23279E-3	-381.12175E-12	-486.23279E-3	-4.3305821E-9	6.6797939E-12	631.29672E-15	-375.11166E-12	-486.23279E-3	-4.3305821E-9	7.0254414E-12	619.83697E-15	-381.62132E-12	-486.23279E-3	-4.3305821E-9	6.7492015E-12	524.55788E-15	-373.57659E-12	-486.23279E-3	-4.3305821E-9	6.8487451E-12	611.62712E-15
-484.98124E-3	-379.32790E-12	-484.98124E-3	-4.3305821E-9	6.7495605E-12	311.05253E-15	-371.32283E-12	-484.98124E-3	-4.3305821E-9	6.8460554E-12	636.63197E-15	-379.81282E-12	-484.98124E-3	-4.3305821E-9	6.7638000E-12	541.27753E-15	-371.97978E-12	-484.98124E-3	-4.3305821E-9	6.8583555E-12	614.40561E-15
-483.72966E-3	-378.99628E-12	-483.72966E-3	-4.3305821E-9	6.8915273E-12	767.69331E-15	-370.16282E-12	-483.72966E-3	-4.3305821E-9	6.7928341E-12	664.05789E-15	-378.10169E-12	-483.72966E-3	-4.3305821E-9	6.7723023E-12	551.46502E-15	-370.15918E-12	-483.72966E-3	-4.3305821E-9	6.8498479E-12	616.27081E-15
-482.47808E-3	-376.01078E-12	-482.47811E-3	-4.3305821E-9	6.7095535E-12	557.84153E-15	-368.54425E-12	-482.47811E-3	-4.3305821E-9	6.8913326E-12	537.08161E-15	-376.48454E-12	-482.47811E-3	-4.3305821E-9	6.7814348E-12	546.14272E-15	-368.20866E-12	-482.47811E-3	-4.3305821E-9	6.7871559E-12	592.49838E-15
-481.22653E-3	-374.48045E-12	-481.22653E-3	-4.3305821E-9	6.7217078E-12	379.31791E-15	-366.15208E-12	-481.22653E-3	-4.3305821E-9	6.7494391E-12	607.34469E-15	-374.91352E-12	-481.22653E-3	-4.3305821E-9	6.7902520E-12	568.40822E-15	-366.48370E-12	-481.22653E-3	-4.3305821E-9	6.7297253E-12	545.44601E-15
