Experiment	bias spectroscopy	
Saved Date	02.07.2018 11:43:31	
User		
Date		
X (m)	-314.915E-9	
Y (m)	-54.2692E-9	
Z (m)	-4.36092E-9	
Z offset (m)	0E+0	
Settling time (s)	20E-3	
Integration time (s)	30E-3	
Z-Ctrl hold	TRUE	
Final Z (m)	N/A	
Start time	02.07.2018 11:40:51	
Filter type	Gaussian	
Order	2	
Cutoff frq		

[DATA]
Bias calc (V)	Current (A)	Bias (V)	Z (m)	LI Demod 1 X (A)	LI Demod 1 Y (A)	Current [bwd] (A)	Bias [bwd] (V)	Z [bwd] (m)	LI Demod 1 X [bwd] (A)	LI Demod 1 Y [bwd] (A)	Current (A) [filt]	Bias (V) [filt]	Z (m) [filt]	LI Demod 1 X (A) [filt]	LI Demod 1 Y (A) [filt]	Current (A) [bwd] [filt]	Bias (V) [bwd] [filt]	Z (m) [bwd] [filt]	LI Demod 1 X (A) [bwd] [filt]	LI Demod 1 Y (A) [bwd] [filt]
-500.00000E-3	-400.89598E-12	-500.00000E-3	-4.3603219E-9	7.6487115E-12	568.80808E-15	-403.60609E-12	-500.00000E-3	-4.3603219E-9	7.6754245E-12	574.53879E-15	-400.89598E-12	-500.00000E-3	-4.3603219E-9	7.6487115E-12	568.80808E-15	-403.60609E-12	-500.00000E-3	-4.3603219E-9	7.6754245E-12	574.53879E-15
-498.74842E-3	-398.78251E-12	-498.74842E-3	-4.3603219E-9	7.5883900E-12	559.38376E-15	-401.87309E-12	-498.74842E-3	-4.3603219E-9	7.6157657E-12	553.23335E-15	-398.73427E-12	-498.74842E-3	-4.3603219E-9	7.6091477E-12	560.99212E-15	-401.92216E-12	-498.74842E-3	-4.3603219E-9	7.6388765E-12	526.67321E-15
-497.49687E-3	-396.41540E-12	-497.49687E-3	-4.3603219E-9	7.5917571E-12	582.04033E-15	-400.40521E-12	-497.49687E-3	-4.3603219E-9	7.6182862E-12	455.30674E-15	-396.72884E-12	-497.49687E-3	-4.3603219E-9	7.5738218E-12	534.26794E-15	-400.19840E-12	-497.49687E-3	-4.3603219E-9	7.6094339E-12	488.43210E-15
-496.24529E-3	-394.66067E-12	-496.24529E-3	-4.3603219E-9	7.5187460E-12	487.01847E-15	-398.28502E-12	-496.24529E-3	-4.3603219E-9	7.5717124E-12	435.05575E-15	-394.87547E-12	-496.24529E-3	-4.3603219E-9	7.5415039E-12	511.32682E-15	-398.45369E-12	-496.24529E-3	-4.3603219E-9	7.5861470E-12	462.69737E-15
-494.99375E-3	-393.44455E-12	-494.99375E-3	-4.3603219E-9	7.5359337E-12	416.72606E-15	-396.73387E-12	-494.99375E-3	-4.3603219E-9	7.5858347E-12	468.18306E-15	-393.07624E-12	-494.99375E-3	-4.3603219E-9	7.5098851E-12	506.20662E-15	-396.66534E-12	-494.99375E-3	-4.3603219E-9	7.5640509E-12	459.98372E-15
-493.74217E-3	-391.32150E-12	-493.74217E-3	-4.3603219E-9	7.4618870E-12	579.91621E-15	-395.00234E-12	-493.74217E-3	-4.3603219E-9	7.5283876E-12	451.33184E-15	-391.23491E-12	-493.74217E-3	-4.3603219E-9	7.4725998E-12	519.52014E-15	-394.78804E-12	-493.74217E-3	-4.3603219E-9	7.5361323E-12	470.31438E-15
-492.49062E-3	-389.09651E-12	-492.49062E-3	-4.3603219E-9	7.4400607E-12	558.18436E-15	-392.83091E-12	-492.49062E-3	-4.3603219E-9	7.5098799E-12	513.46118E-15	-389.32188E-12	-492.49062E-3	-4.3603219E-9	7.4451435E-12	535.39221E-15	-392.85927E-12	-492.49062E-3	-4.3603219E-9	7.5039992E-12	480.88074E-15
-491.23904E-3	-387.42287E-12	-491.23904E-3	-4.3603219E-9	7.3903800E-12	523.61099E-15	-390.73234E-12	-491.23904E-3	-4.3603219E-9	7.4719640E-12	470.34295E-15	-387.42454E-12	-491.23904E-3	-4.3603219E-9	7.4335633E-12	541.69581E-15	-390.88613E-12	-491.23904E-3	-4.3603219E-9	7.4743328E-12	478.00224E-15
-489.98749E-3	-385.59880E-12	-489.98749E-3	-4.3603219E-9	7.4486545E-12	522.78657E-15	-389.02773E-12	-489.98749E-3	-4.3603219E-9	7.4223631E-12	489.87892E-15	-385.73827E-12	-489.98749E-3	-4.3603219E-9	7.4315623E-12	540.31129E-15	-389.02442E-12	-489.98749E-3	-4.3603219E-9	7.4529593E-12	464.79612E-15
-488.73591E-3	-383.85761E-12	-488.73591E-3	-4.3603219E-9	7.4769201E-12	557.75989E-15	-387.00515E-12	-488.73591E-3	-4.3603219E-9	7.4614828E-12	425.28334E-15	-384.21125E-12	-488.73591E-3	-4.3603219E-9	7.4206058E-12	541.75235E-15	-387.30746E-12	-488.73591E-3	-4.3603219E-9	7.4294685E-12	459.36947E-15
