Experiment	bias spectroscopy	
Saved Date	02.07.2018 12:13:59	
User		
Date		
X (m)	-314.915E-9	
Y (m)	-54.2692E-9	
Z (m)	-4.3418E-9	
Z offset (m)	0E+0	
Settling time (s)	20E-3	
Integration time (s)	30E-3	
Z-Ctrl hold	TRUE	
Final Z (m)	N/A	
Start time	02.07.2018 12:12:39	
Filter type	Gaussian	
Order	2	
Cutoff frq		

[DATA]
Bias calc (V)	Current (A)	Bias (V)	Z (m)	LI Demod 1 X (A)	LI Demod 1 Y (A)	Current [bwd] (A)	Bias [bwd] (V)	Z [bwd] (m)	LI Demod 1 X [bwd] (A)	LI Demod 1 Y [bwd] (A)	Current (A) [filt]	Bias (V) [filt]	Z (m) [filt]	LI Demod 1 X (A) [filt]	LI Demod 1 Y (A) [filt]	Current (A) [bwd] [filt]	Bias (V) [bwd] [filt]	Z (m) [bwd] [filt]	LI Demod 1 X (A) [bwd] [filt]	LI Demod 1 Y (A) [bwd] [filt]
-500.00000E-3	-401.21512E-12	-500.00000E-3	-4.3417980E-9	7.1931796E-12	668.85543E-15	-401.90326E-12	-500.00000E-3	-4.3417980E-9	7.1343049E-12	541.15545E-15	-401.21512E-12	-500.00000E-3	-4.3417980E-9	7.1931796E-12	668.85543E-15	-401.90326E-12	-500.00000E-3	-4.3417980E-9	7.1343049E-12	541.15545E-15
-498.74842E-3	-398.70490E-12	-498.74842E-3	-4.3417980E-9	7.2645388E-12	397.13106E-15	-400.43269E-12	-498.74842E-3	-4.3417980E-9	7.1599948E-12	586.95236E-15	-398.87554E-12	-498.74842E-3	-4.3417980E-9	7.1690071E-12	582.19304E-15	-400.03578E-12	-498.74842E-3	-4.3417980E-9	7.1714310E-12	525.88158E-15
-497.49687E-3	-396.38129E-12	-497.49687E-3	-4.3417980E-9	7.1220946E-12	590.55273E-15	-398.09411E-12	-497.49687E-3	-4.3417980E-9	7.2464699E-12	471.15214E-15	-396.73040E-12	-497.49687E-3	-4.3417980E-9	7.1324136E-12	511.32758E-15	-398.10286E-12	-497.49687E-3	-4.3417980E-9	7.1908360E-12	523.94433E-15
-496.24529E-3	-394.81704E-12	-496.24529E-3	-4.3417980E-9	7.0046508E-12	525.69488E-15	-395.77583E-12	-496.24529E-3	-4.3417980E-9	7.1850733E-12	473.92439E-15	-394.87971E-12	-496.24529E-3	-4.3417980E-9	7.0987040E-12	481.78779E-15	-396.18286E-12	-496.24529E-3	-4.3417980E-9	7.1824855E-12	525.55958E-15
-494.99375E-3	-393.06533E-12	-494.99375E-3	-4.3417980E-9	7.0904606E-12	349.78173E-15	-394.32027E-12	-494.99375E-3	-4.3417980E-9	7.1736293E-12	622.74139E-15	-393.21785E-12	-494.99375E-3	-4.3417980E-9	7.0874825E-12	470.58212E-15	-394.40304E-12	-494.99375E-3	-4.3417980E-9	7.1430930E-12	546.83032E-15
-493.74217E-3	-391.88708E-12	-493.74217E-3	-4.3417980E-9	7.1564647E-12	496.29403E-15	-392.93646E-12	-493.74217E-3	-4.3417980E-9	7.0812340E-12	513.97260E-15	-391.42098E-12	-493.74217E-3	-4.3417980E-9	7.0894770E-12	473.54747E-15	-392.78297E-12	-493.74217E-3	-4.3417980E-9	7.0923497E-12	560.60685E-15
-492.49062E-3	-389.90061E-12	-492.49062E-3	-4.3417980E-9	7.0740935E-12	507.87532E-15	-391.13554E-12	-492.49062E-3	-4.3417980E-9	6.9987926E-12	640.06244E-15	-389.33362E-12	-492.49062E-3	-4.3417980E-9	7.0779819E-12	497.03704E-15	-391.21303E-12	-492.49062E-3	-4.3417980E-9	7.0599728E-12	568.22949E-15
-491.23904E-3	-386.49536E-12	-491.23904E-3	-4.3417980E-9	7.0226962E-12	548.90863E-15	-389.60615E-12	-491.23904E-3	-4.3417980E-9	7.0558351E-12	474.30804E-15	-387.11209E-12	-491.23904E-3	-4.3417980E-9	7.0360705E-12	523.60763E-15	-389.57779E-12	-491.23904E-3	-4.3417980E-9	7.0470027E-12	554.04693E-15
-489.98749E-3	-384.66361E-12	-489.98749E-3	-4.3417980E-9	7.0269628E-12	506.59157E-15	-388.06974E-12	-489.98749E-3	-4.3417980E-9	7.0763707E-12	632.14885E-15	-385.03084E-12	-489.98749E-3	-4.3417980E-9	6.9886514E-12	536.32939E-15	-387.85725E-12	-489.98749E-3	-4.3417980E-9	7.0298784E-12	556.44898E-15
-488.73591E-3	-383.29362E-12	-488.73591E-3	-4.3417980E-9	6.8908165E-12	551.47456E-15	-386.03667E-12	-488.73591E-3	-4.3417980E-9	7.0286502E-12	463.43750E-15	-383.29517E-12	-488.73591E-3	-4.3417980E-9	6.9439580E-12	575.45375E-15	-386.10642E-12	-488.73591E-3	-4.3417980E-9	7.0031073E-12	549.05673E-15
-487.48437E-3	-381.73664E-12	-487.48437E-3	-4.3417980E-9	6.9341104E-12	586.92650E-15	-384.15307E-12	-487.48437E-3	-4.3417980E-9	6.8822339E-12	637.85983E-15	-381.70392E-12	-487.48437E-3	-4.3417980E-9	6.9046674E-12	610.69661E-15	-384.38530E-12	-487.48437E-3	-4.3417980E-9	6.9614189E-12	550.18202E-15
-486.23279E-3	-380.50155E-12	-486.23279E-3	-4.3417980E-9	6.8547997E-12	788.67436E-15	-382.77517E-12	-486.23279E-3	-4.3417980E-9	6.9817372E-12	492.64060E-15	-379.99792E-12	-486.23279E-3	-4.3417980E-9	6.8780441E-12	617.44533E-15	-382.74500E-12	-486.23279E-3	-4.3417980E-9	6.9394928E-12	540.87946E-15
-484.98124E-3	-377.83524E-12	-484.98124E-3	-4.3417980E-9	6.8372313E-12	528.00976E-15	-381.24481E-12	-484.98124E-3	-4.3417980E-9	6.8763714E-12	535.33550E-15	-378.27252E-12	-484.98124E-3	-4.3417980E-9	6.8759213E-12	577.59738E-15	-381.16799E-12	-484.98124E-3	-4.3417980E-9	6.9357762E-12	540.68029E-15
-483.72966E-3	-376.23066E-12	-483.72966E-3	-4.3417980E-9	6.8961633E-12	471.91081E-15	-379.56632E-12	-483.72966E-3	-4.3417980E-9	6.9903497E-12	555.87734E-15	-376.61507E-12	-483.72966E-3	-4.3417980E-9	6.8697825E-12	534.25564E-15	-379.54678E-12	-483.72966E-3	-4.3417980E-9	6.9449732E-12	535.43216E-15
-482.47808E-3	-375.60086E-12	-482.47811E-3	-4.3417980E-9	6.9247641E-12	479.95001E-15	-377.96238E-12	-482.47811E-3	-4.3417980E-9	6.9379654E-12	527.55738E-15	-375.01174E-12	-482.47811E-3	-4.3417980E-9	6.8562976E-12	524.22243E-15	-377.82147E-12	-482.47811E-3	-4.3417980E-9	6.9372680E-12	545.24804E-15
-481.22653E-3	-373.33753E-12	-481.22653E-3	-4.3417980E-9	6.7655681E-12	577.49530E-15	-376.02463E-12	-481.22653E-3	-4.3417980E-9	6.9449294E-12	539.52361E-15	-373.37525E-12	-481.22653E-3	-4.3417980E-9	6.8284501E-12	547.85235E-15	-376.03212E-12	-481.22653E-3	-4.3417980E-9	6.9114749E-12	537.12926E-15
-479.97496E-3	-371.55076E-12	-479.97496E-3	-4.3417980E-9	6.7969306E-12	638.74481E-15	-374.12520E-12	-479.97496E-3	-4.3417980E-9	6.8676770E-12	592.86500E-15	-371.63175E-12	-479.97496E-3	-4.3417980E-9	6.7986649E-12	555.47906E-15	-374.19987E-12	-479.97496E-3	-4.3417980E-9	6.8634170E-12	528.92613E-15
-478.72341E-3	-369.77321E-12	-478.72341E-3	-4.3417980E-9	6.7944964E-12	494.54576E-15	-372.46878E-12	-478.72341E-3	-4.3417980E-9	6.7782997E-12	414.14387E-15	-369.86139E-12	-478.72341E-3	-4.3417980E-9	6.7794000E-12	541.48656E-15	-372.43109E-12	-478.72341E-3	-4.3417980E-9	6.8273703E-12	518.57558E-15
-477.47183E-3	-368.20633E-12	-477.47183E-3	-4.3417980E-9	6.7561690E-12	487.05598E-15	-370.44201E-12	-477.47183E-3	-4.3417980E-9	6.7849185E-12	577.05013E-15	-368.17444E-12	-477.47183E-3	-4.3417980E-9	6.7637076E-12	531.07068E-15	-370.79728E-12	-477.47183E-3	-4.3417980E-9	6.8161869E-12	518.91174E-15
-476.22028E-3	-366.55223E-12	-476.22028E-3	-4.3417980E-9	6.7642645E-12	542.41008E-15	-369.35954E-12	-476.22028E-3	-4.3417980E-9	6.8477385E-12	500.44121E-15	-366.54471E-12	-476.22028E-3	-4.3417980E-9	6.7277802E-12	548.84244E-15	-369.29532E-12	-476.22028E-3	-4.3417980E-9	6.8031444E-12	511.02373E-15
-474.96870E-3	-364.76094E-12	-474.96870E-3	-4.3417980E-9	6.6846177E-12	596.35847E-15	-367.94018E-12	-474.96870E-3	-4.3417980E-9	6.8631038E-12	547.81770E-15	-364.98873E-12	-474.96870E-3	-4.3417980E-9	6.6919213E-12	569.16066E-15	-367.78025E-12	-474.96870E-3	-4.3417980E-9	6.7866394E-12	516.11178E-15
-473.71715E-3	-363.55424E-12	-473.71715E-3	-4.3417980E-9	6.5931661E-12	650.83475E-15	-366.38867E-12	-473.71715E-3	-4.3417980E-9	6.6184211E-12	418.99898E-15	-363.39715E-12	-473.71715E-3	-4.3417980E-9	6.6720119E-12	568.01715E-15	-366.19083E-12	-473.71715E-3	-4.3417980E-9	6.7590929E-12	509.99054E-15
-472.46557E-3	-362.11725E-12	-472.46557E-3	-4.3417980E-9	6.7034403E-12	461.06093E-15	-364.28643E-12	-472.46557E-3	-4.3417980E-9	6.8072778E-12	607.75002E-15	-361.73017E-12	-472.46557E-3	-4.3417980E-9	6.6842647E-12	545.53969E-15	-364.44395E-12	-472.46557E-3	-4.3417980E-9	6.7361598E-12	514.36795E-15
-471.21403E-3	-359.63749E-12	-471.21403E-3	-4.3417980E-9	6.7008621E-12	534.93061E-15	-362.81259E-12	-471.21403E-3	-4.3417980E-9	6.7306321E-12	479.84381E-15	-360.05546E-12	-471.21403E-3	-4.3417980E-9	6.7010013E-12	523.71383E-15	-362.65788E-12	-471.21403E-3	-4.3417980E-9	6.7229208E-12	522.40813E-15
-469.96245E-3	-358.21587E-12	-469.96245E-3	-4.3417980E-9	6.7895047E-12	523.90790E-15	-360.71238E-12	-469.96245E-3	-4.3417980E-9	6.6768531E-12	502.06313E-15	-358.54891E-12	-469.96245E-3	-4.3417980E-9	6.6904043E-12	519.59999E-15	-360.94019E-12	-469.96245E-3	-4.3417980E-9	6.7191738E-12	517.37922E-15
-468.71090E-3	-357.22236E-12	-468.71090E-3	-4.3417980E-9	6.6166881E-12	498.32810E-15	-359.17741E-12	-468.71090E-3	-4.3417980E-9	6.7254024E-12	603.92051E-15	-357.19563E-12	-468.71090E-3	-4.3417980E-9	6.6560477E-12	523.58459E-15	-359.30828E-12	-468.71090E-3	-4.3417980E-9	6.6975735E-12	480.94314E-15
-467.45932E-3	-356.38956E-12	-467.45932E-3	-4.3417980E-9	6.5419029E-12	579.00646E-15	-357.98131E-12	-467.45932E-3	-4.3417980E-9	6.7086653E-12	364.89635E-15	-355.72495E-12	-467.45932E-3	-4.3417980E-9	6.6184723E-12	533.27064E-15	-357.68186E-12	-467.45932E-3	-4.3417980E-9	6.6809969E-12	444.89800E-15
-466.20774E-3	-354.22773E-12	-466.20777E-3	-4.3417980E-9	6.6773414E-12	462.88049E-15	-355.99648E-12	-466.20777E-3	-4.3417980E-9	6.6092526E-12	348.71525E-15	-354.17180E-12	-466.20777E-3	-4.3417980E-9	6.6008063E-12	542.54962E-15	-356.06659E-12	-466.20777E-3	-4.3417980E-9	6.6517581E-12	432.28753E-15
-464.95619E-3	-351.42714E-12	-464.95619E-3	-4.3417980E-9	6.5347268E-12	641.29984E-15	-354.23908E-12	-464.95619E-3	-4.3417980E-9	6.6678078E-12	472.16809E-15	-352.72713E-12	-464.95619E-3	-4.3417980E-9	6.6036469E-12	567.27165E-15	-354.45250E-12	-464.95619E-3	-4.3417980E-9	6.6219183E-12	445.80138E-15
-463.70465E-3	-352.08478E-12	-463.70465E-3	-4.3417980E-9	6.6414686E-12	517.10079E-15	-352.96174E-12	-463.70465E-3	-4.3417980E-9	6.5392071E-12	546.06753E-15	-351.46080E-12	-463.70465E-3	-4.3417980E-9	6.5956290E-12	566.19921E-15	-352.82591E-12	-463.70465E-3	-4.3417980E-9	6.5874797E-12	471.10216E-15
-462.45307E-3	-350.78154E-12	-462.45307E-3	-4.3417980E-9	6.6166538E-12	681.51501E-15	-351.39108E-12	-462.45307E-3	-4.3417980E-9	6.6123444E-12	448.30220E-15	-350.16723E-12	-462.45307E-3	-4.3417980E-9	6.5738834E-12	564.49263E-15	-351.18330E-12	-462.45307E-3	-4.3417980E-9	6.5775718E-12	484.23592E-15
