Experiment	bias spectroscopy	
Saved Date	02.07.2018 12:23:02	
User		
Date		
X (m)	-314.915E-9	
Y (m)	-54.2692E-9	
Z (m)	-4.33739E-9	
Z offset (m)	0E+0	
Settling time (s)	20E-3	
Integration time (s)	30E-3	
Z-Ctrl hold	TRUE	
Final Z (m)	N/A	
Start time	02.07.2018 12:21:41	
Filter type	Gaussian	
Order	2	
Cutoff frq		

[DATA]
Bias calc (V)	Current (A)	Bias (V)	Z (m)	LI Demod 1 X (A)	LI Demod 1 Y (A)	Current [bwd] (A)	Bias [bwd] (V)	Z [bwd] (m)	LI Demod 1 X [bwd] (A)	LI Demod 1 Y [bwd] (A)	Current (A) [filt]	Bias (V) [filt]	Z (m) [filt]	LI Demod 1 X (A) [filt]	LI Demod 1 Y (A) [filt]	Current (A) [bwd] [filt]	Bias (V) [bwd] [filt]	Z (m) [bwd] [filt]	LI Demod 1 X (A) [bwd] [filt]	LI Demod 1 Y (A) [bwd] [filt]
-500.00000E-3	-399.79442E-12	-500.00000E-3	-4.3373904E-9	7.5561328E-12	555.19716E-15	-418.75084E-12	-500.00000E-3	-4.3373904E-9	7.7761599E-12	367.68573E-15	-399.79442E-12	-500.00000E-3	-4.3373904E-9	7.5561328E-12	555.19716E-15	-418.75084E-12	-500.00000E-3	-4.3373904E-9	7.7761599E-12	367.68573E-15
-498.74842E-3	-398.29265E-12	-498.74842E-3	-4.3373904E-9	7.4266843E-12	397.14710E-15	-417.92469E-12	-498.74842E-3	-4.3373904E-9	7.7602109E-12	402.31840E-15	-398.11013E-12	-498.74842E-3	-4.3373904E-9	7.4518204E-12	517.76915E-15	-417.13435E-12	-498.74842E-3	-4.3373904E-9	7.7119040E-12	449.47639E-15
-497.49687E-3	-396.61827E-12	-497.49687E-3	-4.3373904E-9	7.2763453E-12	556.70735E-15	-415.22855E-12	-497.49687E-3	-4.3373904E-9	7.6000551E-12	529.59731E-15	-396.28301E-12	-497.49687E-3	-4.3373904E-9	7.4009479E-12	489.72821E-15	-415.35247E-12	-497.49687E-3	-4.3373904E-9	7.6512243E-12	516.68760E-15
-496.24529E-3	-394.02059E-12	-496.24529E-3	-4.3373904E-9	7.4370414E-12	488.50843E-15	-413.15593E-12	-496.24529E-3	-4.3373904E-9	7.6011411E-12	697.62344E-15	-394.36571E-12	-496.24529E-3	-4.3373904E-9	7.4079276E-12	484.91658E-15	-413.39365E-12	-496.24529E-3	-4.3373904E-9	7.6286573E-12	564.42703E-15
-494.99375E-3	-392.39526E-12	-494.99375E-3	-4.3373904E-9	7.4535725E-12	440.76781E-15	-411.49564E-12	-494.99375E-3	-4.3373904E-9	7.5406790E-12	489.67557E-15	-392.51549E-12	-494.99375E-3	-4.3373904E-9	7.4395256E-12	500.32726E-15	-411.44801E-12	-494.99375E-3	-4.3373904E-9	7.6552835E-12	558.23803E-15
-493.74217E-3	-390.77969E-12	-493.74217E-3	-4.3373904E-9	7.4919576E-12	504.40441E-15	-409.64249E-12	-493.74217E-3	-4.3373904E-9	7.8187032E-12	596.45360E-15	-390.81313E-12	-493.74217E-3	-4.3373904E-9	7.4622730E-12	502.34583E-15	-409.60310E-12	-493.74217E-3	-4.3373904E-9	7.6859647E-12	523.97800E-15
-492.49062E-3	-389.22807E-12	-492.49062E-3	-4.3373904E-9	7.4587810E-12	622.23582E-15	-407.74456E-12	-492.49062E-3	-4.3373904E-9	7.7906969E-12	397.26970E-15	-389.20617E-12	-492.49062E-3	-4.3373904E-9	7.4487447E-12	503.82989E-15	-407.75852E-12	-492.49062E-3	-4.3373904E-9	7.6752537E-12	475.74612E-15
-491.23904E-3	-387.70287E-12	-491.23904E-3	-4.3373904E-9	7.4326274E-12	387.14119E-15	-405.87131E-12	-491.23904E-3	-4.3373904E-9	7.4958234E-12	494.18325E-15	-387.43475E-12	-491.23904E-3	-4.3373904E-9	7.4077845E-12	487.72293E-15	-405.86443E-12	-491.23904E-3	-4.3373904E-9	7.6356751E-12	461.65356E-15
-489.98749E-3	-385.80894E-12	-489.98749E-3	-4.3373904E-9	7.3592746E-12	490.84489E-15	-404.06634E-12	-489.98749E-3	-4.3373904E-9	7.5721894E-12	380.56841E-15	-385.47282E-12	-489.98749E-3	-4.3373904E-9	7.3343007E-12	490.36643E-15	-404.01577E-12	-489.98749E-3	-4.3373904E-9	7.5681527E-12	450.82013E-15
-488.73591E-3	-383.00629E-12	-488.73591E-3	-4.3373904E-9	7.2508180E-12	453.07817E-15	-401.89388E-12	-488.73591E-3	-4.3373904E-9	7.6390222E-12	546.38645E-15	-383.47997E-12	-488.73591E-3	-4.3373904E-9	7.2726009E-12	510.88349E-15	-402.26517E-12	-488.73591E-3	-4.3373904E-9	7.5115322E-12	483.91846E-15
