Experiment	bias spectroscopy	
Saved Date	02.07.2018 12:20:06	
User		
Date		
X (m)	-314.915E-9	
Y (m)	-54.2692E-9	
Z (m)	-4.33536E-9	
Z offset (m)	0E+0	
Settling time (s)	20E-3	
Integration time (s)	30E-3	
Z-Ctrl hold	TRUE	
Final Z (m)	N/A	
Start time	02.07.2018 12:18:45	
Filter type	Gaussian	
Order	2	
Cutoff frq		

[DATA]
Bias calc (V)	Current (A)	Bias (V)	Z (m)	LI Demod 1 X (A)	LI Demod 1 Y (A)	Current [bwd] (A)	Bias [bwd] (V)	Z [bwd] (m)	LI Demod 1 X [bwd] (A)	LI Demod 1 Y [bwd] (A)	Current (A) [filt]	Bias (V) [filt]	Z (m) [filt]	LI Demod 1 X (A) [filt]	LI Demod 1 Y (A) [filt]	Current (A) [bwd] [filt]	Bias (V) [bwd] [filt]	Z (m) [bwd] [filt]	LI Demod 1 X (A) [bwd] [filt]	LI Demod 1 Y (A) [bwd] [filt]
-500.00000E-3	-400.57432E-12	-500.00000E-3	-4.3353650E-9	7.5117178E-12	685.79344E-15	-396.61457E-12	-500.00000E-3	-4.3353650E-9	7.2268567E-12	391.50326E-15	-400.57432E-12	-500.00000E-3	-4.3353650E-9	7.5117178E-12	685.79344E-15	-396.61457E-12	-500.00000E-3	-4.3353650E-9	7.2268567E-12	391.50326E-15
-498.74842E-3	-399.95315E-12	-498.74842E-3	-4.3353650E-9	7.4134952E-12	598.31713E-15	-391.38354E-12	-498.74842E-3	-4.3353650E-9	7.2801704E-12	503.09989E-15	-398.70218E-12	-498.74842E-3	-4.3353650E-9	7.4048172E-12	557.50733E-15	-393.56721E-12	-498.74842E-3	-4.3353650E-9	7.3058382E-12	518.28122E-15
-497.49687E-3	-396.42242E-12	-497.49687E-3	-4.3353650E-9	7.2362264E-12	297.96443E-15	-391.94800E-12	-497.49687E-3	-4.3353650E-9	7.4625670E-12	735.78768E-15	-396.63173E-12	-497.49687E-3	-4.3353650E-9	7.3433586E-12	477.90195E-15	-390.84821E-12	-497.49687E-3	-4.3353650E-9	7.3371838E-12	571.60933E-15
-496.24529E-3	-393.67143E-12	-496.24529E-3	-4.3353650E-9	7.3067030E-12	508.68321E-15	-388.20111E-12	-496.24529E-3	-4.3353650E-9	7.3433169E-12	605.85082E-15	-394.35141E-12	-496.24529E-3	-4.3353650E-9	7.2933066E-12	488.08722E-15	-388.63285E-12	-496.24529E-3	-4.3353650E-9	7.3312094E-12	569.55422E-15
-494.99375E-3	-392.49365E-12	-494.99375E-3	-4.3353650E-9	7.3953387E-12	439.04870E-15	-386.56303E-12	-494.99375E-3	-4.3353650E-9	7.2143953E-12	377.97776E-15	-392.26963E-12	-494.99375E-3	-4.3353650E-9	7.2270111E-12	553.06676E-15	-386.60336E-12	-494.99375E-3	-4.3353650E-9	7.3076874E-12	537.88229E-15
-493.74217E-3	-390.14658E-12	-493.74217E-3	-4.3353650E-9	7.0415379E-12	828.17591E-15	-384.41927E-12	-493.74217E-3	-4.3353650E-9	7.3185494E-12	590.99530E-15	-390.55378E-12	-493.74217E-3	-4.3353650E-9	7.1597498E-12	625.66217E-15	-384.45644E-12	-493.74217E-3	-4.3353650E-9	7.2890877E-12	513.77256E-15
-492.49062E-3	-389.03486E-12	-492.49062E-3	-4.3353650E-9	6.9841741E-12	629.65637E-15	-382.60956E-12	-492.49062E-3	-4.3353650E-9	7.3079780E-12	518.31271E-15	-388.93749E-12	-492.49062E-3	-4.3353650E-9	7.1475499E-12	625.20535E-15	-382.57683E-12	-492.49062E-3	-4.3353650E-9	7.2967847E-12	513.55095E-15
-491.23904E-3	-387.65191E-12	-491.23904E-3	-4.3353650E-9	7.2070835E-12	578.75677E-15	-380.26310E-12	-491.23904E-3	-4.3353650E-9	7.2729036E-12	489.64739E-15	-387.27824E-12	-491.23904E-3	-4.3353650E-9	7.2084960E-12	599.09906E-15	-380.90092E-12	-491.23904E-3	-4.3353650E-9	7.2920966E-12	513.88066E-15
-489.98749E-3	-385.27859E-12	-489.98749E-3	-4.3353650E-9	7.4422586E-12	467.90561E-15	-379.49952E-12	-489.98749E-3	-4.3353650E-9	7.3532291E-12	522.83438E-15	-385.58892E-12	-489.98749E-3	-4.3353650E-9	7.2713315E-12	548.76839E-15	-379.39443E-12	-489.98749E-3	-4.3353650E-9	7.2533069E-12	491.46418E-15
-488.73591E-3	-383.90863E-12	-488.73591E-3	-4.3353650E-9	7.3593076E-12	638.36517E-15	-378.46606E-12	-488.73591E-3	-4.3353650E-9	7.1547737E-12	474.30137E-15	-383.97358E-12	-488.73591E-3	-4.3353650E-9	7.2731235E-12	522.61407E-15	-377.71505E-12	-488.73591E-3	-4.3353650E-9	7.1945709E-12	488.38467E-15
-487.48437E-3	-382.17632E-12	-487.48437E-3	-4.3353650E-9	7.0436278E-12	434.52630E-15	-376.02016E-12	-487.48437E-3	-4.3353650E-9	7.0941278E-12	419.52263E-15	-382.37069E-12	-487.48437E-3	-4.3353650E-9	7.2199412E-12	509.94826E-15	-375.79456E-12	-487.48437E-3	-4.3353650E-9	7.1430960E-12	498.54213E-15
-486.23279E-3	-381.51388E-12	-486.23279E-3	-4.3353650E-9	7.2326754E-12	454.12689E-15	-372.93604E-12	-486.23279E-3	-4.3353650E-9	7.1011782E-12	598.25506E-15	-380.63985E-12	-486.23279E-3	-4.3353650E-9	7.1540890E-12	476.65138E-15	-373.88245E-12	-486.23279E-3	-4.3353650E-9	7.1189508E-12	518.33153E-15
-484.98124E-3	-378.54914E-12	-484.98124E-3	-4.3353650E-9	7.1548952E-12	603.32441E-15	-371.87237E-12	-484.98124E-3	-4.3353650E-9	7.1300908E-12	529.27275E-15	-378.61958E-12	-484.98124E-3	-4.3353650E-9	7.1080719E-12	446.14125E-15	-372.32012E-12	-484.98124E-3	-4.3353650E-9	7.1306359E-12	536.22699E-15
-483.72966E-3	-376.16868E-12	-483.72966E-3	-4.3353650E-9	6.9673893E-12	197.17724E-15	-371.60131E-12	-483.72966E-3	-4.3353650E-9	7.1604064E-12	531.12273E-15	-376.57949E-12	-483.72966E-3	-4.3353650E-9	7.0751222E-12	425.32956E-15	-371.00439E-12	-483.72966E-3	-4.3353650E-9	7.1282372E-12	550.85331E-15
-482.47808E-3	-374.31558E-12	-482.47811E-3	-4.3353650E-9	7.0792755E-12	540.63942E-15	-370.05499E-12	-482.47811E-3	-4.3353650E-9	7.1679654E-12	551.32721E-15	-374.73044E-12	-482.47811E-3	-4.3353650E-9	7.0441140E-12	444.24441E-15	-369.64706E-12	-482.47811E-3	-4.3353650E-9	7.1086318E-12	552.23025E-15
-481.22653E-3	-373.38468E-12	-481.22653E-3	-4.3353650E-9	7.0327442E-12	395.78836E-15	-367.62249E-12	-481.22653E-3	-4.3353650E-9	6.9798234E-12	601.76782E-15	-373.08423E-12	-481.22653E-3	-4.3353650E-9	7.0331848E-12	488.36434E-15	-368.09888E-12	-481.22653E-3	-4.3353650E-9	7.0643335E-12	559.58547E-15
-479.97496E-3	-371.84367E-12	-479.97496E-3	-4.3353650E-9	7.0242484E-12	648.75839E-15	-366.46172E-12	-479.97496E-3	-4.3353650E-9	7.0889670E-12	517.45598E-15	-371.48559E-12	-479.97496E-3	-4.3353650E-9	7.0317628E-12	519.57039E-15	-366.32339E-12	-479.97496E-3	-4.3353650E-9	7.0125802E-12	544.99970E-15
-478.72341E-3	-369.20261E-12	-478.72341E-3	-4.3353650E-9	7.0215218E-12	580.97835E-15	-365.21616E-12	-478.72341E-3	-4.3353650E-9	6.9264464E-12	580.05581E-15	-369.91787E-12	-478.72341E-3	-4.3353650E-9	7.0494812E-12	481.59724E-15	-364.57626E-12	-478.72341E-3	-4.3353650E-9	6.9724985E-12	512.20475E-15
-477.47183E-3	-368.49487E-12	-477.47183E-3	-4.3353650E-9	7.0242796E-12	279.37784E-15	-361.80947E-12	-477.47183E-3	-4.3353650E-9	6.9012452E-12	419.15175E-15	-368.37844E-12	-477.47183E-3	-4.3353650E-9	7.0812505E-12	416.04545E-15	-362.79629E-12	-477.47183E-3	-4.3353650E-9	6.9289752E-12	491.04058E-15
-476.22028E-3	-367.33086E-12	-476.22028E-3	-4.3353650E-9	7.2489909E-12	371.47862E-15	-361.65643E-12	-476.22028E-3	-4.3353650E-9	6.9946362E-12	424.07958E-15	-366.79862E-12	-476.22028E-3	-4.3353650E-9	7.0893330E-12	379.99660E-15	-361.05266E-12	-476.22028E-3	-4.3353650E-9	6.8595672E-12	512.79326E-15
-474.96870E-3	-365.06964E-12	-474.96870E-3	-4.3353650E-9	7.0644562E-12	300.01869E-15	-359.10350E-12	-474.96870E-3	-4.3353650E-9	6.7107101E-12	613.35068E-15	-365.25682E-12	-474.96870E-3	-4.3353650E-9	7.0559990E-12	417.62722E-15	-359.22396E-12	-474.96870E-3	-4.3353650E-9	6.8148165E-12	547.10294E-15
-473.71715E-3	-363.01717E-12	-473.71715E-3	-4.3353650E-9	6.9135305E-12	584.49236E-15	-357.77220E-12	-473.71715E-3	-4.3353650E-9	6.6524286E-12	672.03838E-15	-363.88051E-12	-473.71715E-3	-4.3353650E-9	6.9795315E-12	491.33055E-15	-357.57156E-12	-473.71715E-3	-4.3353650E-9	6.8076673E-12	573.39729E-15
-472.46557E-3	-362.87823E-12	-472.46557E-3	-4.3353650E-9	6.9577716E-12	620.01288E-15	-354.88973E-12	-472.46557E-3	-4.3353650E-9	6.9744739E-12	490.92626E-15	-362.41374E-12	-472.46557E-3	-4.3353650E-9	6.8854956E-12	537.42996E-15	-355.88757E-12	-472.46557E-3	-4.3353650E-9	6.8171154E-12	572.89161E-15
-471.21403E-3	-362.38146E-12	-471.21403E-3	-4.3353650E-9	6.7557622E-12	490.52906E-15	-355.37553E-12	-471.21403E-3	-4.3353650E-9	6.8948098E-12	544.59047E-15	-360.59294E-12	-471.21403E-3	-4.3353650E-9	6.8561749E-12	543.97583E-15	-354.11338E-12	-471.21403E-3	-4.3353650E-9	6.8244911E-12	547.02906E-15
-469.96245E-3	-357.28615E-12	-469.96245E-3	-4.3353650E-9	6.7253651E-12	550.01549E-15	-352.47816E-12	-469.96245E-3	-4.3353650E-9	6.6799396E-12	605.25711E-15	-358.48421E-12	-469.96245E-3	-4.3353650E-9	6.8719483E-12	520.64500E-15	-352.14298E-12	-469.96245E-3	-4.3353650E-9	6.8086166E-12	540.03931E-15
