Experiment	bias spectroscopy	
Saved Date	02.07.2018 12:11:53	
User		
Date		
X (m)	-314.915E-9	
Y (m)	-54.2692E-9	
Z (m)	-4.33911E-9	
Z offset (m)	0E+0	
Settling time (s)	20E-3	
Integration time (s)	30E-3	
Z-Ctrl hold	TRUE	
Final Z (m)	N/A	
Start time	02.07.2018 12:09:13	
Filter type	Gaussian	
Order	2	
Cutoff frq		

[DATA]
Bias calc (V)	Current (A)	Bias (V)	Z (m)	LI Demod 1 X (A)	LI Demod 1 Y (A)	Current [bwd] (A)	Bias [bwd] (V)	Z [bwd] (m)	LI Demod 1 X [bwd] (A)	LI Demod 1 Y [bwd] (A)	Current (A) [filt]	Bias (V) [filt]	Z (m) [filt]	LI Demod 1 X (A) [filt]	LI Demod 1 Y (A) [filt]	Current (A) [bwd] [filt]	Bias (V) [bwd] [filt]	Z (m) [bwd] [filt]	LI Demod 1 X (A) [bwd] [filt]	LI Demod 1 Y (A) [bwd] [filt]
-500.00000E-3	-400.30840E-12	-500.00000E-3	-4.3379895E-9	7.2448549E-12	546.66059E-15	-400.63525E-12	-500.00000E-3	-4.3379895E-9	7.2997944E-12	550.97664E-15	-400.30840E-12	-500.00000E-3	-4.3379895E-9	7.2448549E-12	546.66059E-15	-400.63525E-12	-500.00000E-3	-4.3379895E-9	7.2997944E-12	550.97664E-15
-498.74842E-3	-398.32471E-12	-498.74842E-3	-4.3379895E-9	7.3048703E-12	478.14492E-15	-399.64360E-12	-498.74842E-3	-4.3379895E-9	7.2374767E-12	493.65915E-15	-398.31025E-12	-498.74842E-3	-4.3379895E-9	7.2313583E-12	502.30414E-15	-399.05726E-12	-498.74842E-3	-4.3379895E-9	7.2672697E-12	534.54290E-15
-497.49687E-3	-396.28467E-12	-497.49687E-3	-4.3379895E-9	7.2226010E-12	438.79402E-15	-397.21992E-12	-497.49687E-3	-4.3379895E-9	7.2221131E-12	531.08765E-15	-396.35673E-12	-497.49687E-3	-4.3379895E-9	7.2009373E-12	478.20732E-15	-397.38107E-12	-497.49687E-3	-4.3379895E-9	7.2524187E-12	529.33076E-15
-496.24529E-3	-394.34706E-12	-496.24529E-3	-4.3379895E-9	7.0680180E-12	495.65213E-15	-395.44282E-12	-496.24529E-3	-4.3379895E-9	7.2801548E-12	544.44990E-15	-394.54956E-12	-496.24529E-3	-4.3379895E-9	7.1675751E-12	470.44877E-15	-395.54374E-12	-496.24529E-3	-4.3379895E-9	7.2532184E-12	533.23616E-15
-494.99375E-3	-392.68921E-12	-494.99375E-3	-4.3379895E-9	7.1594970E-12	480.09199E-15	-393.87849E-12	-494.99375E-3	-4.3379895E-9	7.2603364E-12	546.41849E-15	-392.86641E-12	-494.99375E-3	-4.3379895E-9	7.1631629E-12	468.62725E-15	-393.47675E-12	-494.99375E-3	-4.3379895E-9	7.2451650E-12	530.94427E-15
-493.74217E-3	-391.59004E-12	-493.74217E-3	-4.3379895E-9	7.2015159E-12	440.84099E-15	-391.69512E-12	-493.74217E-3	-4.3379895E-9	7.2465198E-12	518.97261E-15	-391.20152E-12	-493.74217E-3	-4.3379895E-9	7.1746988E-12	467.26940E-15	-391.43383E-12	-493.74217E-3	-4.3379895E-9	7.2234380E-12	524.13548E-15
-492.49062E-3	-389.49724E-12	-492.49062E-3	-4.3379895E-9	7.2339179E-12	468.90812E-15	-388.25121E-12	-492.49062E-3	-4.3379895E-9	7.1500366E-12	485.48990E-15	-389.53868E-12	-492.49062E-3	-4.3379895E-9	7.1737165E-12	472.97799E-15	-389.56943E-12	-492.49062E-3	-4.3379895E-9	7.1961413E-12	518.80879E-15
-491.23904E-3	-387.45837E-12	-491.23904E-3	-4.3379895E-9	7.1152979E-12	480.11194E-15	-388.27697E-12	-491.23904E-3	-4.3379895E-9	7.1812534E-12	552.49457E-15	-387.79713E-12	-491.23904E-3	-4.3379895E-9	7.1357755E-12	489.36078E-15	-387.96807E-12	-491.23904E-3	-4.3379895E-9	7.1697817E-12	525.66111E-15
-489.98749E-3	-386.56206E-12	-489.98749E-3	-4.3379895E-9	7.0891132E-12	529.85860E-15	-387.07965E-12	-489.98749E-3	-4.3379895E-9	7.1821386E-12	510.10948E-15	-386.00545E-12	-489.98749E-3	-4.3379895E-9	7.0902516E-12	504.11688E-15	-386.52423E-12	-489.98749E-3	-4.3379895E-9	7.1427395E-12	536.51230E-15
-488.73591E-3	-383.94066E-12	-488.73591E-3	-4.3379895E-9	7.0167136E-12	520.58574E-15	-384.68279E-12	-488.73591E-3	-4.3379895E-9	7.0774996E-12	577.37387E-15	-384.29010E-12	-488.73591E-3	-4.3379895E-9	7.0670548E-12	510.24289E-15	-385.02951E-12	-488.73591E-3	-4.3379895E-9	7.1110253E-12	540.00023E-15
