Experiment	bias spectroscopy	
Saved Date	02.07.2018 11:08:36	
User		
Date		
X (m)	-314.915E-9	
Y (m)	-54.2692E-9	
Z (m)	-4.51339E-9	
Z offset (m)	0E+0	
Settling time (s)	20E-3	
Integration time (s)	30E-3	
Z-Ctrl hold	TRUE	
Final Z (m)	N/A	
Start time	02.07.2018 11:05:55	
Filter type	Gaussian	
Order	2	
Cutoff frq		

[DATA]
Bias calc (V)	Current [AVG] (A)	Bias [AVG] (V)	Z [AVG] (m)	LI Demod 1 X [AVG] (A)	LI Demod 1 Y [AVG] (A)	Current [00001] (A)	Bias [00001] (V)	Z [00001] (m)	LI Demod 1 X [00001] (A)	LI Demod 1 Y [00001] (A)	Current [00002] (A)	Bias [00002] (V)	Z [00002] (m)	LI Demod 1 X [00002] (A)	LI Demod 1 Y [00002] (A)	Current [AVG] [bwd] (A)	Bias [AVG] [bwd] (V)	Z [AVG] [bwd] (m)	LI Demod 1 X [AVG] [bwd] (A)	LI Demod 1 Y [AVG] [bwd] (A)	Current [00001] [bwd] (A)	Bias [00001] [bwd] (V)	Z [00001] [bwd] (m)	LI Demod 1 X [00001] [bwd] (A)	LI Demod 1 Y [00001] [bwd] (A)	Current [00002] [bwd] (A)	Bias [00002] [bwd] (V)	Z [00002] [bwd] (m)	LI Demod 1 X [00002] [bwd] (A)	LI Demod 1 Y [00002] [bwd] (A)	Current [AVG] (A) [filt]	Bias [AVG] (V) [filt]	Z [AVG] (m) [filt]	LI Demod 1 X [AVG] (A) [filt]	LI Demod 1 Y [AVG] (A) [filt]	Current [00001] (A) [filt]	Bias [00001] (V) [filt]	Z [00001] (m) [filt]	LI Demod 1 X [00001] (A) [filt]	LI Demod 1 Y [00001] (A) [filt]	Current [00002] (A) [filt]	Bias [00002] (V) [filt]	Z [00002] (m) [filt]	LI Demod 1 X [00002] (A) [filt]	LI Demod 1 Y [00002] (A) [filt]	Current [AVG] (A) [bwd] [filt]	Bias [AVG] (V) [bwd] [filt]	Z [AVG] (m) [bwd] [filt]	LI Demod 1 X [AVG] (A) [bwd] [filt]	LI Demod 1 Y [AVG] (A) [bwd] [filt]	Current [00001] (A) [bwd] [filt]	Bias [00001] (V) [bwd] [filt]	Z [00001] (m) [bwd] [filt]	LI Demod 1 X [00001] (A) [bwd] [filt]	LI Demod 1 Y [00001] (A) [bwd] [filt]	Current [00002] (A) [bwd] [filt]	Bias [00002] (V) [bwd] [filt]	Z [00002] (m) [bwd] [filt]	LI Demod 1 X [00002] (A) [bwd] [filt]	LI Demod 1 Y [00002] (A) [bwd] [filt]
-500.00000E-3	-402.03638E-12	-500.00000E-3	-4.5204027E-9	7.5434797E-12	572.62902E-15	-400.08791E-12	-500.00000E-3	-4.5274162E-9	7.6785904E-12	539.13525E-15	-403.98485E-12	-500.00000E-3	-4.5133888E-9	7.4083699E-12	606.12279E-15	-426.59337E-12	-500.00000E-3	-4.5204027E-9	8.1144501E-12	477.62830E-15	-425.39497E-12	-500.00000E-3	-4.5274162E-9	8.1095157E-12	416.71899E-15	-427.79175E-12	-500.00000E-3	-4.5133888E-9	8.1193845E-12	538.53764E-15	-402.03638E-12	-500.00000E-3	-4.5204027E-9	7.5434797E-12	572.62902E-15	-400.08791E-12	-500.00000E-3	-4.5274162E-9	7.6785904E-12	539.13525E-15	-403.98485E-12	-500.00000E-3	-4.5133888E-9	7.4083699E-12	606.12279E-15	-426.59337E-12	-500.00000E-3	-4.5204027E-9	8.1144501E-12	477.62830E-15	-425.39497E-12	-500.00000E-3	-4.5274162E-9	8.1095157E-12	416.71899E-15	-427.79175E-12	-500.00000E-3	-4.5133888E-9	8.1193845E-12	538.53764E-15
-498.74842E-3	-400.00500E-12	-498.74842E-3	-4.5204027E-9	7.5765991E-12	602.36614E-15	-397.76629E-12	-498.74842E-3	-4.5274162E-9	7.6557771E-12	716.48134E-15	-402.24371E-12	-498.74842E-3	-4.5133888E-9	7.4974202E-12	488.25088E-15	-424.68989E-12	-498.74842E-3	-4.5204027E-9	8.0773235E-12	362.90328E-15	-423.48533E-12	-498.74842E-3	-4.5274162E-9	7.9751136E-12	343.51414E-15	-425.89449E-12	-498.74842E-3	-4.5133888E-9	8.1795326E-12	382.29242E-15	-399.45208E-12	-498.74842E-3	-4.5204027E-9	7.5572144E-12	556.39082E-15	-398.08409E-12	-498.74842E-3	-4.5274162E-9	7.6694328E-12	567.14008E-15	-400.82004E-12	-498.74842E-3	-4.5133888E-9	7.4449969E-12	545.64155E-15	-424.54021E-12	-498.74842E-3	-4.5204027E-9	8.0773782E-12	454.67953E-15	-423.39365E-12	-498.74842E-3	-4.5274162E-9	8.0253981E-12	418.70592E-15	-425.68674E-12	-498.74842E-3	-4.5133888E-9	8.1293583E-12	490.65315E-15
-497.49687E-3	-396.22866E-12	-497.49687E-3	-4.5204027E-9	7.5777492E-12	474.39949E-15	-396.31212E-12	-497.49687E-3	-4.5274162E-9	7.6737644E-12	496.77385E-15	-396.14517E-12	-497.49687E-3	-4.5133888E-9	7.4817331E-12	452.02514E-15	-422.49865E-12	-497.49687E-3	-4.5204027E-9	8.0527312E-12	487.79096E-15	-421.35245E-12	-497.49687E-3	-4.5274162E-9	7.9550255E-12	468.63734E-15	-423.64484E-12	-497.49687E-3	-4.5133888E-9	8.1504369E-12	506.94458E-15	-396.84575E-12	-497.49687E-3	-4.5204027E-9	7.5490968E-12	536.90581E-15	-396.16466E-12	-497.49687E-3	-4.5274162E-9	7.6491972E-12	559.38376E-15	-397.52682E-12	-497.49687E-3	-4.5133888E-9	7.4489954E-12	514.42791E-15	-422.45565E-12	-497.49687E-3	-4.5204027E-9	8.0474325E-12	449.01788E-15	-421.41668E-12	-497.49687E-3	-4.5274162E-9	7.9712920E-12	438.17730E-15	-423.49463E-12	-497.49687E-3	-4.5133888E-9	8.1235730E-12	459.85844E-15
-496.24529E-3	-394.68637E-12	-496.24529E-3	-4.5204027E-9	7.5369823E-12	584.11533E-15	-394.13181E-12	-496.24529E-3	-4.5274162E-9	7.6460270E-12	574.79097E-15	-395.24092E-12	-496.24529E-3	-4.5133888E-9	7.4279376E-12	593.43969E-15	-420.15200E-12	-496.24529E-3	-4.5204027E-9	7.9770270E-12	447.80000E-15	-419.31794E-12	-496.24529E-3	-4.5274162E-9	7.9144712E-12	450.38197E-15	-420.98605E-12	-496.24529E-3	-4.5133888E-9	8.0395820E-12	445.21803E-15	-394.25135E-12	-496.24529E-3	-4.5204027E-9	7.5075146E-12	521.96610E-15	-394.39441E-12	-496.24529E-3	-4.5274162E-9	7.5989891E-12	531.75791E-15	-394.10830E-12	-496.24529E-3	-4.5133888E-9	7.4160400E-12	512.17429E-15	-420.42420E-12	-496.24529E-3	-4.5204027E-9	8.0237449E-12	474.58798E-15	-419.50110E-12	-496.24529E-3	-4.5274162E-9	7.9558322E-12	474.38431E-15	-421.34729E-12	-496.24529E-3	-4.5133888E-9	8.0916584E-12	474.79159E-15
-494.99375E-3	-391.21575E-12	-494.99375E-3	-4.5204027E-9	7.4442501E-12	432.57040E-15	-392.75344E-12	-494.99375E-3	-4.5274162E-9	7.5458025E-12	384.63080E-15	-389.67807E-12	-494.99375E-3	-4.5133888E-9	7.3426985E-12	480.51000E-15	-418.34805E-12	-494.99375E-3	-4.5204027E-9	8.0517823E-12	499.89413E-15	-417.67673E-12	-494.99375E-3	-4.5274162E-9	7.9894815E-12	551.40116E-15	-419.01937E-12	-494.99375E-3	-4.5133888E-9	8.1140832E-12	448.38710E-15	-391.78427E-12	-494.99375E-3	-4.5204027E-9	7.4563402E-12	516.49191E-15	-392.63676E-12	-494.99375E-3	-4.5274162E-9	7.5360829E-12	509.65623E-15	-390.93179E-12	-494.99375E-3	-4.5133888E-9	7.3765985E-12	523.32764E-15	-418.51511E-12	-494.99375E-3	-4.5204027E-9	7.9919526E-12	504.69454E-15	-417.61744E-12	-494.99375E-3	-4.5274162E-9	7.9467769E-12	488.81168E-15	-419.41278E-12	-494.99375E-3	-4.5133888E-9	8.0371291E-12	520.57740E-15
-493.74217E-3	-389.55555E-12	-493.74217E-3	-4.5204027E-9	7.3435754E-12	562.57592E-15	-391.15036E-12	-493.74217E-3	-4.5274162E-9	7.3686387E-12	615.58760E-15	-387.96077E-12	-493.74217E-3	-4.5133888E-9	7.3185130E-12	509.56429E-15	-416.90204E-12	-493.74217E-3	-4.5204027E-9	7.9764424E-12	577.56610E-15	-415.95771E-12	-493.74217E-3	-4.5274162E-9	7.9794522E-12	519.62151E-15	-417.84637E-12	-493.74217E-3	-4.5133888E-9	7.9734335E-12	635.51063E-15	-389.57929E-12	-493.74217E-3	-4.5204027E-9	7.4083786E-12	509.85008E-15	-390.80320E-12	-493.74217E-3	-4.5274162E-9	7.4636243E-12	501.33172E-15	-388.35540E-12	-493.74217E-3	-4.5133888E-9	7.3531337E-12	518.36844E-15	-416.72546E-12	-493.74217E-3	-4.5204027E-9	7.9535380E-12	513.23859E-15	-415.77433E-12	-493.74217E-3	-4.5274162E-9	7.9253557E-12	466.80325E-15	-417.67662E-12	-493.74217E-3	-4.5133888E-9	7.9817212E-12	559.67389E-15
-492.49062E-3	-387.45979E-12	-492.49062E-3	-4.5204027E-9	7.4358002E-12	545.98801E-15	-388.62591E-12	-492.49062E-3	-4.5274162E-9	7.4937044E-12	500.24584E-15	-386.29364E-12	-492.49062E-3	-4.5133888E-9	7.3778969E-12	591.73017E-15	-414.93520E-12	-492.49062E-3	-4.5204027E-9	7.8329756E-12	500.82367E-15	-413.63493E-12	-492.49062E-3	-4.5274162E-9	7.8216600E-12	354.98143E-15	-416.23549E-12	-492.49062E-3	-4.5133888E-9	7.8442921E-12	646.66593E-15	-387.63037E-12	-492.49062E-3	-4.5204027E-9	7.3782829E-12	486.98215E-15	-388.89639E-12	-492.49062E-3	-4.5274162E-9	7.4159298E-12	481.93285E-15	-386.36438E-12	-492.49062E-3	-4.5133888E-9	7.3406368E-12	492.03144E-15	-414.92706E-12	-492.49062E-3	-4.5204027E-9	7.9098828E-12	508.49234E-15	-413.89475E-12	-492.49062E-3	-4.5274162E-9	7.8693389E-12	451.50326E-15	-415.95941E-12	-492.49062E-3	-4.5133888E-9	7.9504268E-12	565.48147E-15
-491.23904E-3	-385.55936E-12	-491.23904E-3	-4.5204027E-9	7.3219391E-12	379.35817E-15	-387.01156E-12	-491.23904E-3	-4.5274162E-9	7.3017720E-12	366.64741E-15	-384.10719E-12	-491.23904E-3	-4.5133888E-9	7.3421061E-12	392.06892E-15	-413.17397E-12	-491.23904E-3	-4.5204027E-9	7.9150384E-12	458.34940E-15	-412.23386E-12	-491.23904E-3	-4.5274162E-9	7.8729618E-12	397.28252E-15	-414.11408E-12	-491.23904E-3	-4.5133888E-9	7.9571150E-12	519.41632E-15	-386.05427E-12	-491.23904E-3	-4.5204027E-9	7.3660982E-12	469.82877E-15	-386.95633E-12	-491.23904E-3	-4.5274162E-9	7.3844776E-12	463.37397E-15	-385.15222E-12	-491.23904E-3	-4.5133888E-9	7.3477188E-12	476.28356E-15	-413.03896E-12	-491.23904E-3	-4.5204027E-9	7.8648624E-12	494.91715E-15	-412.00640E-12	-491.23904E-3	-4.5274162E-9	7.7937743E-12	454.84005E-15	-414.07155E-12	-491.23904E-3	-4.5133888E-9	7.9359514E-12	534.99425E-15
-489.98749E-3	-384.81751E-12	-489.98749E-3	-4.5204027E-9	7.3487215E-12	448.80739E-15	-384.99320E-12	-489.98749E-3	-4.5274162E-9	7.4164286E-12	490.56733E-15	-384.64182E-12	-489.98749E-3	-4.5133888E-9	7.2810143E-12	407.04742E-15	-411.01433E-12	-489.98749E-3	-4.5204027E-9	7.8252170E-12	497.85973E-15	-409.96784E-12	-489.98749E-3	-4.5274162E-9	7.6380248E-12	584.55785E-15	-412.06083E-12	-489.98749E-3	-4.5133888E-9	8.0124093E-12	411.16158E-15	-384.61731E-12	-489.98749E-3	-4.5204027E-9	7.3609452E-12	455.52830E-15	-385.05557E-12	-489.98749E-3	-4.5274162E-9	7.3658796E-12	443.21743E-15	-384.17905E-12	-489.98749E-3	-4.5133888E-9	7.3560099E-12	467.83909E-15	-411.05055E-12	-489.98749E-3	-4.5204027E-9	7.8376472E-12	484.76154E-15	-410.07134E-12	-489.98749E-3	-4.5274162E-9	7.7349334E-12	476.56529E-15	-412.02980E-12	-489.98749E-3	-4.5133888E-9	7.9403602E-12	492.95773E-15
-488.73591E-3	-383.54109E-12	-488.73591E-3	-4.5204027E-9	7.3978853E-12	506.27926E-15	-383.23364E-12	-488.73591E-3	-4.5274162E-9	7.3262594E-12	438.46426E-15	-383.84854E-12	-488.73591E-3	-4.5133888E-9	7.4695111E-12	574.09421E-15	-409.08082E-12	-488.73591E-3	-4.5204027E-9	7.7683250E-12	492.93610E-15	-408.30483E-12	-488.73591E-3	-4.5274162E-9	7.6635295E-12	483.30442E-15	-409.85679E-12	-488.73591E-3	-4.5133888E-9	7.8731206E-12	502.56777E-15	-383.20599E-12	-488.73591E-3	-4.5204027E-9	7.3478385E-12	464.51677E-15	-383.26367E-12	-488.73591E-3	-4.5274162E-9	7.3347968E-12	451.74631E-15	-383.14832E-12	-488.73591E-3	-4.5133888E-9	7.3608801E-12	477.28721E-15	-409.07489E-12	-488.73591E-3	-4.5204027E-9	7.8229437E-12	491.05181E-15	-408.14571E-12	-488.73591E-3	-4.5274162E-9	7.7139345E-12	500.30753E-15	-410.00406E-12	-488.73591E-3	-4.5133888E-9	7.9319528E-12	481.79608E-15
