Experiment	bias spectroscopy	
Saved Date	02.07.2018 11:51:41	
User		
Date		
X (m)	-314.915E-9	
Y (m)	-54.2692E-9	
Z (m)	-4.33297E-9	
Z offset (m)	0E+0	
Settling time (s)	20E-3	
Integration time (s)	30E-3	
Z-Ctrl hold	TRUE	
Final Z (m)	N/A	
Start time	02.07.2018 11:49:01	
Filter type	Gaussian	
Order	2	
Cutoff frq		

[DATA]
Bias calc (V)	Current (A)	Bias (V)	Z (m)	LI Demod 1 X (A)	LI Demod 1 Y (A)	Current [bwd] (A)	Bias [bwd] (V)	Z [bwd] (m)	LI Demod 1 X [bwd] (A)	LI Demod 1 Y [bwd] (A)	Current (A) [filt]	Bias (V) [filt]	Z (m) [filt]	LI Demod 1 X (A) [filt]	LI Demod 1 Y (A) [filt]	Current (A) [bwd] [filt]	Bias (V) [bwd] [filt]	Z (m) [bwd] [filt]	LI Demod 1 X (A) [bwd] [filt]	LI Demod 1 Y (A) [bwd] [filt]
-500.00000E-3	-400.28569E-12	-500.00000E-3	-4.3316697E-9	7.1841170E-12	493.97487E-15	-401.71289E-12	-500.00000E-3	-4.3316697E-9	7.2543889E-12	546.14061E-15	-400.28569E-12	-500.00000E-3	-4.3316697E-9	7.1841170E-12	493.97487E-15	-401.71289E-12	-500.00000E-3	-4.3316697E-9	7.2543889E-12	546.14061E-15
-498.74842E-3	-398.11823E-12	-498.74842E-3	-4.3316697E-9	7.2079920E-12	515.67106E-15	-400.06293E-12	-498.74842E-3	-4.3316697E-9	7.1960476E-12	560.76693E-15	-398.31019E-12	-498.74842E-3	-4.3316697E-9	7.1786513E-12	515.88600E-15	-399.67299E-12	-498.74842E-3	-4.3316697E-9	7.2220884E-12	543.29094E-15
-497.49687E-3	-396.29389E-12	-497.49687E-3	-4.3316697E-9	7.1582870E-12	571.05026E-15	-397.36467E-12	-497.49687E-3	-4.3316697E-9	7.2283117E-12	537.44119E-15	-396.45476E-12	-497.49687E-3	-4.3316697E-9	7.1602685E-12	524.70674E-15	-397.72172E-12	-497.49687E-3	-4.3316697E-9	7.1826213E-12	532.14085E-15
-496.24529E-3	-394.77543E-12	-496.24529E-3	-4.3316697E-9	7.1488431E-12	489.68051E-15	-395.49153E-12	-496.24529E-3	-4.3316697E-9	7.1206773E-12	513.91432E-15	-394.75631E-12	-496.24529E-3	-4.3316697E-9	7.1304347E-12	526.54219E-15	-395.85610E-12	-496.24529E-3	-4.3316697E-9	7.1530876E-12	520.71032E-15
-494.99375E-3	-393.09472E-12	-494.99375E-3	-4.3316697E-9	7.0649632E-12	522.74282E-15	-394.46613E-12	-494.99375E-3	-4.3316697E-9	7.0893656E-12	481.71748E-15	-393.14565E-12	-494.99375E-3	-4.3316697E-9	7.0918106E-12	522.27325E-15	-394.12321E-12	-494.99375E-3	-4.3316697E-9	7.1368931E-12	518.38742E-15
-493.74217E-3	-391.60492E-12	-493.74217E-3	-4.3316697E-9	7.0824770E-12	551.43341E-15	-392.38932E-12	-493.74217E-3	-4.3316697E-9	7.1738787E-12	546.25553E-15	-391.51349E-12	-493.74217E-3	-4.3316697E-9	7.0654940E-12	525.40947E-15	-392.45004E-12	-493.74217E-3	-4.3316697E-9	7.1263165E-12	527.42901E-15
-492.49062E-3	-389.94730E-12	-492.49062E-3	-4.3316697E-9	6.9973359E-12	479.48662E-15	-390.72345E-12	-492.49062E-3	-4.3316697E-9	7.1306971E-12	549.48559E-15	-389.76708E-12	-492.49062E-3	-4.3316697E-9	7.0485332E-12	532.37081E-15	-390.70364E-12	-492.49062E-3	-4.3316697E-9	7.1205567E-12	539.56649E-15
-491.23904E-3	-387.97113E-12	-491.23904E-3	-4.3316697E-9	7.0813945E-12	593.26204E-15	-388.96078E-12	-491.23904E-3	-4.3316697E-9	7.0716185E-12	539.84530E-15	-387.94296E-12	-491.23904E-3	-4.3316697E-9	7.0449328E-12	534.97387E-15	-388.90466E-12	-491.23904E-3	-4.3316697E-9	7.0986580E-12	546.37523E-15
-489.98749E-3	-385.86101E-12	-489.98749E-3	-4.3316697E-9	7.0298455E-12	516.49050E-15	-387.00820E-12	-489.98749E-3	-4.3316697E-9	7.1149050E-12	555.70148E-15	-386.16155E-12	-489.98749E-3	-4.3316697E-9	7.0378625E-12	529.69754E-15	-387.17887E-12	-489.98749E-3	-4.3316697E-9	7.0748125E-12	551.55869E-15
-488.73591E-3	-384.36859E-12	-488.73591E-3	-4.3316697E-9	7.0409798E-12	516.66646E-15	-385.43191E-12	-488.73591E-3	-4.3316697E-9	6.9947164E-12	537.91682E-15	-384.48653E-12	-488.73591E-3	-4.3316697E-9	7.0279407E-12	523.58335E-15	-385.52833E-12	-488.73591E-3	-4.3316697E-9	7.0537179E-12	557.11322E-15
