Experiment	bias spectroscopy	
Saved Date	02.07.2018 11:19:16	
User		
Date		
X (m)	-314.915E-9	
Y (m)	-54.2692E-9	
Z (m)	-4.44205E-9	
Z offset (m)	0E+0	
Settling time (s)	20E-3	
Integration time (s)	30E-3	
Z-Ctrl hold	TRUE	
Final Z (m)	N/A	
Start time	02.07.2018 11:16:36	
Filter type	Gaussian	
Order	2	
Cutoff frq		

[DATA]
Bias calc (V)	Current [AVG] (A)	Bias [AVG] (V)	Z [AVG] (m)	LI Demod 1 X [AVG] (A)	LI Demod 1 Y [AVG] (A)	Current [00001] (A)	Bias [00001] (V)	Z [00001] (m)	LI Demod 1 X [00001] (A)	LI Demod 1 Y [00001] (A)	Current [00002] (A)	Bias [00002] (V)	Z [00002] (m)	LI Demod 1 X [00002] (A)	LI Demod 1 Y [00002] (A)	Current [AVG] [bwd] (A)	Bias [AVG] [bwd] (V)	Z [AVG] [bwd] (m)	LI Demod 1 X [AVG] [bwd] (A)	LI Demod 1 Y [AVG] [bwd] (A)	Current [00001] [bwd] (A)	Bias [00001] [bwd] (V)	Z [00001] [bwd] (m)	LI Demod 1 X [00001] [bwd] (A)	LI Demod 1 Y [00001] [bwd] (A)	Current [00002] [bwd] (A)	Bias [00002] [bwd] (V)	Z [00002] [bwd] (m)	LI Demod 1 X [00002] [bwd] (A)	LI Demod 1 Y [00002] [bwd] (A)	Current [AVG] (A) [filt]	Bias [AVG] (V) [filt]	Z [AVG] (m) [filt]	LI Demod 1 X [AVG] (A) [filt]	LI Demod 1 Y [AVG] (A) [filt]	Current [00001] (A) [filt]	Bias [00001] (V) [filt]	Z [00001] (m) [filt]	LI Demod 1 X [00001] (A) [filt]	LI Demod 1 Y [00001] (A) [filt]	Current [00002] (A) [filt]	Bias [00002] (V) [filt]	Z [00002] (m) [filt]	LI Demod 1 X [00002] (A) [filt]	LI Demod 1 Y [00002] (A) [filt]	Current [AVG] (A) [bwd] [filt]	Bias [AVG] (V) [bwd] [filt]	Z [AVG] (m) [bwd] [filt]	LI Demod 1 X [AVG] (A) [bwd] [filt]	LI Demod 1 Y [AVG] (A) [bwd] [filt]	Current [00001] (A) [bwd] [filt]	Bias [00001] (V) [bwd] [filt]	Z [00001] (m) [bwd] [filt]	LI Demod 1 X [00001] (A) [bwd] [filt]	LI Demod 1 Y [00001] (A) [bwd] [filt]	Current [00002] (A) [bwd] [filt]	Bias [00002] (V) [bwd] [filt]	Z [00002] (m) [bwd] [filt]	LI Demod 1 X [00002] (A) [bwd] [filt]	LI Demod 1 Y [00002] (A) [bwd] [filt]
-500.00000E-3	-399.77260E-12	-500.00000E-3	-4.4378741E-9	7.7312115E-12	450.98986E-15	-400.06029E-12	-500.00000E-3	-4.4337005E-9	7.6846706E-12	384.71700E-15	-399.48489E-12	-500.00000E-3	-4.4420481E-9	7.7777533E-12	517.26272E-15	-398.67060E-12	-500.00000E-3	-4.4378741E-9	7.6631791E-12	544.53284E-15	-387.99994E-12	-500.00000E-3	-4.4337005E-9	7.5159236E-12	574.10191E-15	-409.34128E-12	-500.00000E-3	-4.4420481E-9	7.8104355E-12	514.96383E-15	-399.77260E-12	-500.00000E-3	-4.4378741E-9	7.7312115E-12	450.98986E-15	-400.06029E-12	-500.00000E-3	-4.4337005E-9	7.6846706E-12	384.71700E-15	-399.48489E-12	-500.00000E-3	-4.4420481E-9	7.7777533E-12	517.26272E-15	-398.67060E-12	-500.00000E-3	-4.4378741E-9	7.6631791E-12	544.53284E-15	-387.99994E-12	-500.00000E-3	-4.4337005E-9	7.5159236E-12	574.10191E-15	-409.34128E-12	-500.00000E-3	-4.4420481E-9	7.8104355E-12	514.96383E-15
-498.74842E-3	-397.35065E-12	-498.74842E-3	-4.4378741E-9	7.6695768E-12	448.87537E-15	-397.52815E-12	-498.74842E-3	-4.4337005E-9	7.5323549E-12	454.12646E-15	-397.17313E-12	-498.74842E-3	-4.4420481E-9	7.8067977E-12	443.62425E-15	-396.81514E-12	-498.74842E-3	-4.4378741E-9	7.6497558E-12	557.10796E-15	-385.79401E-12	-498.74842E-3	-4.4337005E-9	7.4951954E-12	469.31052E-15	-407.83626E-12	-498.74842E-3	-4.4420481E-9	7.8043171E-12	644.90541E-15	-397.87085E-12	-498.74842E-3	-4.4378741E-9	7.6759276E-12	455.93320E-15	-398.16189E-12	-498.74842E-3	-4.4337005E-9	7.5932351E-12	437.09364E-15	-397.57975E-12	-498.74842E-3	-4.4420481E-9	7.7586210E-12	474.77273E-15	-396.72510E-12	-498.74842E-3	-4.4378741E-9	7.6631167E-12	536.56163E-15	-386.01219E-12	-498.74842E-3	-4.4337005E-9	7.5262583E-12	519.26958E-15	-407.43803E-12	-498.74842E-3	-4.4420481E-9	7.7999759E-12	553.85368E-15
-497.49687E-3	-396.04406E-12	-497.49687E-3	-4.4378741E-9	7.5791136E-12	418.55641E-15	-396.25880E-12	-497.49687E-3	-4.4337005E-9	7.4695979E-12	464.66975E-15	-395.82931E-12	-497.49687E-3	-4.4420481E-9	7.6886292E-12	372.44307E-15	-394.73655E-12	-497.49687E-3	-4.4378741E-9	7.7010863E-12	494.29498E-15	-383.93455E-12	-497.49687E-3	-4.4337005E-9	7.5705371E-12	439.09860E-15	-405.53855E-12	-497.49687E-3	-4.4420481E-9	7.8316355E-12	549.49133E-15	-396.07356E-12	-497.49687E-3	-4.4378741E-9	7.6423512E-12	473.54010E-15	-396.42020E-12	-497.49687E-3	-4.4337005E-9	7.5424111E-12	471.25655E-15	-395.72692E-12	-497.49687E-3	-4.4420481E-9	7.7422903E-12	475.82359E-15	-394.83722E-12	-497.49687E-3	-4.4378741E-9	7.6541412E-12	533.36990E-15	-384.17863E-12	-497.49687E-3	-4.4337005E-9	7.5283139E-12	501.23523E-15	-405.49583E-12	-497.49687E-3	-4.4420481E-9	7.7799694E-12	565.50462E-15
-496.24529E-3	-394.80236E-12	-496.24529E-3	-4.4378741E-9	7.6641922E-12	567.53896E-15	-395.46402E-12	-496.24529E-3	-4.4337005E-9	7.5831407E-12	565.08249E-15	-394.14069E-12	-496.24529E-3	-4.4420481E-9	7.7452428E-12	569.99539E-15	-392.77059E-12	-496.24529E-3	-4.4378741E-9	7.6054371E-12	557.91829E-15	-382.60187E-12	-496.24529E-3	-4.4337005E-9	7.5284440E-12	549.09078E-15	-402.93935E-12	-496.24529E-3	-4.4420481E-9	7.6824293E-12	566.74587E-15	-394.31666E-12	-496.24529E-3	-4.4378741E-9	7.6336550E-12	490.67022E-15	-394.69925E-12	-496.24529E-3	-4.4337005E-9	7.5361124E-12	480.76685E-15	-393.93411E-12	-496.24529E-3	-4.4420481E-9	7.7311968E-12	500.57365E-15	-393.04798E-12	-496.24529E-3	-4.4378741E-9	7.6432706E-12	529.56424E-15	-382.43150E-12	-496.24529E-3	-4.4337005E-9	7.5340394E-12	524.11032E-15	-403.66446E-12	-496.24529E-3	-4.4420481E-9	7.7525009E-12	535.01816E-15
-494.99375E-3	-392.44227E-12	-494.99375E-3	-4.4378741E-9	7.6215145E-12	498.77100E-15	-392.89749E-12	-494.99375E-3	-4.4337005E-9	7.5331468E-12	413.33598E-15	-391.98705E-12	-494.99375E-3	-4.4420481E-9	7.7098831E-12	584.20602E-15	-391.46536E-12	-494.99375E-3	-4.4378741E-9	7.6298846E-12	526.20132E-15	-380.93900E-12	-494.99375E-3	-4.4337005E-9	7.4957627E-12	563.54785E-15	-401.99172E-12	-494.99375E-3	-4.4420481E-9	7.7640065E-12	488.85478E-15	-392.46631E-12	-494.99375E-3	-4.4378741E-9	7.6435958E-12	494.21063E-15	-392.81323E-12	-494.99375E-3	-4.4337005E-9	7.5517041E-12	483.10542E-15	-392.11939E-12	-494.99375E-3	-4.4420481E-9	7.7354876E-12	505.31579E-15	-391.33891E-12	-494.99375E-3	-4.4378741E-9	7.6356074E-12	526.79752E-15	-380.66986E-12	-494.99375E-3	-4.4337005E-9	7.5420963E-12	547.05936E-15	-402.00793E-12	-494.99375E-3	-4.4420481E-9	7.7291186E-12	506.53573E-15
-493.74217E-3	-390.27365E-12	-493.74217E-3	-4.4378741E-9	7.6558863E-12	459.02995E-15	-390.30409E-12	-493.74217E-3	-4.4337005E-9	7.5591200E-12	455.04220E-15	-390.24317E-12	-493.74217E-3	-4.4420481E-9	7.7526527E-12	463.01770E-15	-389.81052E-12	-493.74217E-3	-4.4378741E-9	7.6455673E-12	506.73051E-15	-378.58353E-12	-493.74217E-3	-4.4337005E-9	7.5918612E-12	607.48693E-15	-401.03754E-12	-493.74217E-3	-4.4420481E-9	7.6992735E-12	405.97406E-15	-390.51623E-12	-493.74217E-3	-4.4378741E-9	7.6412843E-12	480.56730E-15	-390.81094E-12	-493.74217E-3	-4.4337005E-9	7.5529184E-12	493.16546E-15	-390.22155E-12	-493.74217E-3	-4.4420481E-9	7.7296503E-12	467.96909E-15	-389.64479E-12	-493.74217E-3	-4.4378741E-9	7.6218979E-12	522.61000E-15	-378.86938E-12	-493.74217E-3	-4.4337005E-9	7.5476908E-12	552.78519E-15	-400.42020E-12	-493.74217E-3	-4.4420481E-9	7.6961050E-12	492.43476E-15
-492.49062E-3	-388.65045E-12	-492.49062E-3	-4.4378741E-9	7.6984807E-12	476.70976E-15	-388.83874E-12	-492.49062E-3	-4.4337005E-9	7.6020032E-12	577.05837E-15	-388.46215E-12	-492.49062E-3	-4.4420481E-9	7.7949583E-12	376.36113E-15	-387.80212E-12	-492.49062E-3	-4.4378741E-9	7.6284699E-12	537.52012E-15	-377.00024E-12	-492.49062E-3	-4.4337005E-9	7.5631524E-12	477.97389E-15	-398.60398E-12	-492.49062E-3	-4.4420481E-9	7.6937874E-12	597.06629E-15	-388.56321E-12	-492.49062E-3	-4.4378741E-9	7.6089152E-12	464.02503E-15	-388.86047E-12	-492.49062E-3	-4.4337005E-9	7.5341018E-12	510.46033E-15	-388.26595E-12	-492.49062E-3	-4.4420481E-9	7.6837287E-12	417.58974E-15	-387.91337E-12	-492.49062E-3	-4.4378741E-9	7.5924917E-12	514.79654E-15	-377.04534E-12	-492.49062E-3	-4.4337005E-9	7.5261264E-12	542.56252E-15	-398.78140E-12	-492.49062E-3	-4.4420481E-9	7.6588579E-12	487.03055E-15
-491.23904E-3	-386.76207E-12	-491.23904E-3	-4.4378741E-9	7.4994524E-12	421.76939E-15	-387.29350E-12	-491.23904E-3	-4.4337005E-9	7.4437808E-12	516.27604E-15	-386.23063E-12	-491.23904E-3	-4.4420481E-9	7.5551241E-12	327.26274E-15	-386.11522E-12	-491.23904E-3	-4.4378741E-9	7.5431987E-12	491.29895E-15	-375.48945E-12	-491.23904E-3	-4.4337005E-9	7.5240716E-12	543.37595E-15	-396.74100E-12	-491.23904E-3	-4.4420481E-9	7.5623258E-12	439.22190E-15	-386.67997E-12	-491.23904E-3	-4.4378741E-9	7.5637335E-12	466.09629E-15	-387.08206E-12	-491.23904E-3	-4.4337005E-9	7.4965398E-12	525.46568E-15	-386.27790E-12	-491.23904E-3	-4.4420481E-9	7.6309271E-12	406.72682E-15	-386.14414E-12	-491.23904E-3	-4.4378741E-9	7.5484332E-12	499.14023E-15	-375.24869E-12	-491.23904E-3	-4.4337005E-9	7.4754890E-12	532.69477E-15	-397.03957E-12	-491.23904E-3	-4.4420481E-9	7.6213766E-12	465.58569E-15
-489.98749E-3	-384.63910E-12	-489.98749E-3	-4.4378741E-9	7.4851479E-12	494.82835E-15	-385.14375E-12	-489.98749E-3	-4.4337005E-9	7.4887284E-12	531.56096E-15	-384.13442E-12	-489.98749E-3	-4.4420481E-9	7.4815674E-12	458.09575E-15	-384.45419E-12	-489.98749E-3	-4.4378741E-9	7.4492929E-12	508.44290E-15	-373.31169E-12	-489.98749E-3	-4.4337005E-9	7.3210292E-12	557.98026E-15	-395.59667E-12	-489.98749E-3	-4.4420481E-9	7.5775566E-12	458.90559E-15	-384.84246E-12	-489.98749E-3	-4.4378741E-9	7.5134803E-12	483.17210E-15	-385.34095E-12	-489.98749E-3	-4.4337005E-9	7.4511413E-12	526.54013E-15	-384.34395E-12	-489.98749E-3	-4.4420481E-9	7.5758193E-12	439.80409E-15	-384.39296E-12	-489.98749E-3	-4.4378741E-9	7.5133962E-12	484.63100E-15	-373.46151E-12	-489.98749E-3	-4.4337005E-9	7.4124032E-12	507.28280E-15	-395.32438E-12	-489.98749E-3	-4.4420481E-9	7.6143892E-12	461.97914E-15
-488.73591E-3	-383.01223E-12	-488.73591E-3	-4.4378741E-9	7.5274197E-12	510.36091E-15	-383.66971E-12	-488.73591E-3	-4.4337005E-9	7.3706466E-12	498.74400E-15	-382.35473E-12	-488.73591E-3	-4.4420481E-9	7.6841927E-12	521.97781E-15	-382.62396E-12	-488.73591E-3	-4.4378741E-9	7.5059681E-12	411.92085E-15	-371.65201E-12	-488.73591E-3	-4.4337005E-9	7.3684626E-12	491.18305E-15	-393.59591E-12	-488.73591E-3	-4.4420481E-9	7.6434735E-12	332.65865E-15	-383.04995E-12	-488.73591E-3	-4.4378741E-9	7.4729355E-12	494.84294E-15	-383.50087E-12	-488.73591E-3	-4.4337005E-9	7.4105557E-12	519.88421E-15	-382.59904E-12	-488.73591E-3	-4.4420481E-9	7.5353153E-12	469.80166E-15	-382.64467E-12	-488.73591E-3	-4.4378741E-9	7.4920452E-12	477.40311E-15	-371.66786E-12	-488.73591E-3	-4.4337005E-9	7.3554895E-12	488.03697E-15	-393.62147E-12	-488.73591E-3	-4.4420481E-9	7.6286000E-12	466.76926E-15
