Experiment	bias spectroscopy	
Saved Date	02.07.2018 11:47:03	
User		
Date		
X (m)	-314.915E-9	
Y (m)	-54.2692E-9	
Z (m)	-4.34096E-9	
Z offset (m)	0E+0	
Settling time (s)	20E-3	
Integration time (s)	30E-3	
Z-Ctrl hold	TRUE	
Final Z (m)	N/A	
Start time	02.07.2018 11:44:23	
Filter type	Gaussian	
Order	2	
Cutoff frq		

[DATA]
Bias calc (V)	Current (A)	Bias (V)	Z (m)	LI Demod 1 X (A)	LI Demod 1 Y (A)	Current [bwd] (A)	Bias [bwd] (V)	Z [bwd] (m)	LI Demod 1 X [bwd] (A)	LI Demod 1 Y [bwd] (A)	Current (A) [filt]	Bias (V) [filt]	Z (m) [filt]	LI Demod 1 X (A) [filt]	LI Demod 1 Y (A) [filt]	Current (A) [bwd] [filt]	Bias (V) [bwd] [filt]	Z (m) [bwd] [filt]	LI Demod 1 X (A) [bwd] [filt]	LI Demod 1 Y (A) [bwd] [filt]
-500.00000E-3	-399.94957E-12	-500.00000E-3	-4.3421022E-9	6.9459325E-12	472.85597E-15	-402.81486E-12	-500.00000E-3	-4.3421022E-9	6.8674857E-12	492.10104E-15	-399.94957E-12	-500.00000E-3	-4.3421022E-9	6.9459325E-12	472.85597E-15	-402.81486E-12	-500.00000E-3	-4.3421022E-9	6.8674857E-12	492.10104E-15
-498.74842E-3	-398.45693E-12	-498.74842E-3	-4.3421022E-9	6.8459613E-12	641.21636E-15	-401.29605E-12	-498.74842E-3	-4.3421022E-9	6.8884828E-12	569.10629E-15	-398.39826E-12	-498.74842E-3	-4.3421022E-9	6.9184307E-12	523.20317E-15	-401.25903E-12	-498.74842E-3	-4.3421022E-9	6.8588069E-12	526.07105E-15
-497.49687E-3	-396.84564E-12	-497.49687E-3	-4.3421022E-9	6.9606820E-12	491.45714E-15	-399.84505E-12	-497.49687E-3	-4.3421022E-9	6.8615816E-12	562.38759E-15	-396.80528E-12	-497.49687E-3	-4.3421022E-9	6.8746875E-12	553.13339E-15	-399.62306E-12	-497.49687E-3	-4.3421022E-9	6.8476197E-12	532.88493E-15
-496.24529E-3	-395.19757E-12	-496.24529E-3	-4.3421022E-9	6.8402840E-12	594.90921E-15	-397.78336E-12	-496.24529E-3	-4.3421022E-9	6.7662100E-12	515.09675E-15	-395.16082E-12	-496.24529E-3	-4.3421022E-9	6.8358470E-12	552.36821E-15	-397.90998E-12	-496.24529E-3	-4.3421022E-9	6.8390077E-12	516.78968E-15
-494.99375E-3	-393.45835E-12	-494.99375E-3	-4.3421022E-9	6.7033319E-12	526.15323E-15	-396.18064E-12	-494.99375E-3	-4.3421022E-9	6.8756398E-12	454.44914E-15	-393.47722E-12	-494.99375E-3	-4.3421022E-9	6.7989464E-12	543.66071E-15	-396.17185E-12	-494.99375E-3	-4.3421022E-9	6.8262028E-12	512.12577E-15
-493.74217E-3	-391.80226E-12	-493.74217E-3	-4.3421022E-9	6.8299299E-12	532.32744E-15	-394.43271E-12	-493.74217E-3	-4.3421022E-9	6.8620790E-12	504.51895E-15	-391.76981E-12	-493.74217E-3	-4.3421022E-9	6.7632150E-12	541.66334E-15	-394.46840E-12	-493.74217E-3	-4.3421022E-9	6.8215286E-12	529.79772E-15
-492.49062E-3	-390.06406E-12	-492.49062E-3	-4.3421022E-9	6.7440155E-12	558.95382E-15	-392.74484E-12	-492.49062E-3	-4.3421022E-9	6.7074948E-12	628.45920E-15	-390.06431E-12	-492.49062E-3	-4.3421022E-9	6.7459454E-12	537.72432E-15	-392.81978E-12	-492.49062E-3	-4.3421022E-9	6.8244408E-12	552.56987E-15
-491.23904E-3	-388.29018E-12	-491.23904E-3	-4.3421022E-9	6.6722127E-12	510.02605E-15	-391.27446E-12	-491.23904E-3	-4.3421022E-9	6.8934754E-12	563.86016E-15	-388.39801E-12	-491.23904E-3	-4.3421022E-9	6.7240341E-12	555.62326E-15	-391.18381E-12	-491.23904E-3	-4.3421022E-9	6.8270762E-12	554.18631E-15
-489.98749E-3	-386.74769E-12	-489.98749E-3	-4.3421022E-9	6.7721011E-12	561.65001E-15	-389.51947E-12	-489.98749E-3	-4.3421022E-9	6.8653087E-12	522.22452E-15	-386.77725E-12	-489.98749E-3	-4.3421022E-9	6.7029325E-12	585.62920E-15	-389.55933E-12	-489.98749E-3	-4.3421022E-9	6.8257960E-12	531.62693E-15
-488.73591E-3	-385.25363E-12	-488.73591E-3	-4.3421022E-9	6.6149438E-12	683.05561E-15	-387.90715E-12	-488.73591E-3	-4.3421022E-9	6.7837983E-12	487.98465E-15	-385.16995E-12	-488.73591E-3	-4.3421022E-9	6.6936725E-12	608.57130E-15	-387.68272E-12	-488.73591E-3	-4.3421022E-9	6.8066438E-12	511.94433E-15
