Experiment	bias spectroscopy	
Saved Date	02.07.2018 11:28:46	
User		
Date		
X (m)	-314.915E-9	
Y (m)	-54.2692E-9	
Z (m)	-4.39798E-9	
Z offset (m)	0E+0	
Settling time (s)	20E-3	
Integration time (s)	30E-3	
Z-Ctrl hold	TRUE	
Final Z (m)	N/A	
Start time	02.07.2018 11:26:06	
Filter type	Gaussian	
Order	2	
Cutoff frq		

[DATA]
Bias calc (V)	Current [AVG] (A)	Bias [AVG] (V)	Z [AVG] (m)	LI Demod 1 X [AVG] (A)	LI Demod 1 Y [AVG] (A)	Current [00001] (A)	Bias [00001] (V)	Z [00001] (m)	LI Demod 1 X [00001] (A)	LI Demod 1 Y [00001] (A)	Current [00002] (A)	Bias [00002] (V)	Z [00002] (m)	LI Demod 1 X [00002] (A)	LI Demod 1 Y [00002] (A)	Current [AVG] [bwd] (A)	Bias [AVG] [bwd] (V)	Z [AVG] [bwd] (m)	LI Demod 1 X [AVG] [bwd] (A)	LI Demod 1 Y [AVG] [bwd] (A)	Current [00001] [bwd] (A)	Bias [00001] [bwd] (V)	Z [00001] [bwd] (m)	LI Demod 1 X [00001] [bwd] (A)	LI Demod 1 Y [00001] [bwd] (A)	Current [00002] [bwd] (A)	Bias [00002] [bwd] (V)	Z [00002] [bwd] (m)	LI Demod 1 X [00002] [bwd] (A)	LI Demod 1 Y [00002] [bwd] (A)	Current [AVG] (A) [filt]	Bias [AVG] (V) [filt]	Z [AVG] (m) [filt]	LI Demod 1 X [AVG] (A) [filt]	LI Demod 1 Y [AVG] (A) [filt]	Current [00001] (A) [filt]	Bias [00001] (V) [filt]	Z [00001] (m) [filt]	LI Demod 1 X [00001] (A) [filt]	LI Demod 1 Y [00001] (A) [filt]	Current [00002] (A) [filt]	Bias [00002] (V) [filt]	Z [00002] (m) [filt]	LI Demod 1 X [00002] (A) [filt]	LI Demod 1 Y [00002] (A) [filt]	Current [AVG] (A) [bwd] [filt]	Bias [AVG] (V) [bwd] [filt]	Z [AVG] (m) [bwd] [filt]	LI Demod 1 X [AVG] (A) [bwd] [filt]	LI Demod 1 Y [AVG] (A) [bwd] [filt]	Current [00001] (A) [bwd] [filt]	Bias [00001] (V) [bwd] [filt]	Z [00001] (m) [bwd] [filt]	LI Demod 1 X [00001] (A) [bwd] [filt]	LI Demod 1 Y [00001] (A) [bwd] [filt]	Current [00002] (A) [bwd] [filt]	Bias [00002] (V) [bwd] [filt]	Z [00002] (m) [bwd] [filt]	LI Demod 1 X [00002] (A) [bwd] [filt]	LI Demod 1 Y [00002] (A) [bwd] [filt]
-487.48437E-3	-381.62148E-12	-487.48437E-3	-4.3998485E-9	7.4430566E-12	384.87507E-15	-381.92610E-12	-487.48437E-3	-4.4017150E-9	7.4276462E-12	369.66624E-15	-381.31687E-12	-487.48437E-3	-4.3979824E-9	7.4584670E-12	400.08394E-15	-382.28021E-12	-487.48437E-3	-4.3998485E-9	7.5434416E-12	489.15944E-15	-380.78013E-12	-487.48437E-3	-4.4017150E-9	7.6888790E-12	431.95604E-15	-383.78031E-12	-487.48437E-3	-4.3979824E-9	7.3980041E-12	546.36287E-15	-381.84711E-12	-487.48437E-3	-4.3998485E-9	7.4328538E-12	466.77267E-15	-382.16882E-12	-487.48437E-3	-4.4017150E-9	7.4320472E-12	449.88695E-15	-381.52542E-12	-487.48437E-3	-4.3979824E-9	7.4336605E-12	483.65841E-15	-382.44352E-12	-487.48437E-3	-4.3998485E-9	7.5721972E-12	508.99302E-15	-381.25120E-12	-487.48437E-3	-4.4017150E-9	7.6857713E-12	473.12821E-15	-383.63585E-12	-487.48437E-3	-4.3979824E-9	7.4586231E-12	544.85783E-15
-486.23279E-3	-380.14950E-12	-486.23279E-3	-4.3998485E-9	7.3849407E-12	486.62636E-15	-380.56530E-12	-486.23279E-3	-4.4017150E-9	7.4112383E-12	495.67902E-15	-379.73369E-12	-486.23279E-3	-4.3979824E-9	7.3586432E-12	477.57371E-15	-380.84122E-12	-486.23279E-3	-4.3998485E-9	7.5482710E-12	592.30594E-15	-379.31835E-12	-486.23279E-3	-4.4017150E-9	7.6516580E-12	499.43491E-15	-382.36408E-12	-486.23279E-3	-4.3979824E-9	7.4448841E-12	685.17690E-15	-380.07883E-12	-486.23279E-3	-4.3998485E-9	7.4132254E-12	468.77704E-15	-380.46252E-12	-486.23279E-3	-4.4017150E-9	7.3987075E-12	454.55938E-15	-379.69516E-12	-486.23279E-3	-4.3979824E-9	7.4277424E-12	482.99472E-15	-380.64818E-12	-486.23279E-3	-4.3998485E-9	7.5374680E-12	507.46061E-15	-379.32787E-12	-486.23279E-3	-4.4017150E-9	7.6289166E-12	471.47415E-15	-381.96848E-12	-486.23279E-3	-4.3979824E-9	7.4460204E-12	543.44707E-15
-484.98124E-3	-378.47081E-12	-484.98124E-3	-4.3998485E-9	7.4207905E-12	484.50550E-15	-378.97349E-12	-484.98124E-3	-4.4017150E-9	7.3689613E-12	436.21842E-15	-377.96816E-12	-484.98124E-3	-4.3979824E-9	7.4726197E-12	532.79261E-15	-378.87921E-12	-484.98124E-3	-4.3998485E-9	7.5124993E-12	452.75751E-15	-377.73870E-12	-484.98124E-3	-4.4017150E-9	7.5405671E-12	486.00344E-15	-380.01971E-12	-484.98124E-3	-4.3979824E-9	7.4844315E-12	419.51162E-15	-378.29298E-12	-484.98124E-3	-4.3998485E-9	7.3977708E-12	493.54173E-15	-378.64376E-12	-484.98124E-3	-4.4017150E-9	7.3723441E-12	476.69046E-15	-377.94223E-12	-484.98124E-3	-4.3979824E-9	7.4231966E-12	510.39300E-15	-378.86533E-12	-484.98124E-3	-4.3998485E-9	7.5206213E-12	499.43209E-15	-377.50245E-12	-484.98124E-3	-4.4017150E-9	7.5837045E-12	465.22725E-15	-380.22821E-12	-484.98124E-3	-4.3979824E-9	7.4575381E-12	533.63694E-15
-483.72966E-3	-376.49800E-12	-483.72966E-3	-4.3998485E-9	7.3554409E-12	530.32893E-15	-376.86709E-12	-483.72966E-3	-4.4017150E-9	7.3012516E-12	543.37052E-15	-376.12891E-12	-483.72966E-3	-4.3979824E-9	7.4096293E-12	517.28738E-15	-376.93496E-12	-483.72966E-3	-4.3998485E-9	7.4796593E-12	461.07551E-15	-375.57718E-12	-483.72966E-3	-4.4017150E-9	7.5088685E-12	413.32468E-15	-378.29273E-12	-483.72966E-3	-4.3979824E-9	7.4504500E-12	508.82633E-15	-376.41723E-12	-483.72966E-3	-4.3998485E-9	7.3795206E-12	521.38561E-15	-376.70225E-12	-483.72966E-3	-4.4017150E-9	7.3561756E-12	507.61196E-15	-376.13224E-12	-483.72966E-3	-4.3979824E-9	7.4028656E-12	535.15926E-15	-377.04173E-12	-483.72966E-3	-4.3998485E-9	7.5044415E-12	499.51493E-15	-375.69059E-12	-483.72966E-3	-4.4017150E-9	7.5541092E-12	480.05008E-15	-378.39284E-12	-483.72966E-3	-4.3979824E-9	7.4547738E-12	518.97972E-15
-482.47808E-3	-374.35091E-12	-482.47811E-3	-4.3998485E-9	7.4066838E-12	563.53278E-15	-374.15845E-12	-482.47811E-3	-4.4017150E-9	7.3944045E-12	512.36879E-15	-374.54337E-12	-482.47811E-3	-4.3979824E-9	7.4189630E-12	614.69677E-15	-375.31633E-12	-482.47811E-3	-4.3998485E-9	7.5480603E-12	521.16644E-15	-373.81395E-12	-482.47811E-3	-4.4017150E-9	7.6103585E-12	479.48315E-15	-376.81872E-12	-482.47811E-3	-4.3979824E-9	7.4857620E-12	562.84968E-15	-374.47645E-12	-482.47811E-3	-4.3998485E-9	7.3587447E-12	532.97324E-15	-374.77346E-12	-482.47811E-3	-4.4017150E-9	7.3457533E-12	524.44968E-15	-374.17941E-12	-482.47811E-3	-4.3979824E-9	7.3717343E-12	541.49686E-15	-375.17098E-12	-482.47811E-3	-4.3998485E-9	7.4856822E-12	505.50438E-15	-373.82164E-12	-482.47811E-3	-4.4017150E-9	7.5369763E-12	496.66423E-15	-376.52031E-12	-482.47811E-3	-4.3979824E-9	7.4343882E-12	514.34448E-15
-481.22653E-3	-372.49248E-12	-481.22653E-3	-4.3998485E-9	7.2946857E-12	520.68397E-15	-372.96810E-12	-481.22653E-3	-4.4017150E-9	7.3424140E-12	563.41298E-15	-372.01683E-12	-481.22653E-3	-4.3979824E-9	7.2469569E-12	477.95502E-15	-373.29514E-12	-481.22653E-3	-4.3998485E-9	7.4185779E-12	564.36203E-15	-372.00806E-12	-481.22653E-3	-4.4017150E-9	7.4891230E-12	630.64045E-15	-374.58223E-12	-481.22653E-3	-4.3979824E-9	7.3480319E-12	498.08356E-15	-372.59323E-12	-481.22653E-3	-4.3998485E-9	7.3339130E-12	531.19884E-15	-373.03322E-12	-481.22653E-3	-4.4017150E-9	7.3372072E-12	530.17692E-15	-372.15325E-12	-481.22653E-3	-4.3979824E-9	7.3306188E-12	532.22081E-15	-373.30064E-12	-481.22653E-3	-4.3998485E-9	7.4549863E-12	511.44755E-15	-371.96171E-12	-481.22653E-3	-4.4017150E-9	7.5152298E-12	516.14886E-15	-374.63960E-12	-481.22653E-3	-4.3979824E-9	7.3947428E-12	506.74612E-15
-479.97496E-3	-370.74366E-12	-479.97496E-3	-4.3998485E-9	7.3089911E-12	529.98599E-15	-371.63506E-12	-479.97496E-3	-4.4017150E-9	7.2915805E-12	522.97934E-15	-369.85229E-12	-479.97496E-3	-4.3979824E-9	7.3264016E-12	536.99265E-15	-371.30432E-12	-479.97496E-3	-4.3998485E-9	7.4441174E-12	485.13168E-15	-370.04824E-12	-479.97496E-3	-4.4017150E-9	7.4947227E-12	446.83043E-15	-372.56043E-12	-479.97496E-3	-4.3979824E-9	7.3935120E-12	523.43297E-15	-370.79484E-12	-479.97496E-3	-4.3998485E-9	7.3126618E-12	506.79280E-15	-371.41262E-12	-479.97496E-3	-4.4017150E-9	7.3220345E-12	509.54586E-15	-370.17708E-12	-479.97496E-3	-4.3979824E-9	7.3032899E-12	504.03974E-15	-371.42964E-12	-479.97496E-3	-4.3998485E-9	7.4199440E-12	506.84728E-15	-370.11852E-12	-479.97496E-3	-4.4017150E-9	7.4928796E-12	525.42253E-15	-372.74073E-12	-479.97496E-3	-4.3979824E-9	7.3470084E-12	488.27197E-15
-478.72341E-3	-369.15687E-12	-478.72341E-3	-4.3998485E-9	7.3177176E-12	494.76786E-15	-369.95415E-12	-478.72341E-3	-4.4017150E-9	7.3345106E-12	479.57558E-15	-368.35959E-12	-478.72341E-3	-4.3979824E-9	7.3009255E-12	509.96008E-15	-369.64037E-12	-478.72341E-3	-4.3998485E-9	7.3552553E-12	453.11872E-15	-368.34980E-12	-478.72341E-3	-4.4017150E-9	7.4345825E-12	532.12133E-15	-370.93092E-12	-478.72341E-3	-4.3979824E-9	7.2759286E-12	374.11610E-15	-369.05964E-12	-478.72341E-3	-4.3998485E-9	7.3037314E-12	476.84648E-15	-369.74263E-12	-478.72341E-3	-4.4017150E-9	7.3088827E-12	478.30045E-15	-368.37669E-12	-478.72341E-3	-4.3979824E-9	7.2985801E-12	475.39251E-15	-369.60152E-12	-478.72341E-3	-4.3998485E-9	7.3883712E-12	506.95483E-15	-368.29134E-12	-478.72341E-3	-4.4017150E-9	7.4660712E-12	521.67190E-15	-370.91169E-12	-478.72341E-3	-4.3979824E-9	7.3106720E-12	492.23776E-15
-477.47183E-3	-367.25167E-12	-477.47183E-3	-4.3998485E-9	7.2559736E-12	383.05627E-15	-367.85677E-12	-477.47183E-3	-4.4017150E-9	7.2628921E-12	419.61736E-15	-366.64657E-12	-477.47183E-3	-4.3979824E-9	7.2490547E-12	346.49521E-15	-367.72208E-12	-477.47183E-3	-4.3998485E-9	7.3659577E-12	543.54167E-15	-366.35844E-12	-477.47183E-3	-4.4017150E-9	7.5017596E-12	548.06994E-15	-369.08571E-12	-477.47183E-3	-4.3979824E-9	7.2301557E-12	539.01333E-15	-367.33602E-12	-477.47183E-3	-4.3998485E-9	7.2940829E-12	461.71649E-15	-367.94690E-12	-477.47183E-3	-4.4017150E-9	7.2999809E-12	450.77584E-15	-366.72515E-12	-477.47183E-3	-4.3979824E-9	7.2881848E-12	472.65712E-15	-367.83315E-12	-477.47183E-3	-4.3998485E-9	7.3693976E-12	518.41908E-15	-366.46366E-12	-477.47183E-3	-4.4017150E-9	7.4384761E-12	512.88753E-15	-369.20267E-12	-477.47183E-3	-4.3979824E-9	7.3003192E-12	523.95062E-15
-476.22028E-3	-365.62497E-12	-476.22028E-3	-4.3998485E-9	7.3647269E-12	470.35130E-15	-365.92815E-12	-476.22028E-3	-4.4017150E-9	7.3396749E-12	419.36875E-15	-365.32177E-12	-476.22028E-3	-4.3979824E-9	7.3897780E-12	521.33384E-15	-366.17614E-12	-476.22028E-3	-4.3998485E-9	7.3776211E-12	564.63460E-15	-364.78828E-12	-476.22028E-3	-4.4017150E-9	7.3924087E-12	486.85356E-15	-367.56403E-12	-476.22028E-3	-4.3979824E-9	7.3628343E-12	642.41565E-15	-365.57299E-12	-476.22028E-3	-4.3998485E-9	7.2753023E-12	470.69819E-15	-366.12480E-12	-476.22028E-3	-4.4017150E-9	7.2875291E-12	452.92830E-15	-365.02118E-12	-476.22028E-3	-4.3979824E-9	7.2630756E-12	488.46810E-15	-366.11239E-12	-476.22028E-3	-4.3998485E-9	7.3349391E-12	527.96136E-15	-364.66458E-12	-476.22028E-3	-4.4017150E-9	7.3931868E-12	500.16442E-15	-367.56020E-12	-476.22028E-3	-4.3979824E-9	7.2766914E-12	555.75829E-15
