Experiment	bias spectroscopy	
Saved Date	02.07.2018 10:55:13	
User		
Date		
X (m)	-314.915E-9	
Y (m)	-54.2692E-9	
Z (m)	-4.57244E-9	
Z offset (m)	0E+0	
Settling time (s)	20E-3	
Integration time (s)	30E-3	
Z-Ctrl hold	TRUE	
Final Z (m)	N/A	
Start time	02.07.2018 10:52:20	
Filter type	Gaussian	
Order	2	
Cutoff frq		

[DATA]
Bias calc (V)	Current (A)	Bias (V)	Z (m)	LI Demod 1 X (A)	LI Demod 1 Y (A)	Current [bwd] (A)	Bias [bwd] (V)	Z [bwd] (m)	LI Demod 1 X [bwd] (A)	LI Demod 1 Y [bwd] (A)	Current (A) [filt]	Bias (V) [filt]	Z (m) [filt]	LI Demod 1 X (A) [filt]	LI Demod 1 Y (A) [filt]	Current (A) [bwd] [filt]	Bias (V) [bwd] [filt]	Z (m) [bwd] [filt]	LI Demod 1 X (A) [bwd] [filt]	LI Demod 1 Y (A) [bwd] [filt]
-500.00000E-3	-399.29138E-12	-500.00000E-3	-4.5747970E-9	7.2178682E-12	580.87790E-15	-405.07209E-12	-500.00000E-3	-4.5747970E-9	7.3664555E-12	592.81096E-15	-399.29138E-12	-500.00000E-3	-4.5747970E-9	7.2178682E-12	580.87790E-15	-405.07209E-12	-500.00000E-3	-4.5747970E-9	7.3664555E-12	592.81096E-15
-498.74842E-3	-396.48690E-12	-498.74842E-3	-4.5747970E-9	7.2074391E-12	580.64003E-15	-402.55782E-12	-498.74842E-3	-4.5747970E-9	7.2535979E-12	525.40806E-15	-397.72172E-12	-498.74842E-3	-4.5747970E-9	7.2048626E-12	561.41734E-15	-403.22204E-12	-498.74842E-3	-4.5747970E-9	7.3030557E-12	565.57130E-15
-497.49687E-3	-396.58579E-12	-497.49687E-3	-4.5747970E-9	7.2164618E-12	516.10203E-15	-400.90481E-12	-497.49687E-3	-4.5747970E-9	7.1959027E-12	525.48601E-15	-396.06005E-12	-497.49687E-3	-4.5747970E-9	7.1789458E-12	544.56602E-15	-401.63275E-12	-497.49687E-3	-4.5747970E-9	7.2613460E-12	550.49980E-15
-496.24529E-3	-395.78602E-12	-496.24529E-3	-4.5747970E-9	7.1223374E-12	544.20064E-15	-401.65232E-12	-496.24529E-3	-4.5747970E-9	7.3538606E-12	607.29785E-15	-394.30958E-12	-496.24529E-3	-4.5747970E-9	7.1395758E-12	544.14909E-15	-400.36460E-12	-496.24529E-3	-4.5747970E-9	7.2423074E-12	534.98086E-15
-494.99375E-3	-391.07595E-12	-494.99375E-3	-4.5747970E-9	7.0975639E-12	510.03212E-15	-398.17244E-12	-494.99375E-3	-4.5747970E-9	7.1546805E-12	509.06089E-15	-392.44397E-12	-494.99375E-3	-4.5747970E-9	7.1048137E-12	545.12064E-15	-398.92806E-12	-494.99375E-3	-4.5747970E-9	7.2265379E-12	515.98455E-15
-493.74217E-3	-390.14572E-12	-493.74217E-3	-4.5747970E-9	7.0447433E-12	639.11940E-15	-398.16825E-12	-493.74217E-3	-4.5747970E-9	7.2115309E-12	422.94879E-15	-390.84777E-12	-493.74217E-3	-4.5747970E-9	7.0797127E-12	541.13273E-15	-397.10887E-12	-493.74217E-3	-4.5747970E-9	7.2058457E-12	498.84755E-15
-492.49062E-3	-389.81104E-12	-492.49062E-3	-4.5747970E-9	7.1029432E-12	472.47216E-15	-394.84660E-12	-492.49062E-3	-4.5747970E-9	7.2147301E-12	528.95015E-15	-389.57018E-12	-492.49062E-3	-4.5747970E-9	7.0736104E-12	528.97948E-15	-394.97502E-12	-492.49062E-3	-4.5747970E-9	7.1714726E-12	493.25664E-15
-491.23904E-3	-389.52971E-12	-491.23904E-3	-4.5747970E-9	7.0451761E-12	482.90397E-15	-392.22336E-12	-491.23904E-3	-4.5747970E-9	7.1318871E-12	511.36244E-15	-388.41000E-12	-491.23904E-3	-4.5747970E-9	7.0649645E-12	532.67986E-15	-392.89694E-12	-491.23904E-3	-4.5747970E-9	7.1376646E-12	495.39339E-15
-489.98749E-3	-386.27701E-12	-489.98749E-3	-4.5747970E-9	7.0912304E-12	565.90529E-15	-391.19180E-12	-489.98749E-3	-4.5747970E-9	7.0696773E-12	490.93927E-15	-386.82313E-12	-489.98749E-3	-4.5747970E-9	7.0462486E-12	540.30630E-15	-390.82876E-12	-489.98749E-3	-4.5747970E-9	7.0957355E-12	501.83138E-15
-488.73591E-3	-385.18019E-12	-488.73591E-3	-4.5747970E-9	7.0029720E-12	618.66668E-15	-388.93894E-12	-488.73591E-3	-4.5747970E-9	7.0602855E-12	462.81924E-15	-385.01449E-12	-488.73591E-3	-4.5747970E-9	7.0028748E-12	551.71205E-15	-389.09037E-12	-488.73591E-3	-4.5747970E-9	7.0575763E-12	508.17000E-15
