Experiment	bias spectroscopy	
Saved Date	02.07.2018 12:06:23	
User		
Date		
X (m)	-314.915E-9	
Y (m)	-54.2692E-9	
Z (m)	-4.31244E-9	
Z offset (m)	0E+0	
Settling time (s)	20E-3	
Integration time (s)	30E-3	
Z-Ctrl hold	TRUE	
Final Z (m)	N/A	
Start time	02.07.2018 12:03:42	
Filter type	Gaussian	
Order	2	
Cutoff frq		

[DATA]
Bias calc (V)	Current (A)	Bias (V)	Z (m)	LI Demod 1 X (A)	LI Demod 1 Y (A)	Current [bwd] (A)	Bias [bwd] (V)	Z [bwd] (m)	LI Demod 1 X [bwd] (A)	LI Demod 1 Y [bwd] (A)	Current (A) [filt]	Bias (V) [filt]	Z (m) [filt]	LI Demod 1 X (A) [filt]	LI Demod 1 Y (A) [filt]	Current (A) [bwd] [filt]	Bias (V) [bwd] [filt]	Z (m) [bwd] [filt]	LI Demod 1 X (A) [bwd] [filt]	LI Demod 1 Y (A) [bwd] [filt]
-500.00000E-3	-399.55300E-12	-500.00000E-3	-4.3140385E-9	7.1887236E-12	521.73164E-15	-401.54907E-12	-500.00000E-3	-4.3140385E-9	7.3086537E-12	594.69313E-15	-399.55300E-12	-500.00000E-3	-4.3140385E-9	7.1887236E-12	521.73164E-15	-401.54907E-12	-500.00000E-3	-4.3140385E-9	7.3086537E-12	594.69313E-15
-498.74842E-3	-398.28385E-12	-498.74842E-3	-4.3140385E-9	7.3172215E-12	444.06048E-15	-399.06667E-12	-498.74842E-3	-4.3140385E-9	7.3468818E-12	484.67030E-15	-398.07213E-12	-498.74842E-3	-4.3140385E-9	7.2086330E-12	503.28085E-15	-399.41783E-12	-498.74842E-3	-4.3140385E-9	7.2933942E-12	541.42498E-15
-497.49687E-3	-396.67186E-12	-497.49687E-3	-4.3140385E-9	7.1585203E-12	517.33921E-15	-397.04140E-12	-497.49687E-3	-4.3140385E-9	7.2501688E-12	447.93108E-15	-396.40721E-12	-497.49687E-3	-4.3140385E-9	7.2223976E-12	503.87537E-15	-397.57680E-12	-497.49687E-3	-4.3140385E-9	7.2783880E-12	521.03081E-15
-496.24529E-3	-394.57587E-12	-496.24529E-3	-4.3140385E-9	7.2101014E-12	499.31484E-15	-396.27779E-12	-496.24529E-3	-4.3140385E-9	7.2301752E-12	617.56730E-15	-394.59139E-12	-496.24529E-3	-4.3140385E-9	7.2236739E-12	520.79261E-15	-395.96315E-12	-496.24529E-3	-4.3140385E-9	7.2621653E-12	533.04534E-15
-494.99375E-3	-392.44605E-12	-494.99375E-3	-4.3140385E-9	7.2549987E-12	585.70336E-15	-394.65581E-12	-494.99375E-3	-4.3140385E-9	7.2818912E-12	518.68178E-15	-392.78111E-12	-494.99375E-3	-4.3140385E-9	7.2273177E-12	540.78335E-15	-394.27234E-12	-494.99375E-3	-4.3140385E-9	7.2456307E-12	542.51238E-15
-493.74217E-3	-391.07834E-12	-493.74217E-3	-4.3140385E-9	7.2386346E-12	525.80211E-15	-392.48943E-12	-493.74217E-3	-4.3140385E-9	7.2480433E-12	562.26042E-15	-391.05913E-12	-493.74217E-3	-4.3140385E-9	7.2240816E-12	545.85313E-15	-392.40441E-12	-493.74217E-3	-4.3140385E-9	7.2315877E-12	536.37894E-15
-492.49062E-3	-389.60643E-12	-492.49062E-3	-4.3140385E-9	7.2333580E-12	561.62616E-15	-389.98973E-12	-492.49062E-3	-4.3140385E-9	7.1701382E-12	501.17419E-15	-389.37564E-12	-492.49062E-3	-4.3140385E-9	7.1964353E-12	544.07748E-15	-390.48764E-12	-492.49062E-3	-4.3140385E-9	7.2053210E-12	519.34623E-15
-491.23904E-3	-387.62937E-12	-491.23904E-3	-4.3140385E-9	7.1134132E-12	529.14118E-15	-388.64570E-12	-491.23904E-3	-4.3140385E-9	7.2118639E-12	496.83077E-15	-387.65119E-12	-491.23904E-3	-4.3140385E-9	7.1615799E-12	532.42437E-15	-388.75345E-12	-491.23904E-3	-4.3140385E-9	7.1783157E-12	515.66038E-15
-489.98749E-3	-385.77008E-12	-489.98749E-3	-4.3140385E-9	7.1239264E-12	525.05824E-15	-387.33450E-12	-489.98749E-3	-4.3140385E-9	7.1200944E-12	526.22327E-15	-385.85374E-12	-489.98749E-3	-4.3140385E-9	7.1447032E-12	532.10886E-15	-387.13993E-12	-489.98749E-3	-4.3140385E-9	7.1605274E-12	511.20165E-15
-488.73591E-3	-384.12634E-12	-488.73591E-3	-4.3140385E-9	7.1432131E-12	501.74535E-15	-385.69692E-12	-488.73591E-3	-4.3140385E-9	7.1579604E-12	528.55029E-15	-384.04993E-12	-488.73591E-3	-4.3140385E-9	7.1376238E-12	531.55142E-15	-385.46585E-12	-488.73591E-3	-4.3140385E-9	7.1450246E-12	509.73624E-15
-487.48437E-3	-382.22625E-12	-487.48437E-3	-4.3140385E-9	7.1819209E-12	592.31933E-15	-383.62827E-12	-487.48437E-3	-4.3140385E-9	7.1575792E-12	474.09234E-15	-382.28065E-12	-487.48437E-3	-4.3140385E-9	7.1338859E-12	525.05114E-15	-383.62510E-12	-487.48437E-3	-4.3140385E-9	7.1211886E-12	504.41904E-15
