Experiment	bias spectroscopy	
Saved Date	02.07.2018 10:50:34	
User		
Date		
X (m)	-314.915E-9	
Y (m)	-54.2692E-9	
Z (m)	-4.59193E-9	
Z offset (m)	0E+0	
Settling time (s)	20E-3	
Integration time (s)	30E-3	
Z-Ctrl hold	TRUE	
Final Z (m)	N/A	
Start time	02.07.2018 10:47:11	
Filter type	Gaussian	
Order	2	
Cutoff frq		

[DATA]
Bias calc (V)	Current (A)	Bias (V)	Z (m)	LI Demod 1 X (A)	LI Demod 1 Y (A)	Current [bwd] (A)	Bias [bwd] (V)	Z [bwd] (m)	LI Demod 1 X [bwd] (A)	LI Demod 1 Y [bwd] (A)	Current (A) [filt]	Bias (V) [filt]	Z (m) [filt]	LI Demod 1 X (A) [filt]	LI Demod 1 Y (A) [filt]	Current (A) [bwd] [filt]	Bias (V) [bwd] [filt]	Z (m) [bwd] [filt]	LI Demod 1 X (A) [bwd] [filt]	LI Demod 1 Y (A) [bwd] [filt]
-500.00000E-3	-401.01228E-12	-500.00000E-3	-4.5945003E-9	7.0526258E-12	466.50276E-15	-412.31768E-12	-500.00000E-3	-4.5945003E-9	7.2305668E-12	582.45856E-15	-401.01228E-12	-500.00000E-3	-4.5945003E-9	7.0526258E-12	466.50276E-15	-412.31768E-12	-500.00000E-3	-4.5945003E-9	7.2305668E-12	582.45856E-15
-498.74842E-3	-400.29224E-12	-498.74842E-3	-4.5945003E-9	7.0491243E-12	515.90936E-15	-410.16945E-12	-498.74842E-3	-4.5945003E-9	7.2925849E-12	530.21379E-15	-399.26026E-12	-498.74842E-3	-4.5945003E-9	7.0590205E-12	491.74526E-15	-411.88328E-12	-498.74842E-3	-4.5945003E-9	7.2875386E-12	557.49887E-15
-497.49687E-3	-397.14482E-12	-497.49687E-3	-4.5945003E-9	7.0960850E-12	534.22208E-15	-411.46830E-12	-497.49687E-3	-4.5945003E-9	7.3639480E-12	549.77447E-15	-397.35359E-12	-497.49687E-3	-4.5945003E-9	7.0580430E-12	503.80305E-15	-411.91206E-12	-497.49687E-3	-4.5945003E-9	7.3221828E-12	540.42052E-15
-496.24529E-3	-394.75245E-12	-496.24529E-3	-4.5945003E-9	7.0238867E-12	464.22447E-15	-413.91812E-12	-496.24529E-3	-4.5945003E-9	7.3516627E-12	517.97607E-15	-395.34204E-12	-496.24529E-3	-4.5945003E-9	7.0559218E-12	509.93015E-15	-412.08703E-12	-496.24529E-3	-4.5945003E-9	7.3336415E-12	535.66602E-15
-494.99375E-3	-393.54789E-12	-494.99375E-3	-4.5945003E-9	7.0512407E-12	516.57452E-15	-412.15492E-12	-494.99375E-3	-4.5945003E-9	7.3005170E-12	542.07843E-15	-393.53112E-12	-494.99375E-3	-4.5945003E-9	7.0501092E-12	514.99354E-15	-411.58058E-12	-494.99375E-3	-4.5945003E-9	7.3310177E-12	535.30189E-15
-493.74217E-3	-391.97617E-12	-493.74217E-3	-4.5945003E-9	7.0746829E-12	562.69952E-15	-410.19338E-12	-493.74217E-3	-4.5945003E-9	7.3316804E-12	545.76211E-15	-391.91125E-12	-493.74217E-3	-4.5945003E-9	7.0317797E-12	524.84070E-15	-410.14492E-12	-493.74217E-3	-4.5945003E-9	7.3172579E-12	525.84944E-15
-492.49062E-3	-390.57824E-12	-492.49062E-3	-4.5945003E-9	7.0045489E-12	497.95205E-15	-408.11976E-12	-492.49062E-3	-4.5945003E-9	7.3358888E-12	516.94331E-15	-390.20887E-12	-492.49062E-3	-4.5945003E-9	6.9967088E-12	541.10470E-15	-408.18876E-12	-492.49062E-3	-4.5945003E-9	7.2933890E-12	512.27241E-15
-491.23904E-3	-388.25090E-12	-491.23904E-3	-4.5945003E-9	6.9395002E-12	556.96875E-15	-406.27202E-12	-491.23904E-3	-4.5945003E-9	7.2396499E-12	464.09214E-15	-388.38399E-12	-491.23904E-3	-4.5945003E-9	6.9545654E-12	540.97390E-15	-406.27363E-12	-491.23904E-3	-4.5945003E-9	7.2524157E-12	498.39007E-15
-489.98749E-3	-386.26946E-12	-489.98749E-3	-4.5945003E-9	6.8769044E-12	603.63558E-15	-404.22418E-12	-489.98749E-3	-4.5945003E-9	7.2034349E-12	500.86926E-15	-386.64191E-12	-489.98749E-3	-4.5945003E-9	6.9157193E-12	536.26699E-15	-404.47498E-12	-489.98749E-3	-4.5945003E-9	7.2116063E-12	501.52742E-15
-488.73591E-3	-384.98488E-12	-488.73591E-3	-4.5945003E-9	6.9339937E-12	434.19234E-15	-402.78869E-12	-488.73591E-3	-4.5945003E-9	7.1348314E-12	499.72374E-15	-385.80450E-12	-488.73591E-3	-4.5945003E-9	6.8982567E-12	532.14437E-15	-402.76926E-12	-488.73591E-3	-4.5945003E-9	7.1717658E-12	515.10814E-15
