Experiment	bias spectroscopy	
Saved Date	02.07.2018 11:36:03	
User		
Date		
X (m)	-314.915E-9	
Y (m)	-54.2692E-9	
Z (m)	-4.37896E-9	
Z offset (m)	0E+0	
Settling time (s)	20E-3	
Integration time (s)	30E-3	
Z-Ctrl hold	TRUE	
Final Z (m)	N/A	
Start time	02.07.2018 11:33:23	
Filter type	Gaussian	
Order	2	
Cutoff frq		

[DATA]
Bias calc (V)	Current [AVG] (A)	Bias [AVG] (V)	Z [AVG] (m)	LI Demod 1 X [AVG] (A)	LI Demod 1 Y [AVG] (A)	Current [00001] (A)	Bias [00001] (V)	Z [00001] (m)	LI Demod 1 X [00001] (A)	LI Demod 1 Y [00001] (A)	Current [00002] (A)	Bias [00002] (V)	Z [00002] (m)	LI Demod 1 X [00002] (A)	LI Demod 1 Y [00002] (A)	Current [AVG] [bwd] (A)	Bias [AVG] [bwd] (V)	Z [AVG] [bwd] (m)	LI Demod 1 X [AVG] [bwd] (A)	LI Demod 1 Y [AVG] [bwd] (A)	Current [00001] [bwd] (A)	Bias [00001] [bwd] (V)	Z [00001] [bwd] (m)	LI Demod 1 X [00001] [bwd] (A)	LI Demod 1 Y [00001] [bwd] (A)	Current [00002] [bwd] (A)	Bias [00002] [bwd] (V)	Z [00002] [bwd] (m)	LI Demod 1 X [00002] [bwd] (A)	LI Demod 1 Y [00002] [bwd] (A)	Current [AVG] (A) [filt]	Bias [AVG] (V) [filt]	Z [AVG] (m) [filt]	LI Demod 1 X [AVG] (A) [filt]	LI Demod 1 Y [AVG] (A) [filt]	Current [00001] (A) [filt]	Bias [00001] (V) [filt]	Z [00001] (m) [filt]	LI Demod 1 X [00001] (A) [filt]	LI Demod 1 Y [00001] (A) [filt]	Current [00002] (A) [filt]	Bias [00002] (V) [filt]	Z [00002] (m) [filt]	LI Demod 1 X [00002] (A) [filt]	LI Demod 1 Y [00002] (A) [filt]	Current [AVG] (A) [bwd] [filt]	Bias [AVG] (V) [bwd] [filt]	Z [AVG] (m) [bwd] [filt]	LI Demod 1 X [AVG] (A) [bwd] [filt]	LI Demod 1 Y [AVG] (A) [bwd] [filt]	Current [00001] (A) [bwd] [filt]	Bias [00001] (V) [bwd] [filt]	Z [00001] (m) [bwd] [filt]	LI Demod 1 X [00001] (A) [bwd] [filt]	LI Demod 1 Y [00001] (A) [bwd] [filt]	Current [00002] (A) [bwd] [filt]	Bias [00002] (V) [bwd] [filt]	Z [00002] (m) [bwd] [filt]	LI Demod 1 X [00002] (A) [bwd] [filt]	LI Demod 1 Y [00002] (A) [bwd] [filt]
-500.00000E-3	-399.99581E-12	-500.00000E-3	-4.3802642E-9	7.6443053E-12	503.80105E-15	-400.27875E-12	-500.00000E-3	-4.3815707E-9	7.6147873E-12	537.21638E-15	-399.71287E-12	-500.00000E-3	-4.3789572E-9	7.6738234E-12	470.38572E-15	-402.87745E-12	-500.00000E-3	-4.3802642E-9	7.7305523E-12	587.25372E-15	-403.36001E-12	-500.00000E-3	-4.3815707E-9	7.6916433E-12	460.19780E-15	-402.39490E-12	-500.00000E-3	-4.3789572E-9	7.7694622E-12	714.30963E-15	-399.99581E-12	-500.00000E-3	-4.3802642E-9	7.6443053E-12	503.80105E-15	-400.27875E-12	-500.00000E-3	-4.3815707E-9	7.6147873E-12	537.21638E-15	-399.71287E-12	-500.00000E-3	-4.3789572E-9	7.6738234E-12	470.38572E-15	-402.87745E-12	-500.00000E-3	-4.3802642E-9	7.7305523E-12	587.25372E-15	-403.36001E-12	-500.00000E-3	-4.3815707E-9	7.6916433E-12	460.19780E-15	-402.39490E-12	-500.00000E-3	-4.3789572E-9	7.7694622E-12	714.30963E-15
-498.74842E-3	-398.12831E-12	-498.74842E-3	-4.3802642E-9	7.5957227E-12	493.45960E-15	-397.85891E-12	-498.74842E-3	-4.3815707E-9	7.5612294E-12	537.62306E-15	-398.39770E-12	-498.74842E-3	-4.3789572E-9	7.6302168E-12	449.29612E-15	-400.91858E-12	-498.74842E-3	-4.3802642E-9	7.6547189E-12	596.83877E-15	-401.78205E-12	-498.74842E-3	-4.3815707E-9	7.6555767E-12	566.11378E-15	-400.05507E-12	-498.74842E-3	-4.3789572E-9	7.6538602E-12	627.56381E-15	-397.97557E-12	-498.74842E-3	-4.3802642E-9	7.6191388E-12	491.02259E-15	-397.96966E-12	-498.74842E-3	-4.3815707E-9	7.6280189E-12	496.23809E-15	-397.98148E-12	-498.74842E-3	-4.3789572E-9	7.6102588E-12	485.80709E-15	-401.11961E-12	-498.74842E-3	-4.3802642E-9	7.6792548E-12	570.19260E-15	-401.48659E-12	-498.74842E-3	-4.3815707E-9	7.6721034E-12	511.02780E-15	-400.75263E-12	-498.74842E-3	-4.3789572E-9	7.6864062E-12	629.35751E-15
-497.49687E-3	-395.73828E-12	-497.49687E-3	-4.3802642E-9	7.6570070E-12	419.15397E-15	-395.46824E-12	-497.49687E-3	-4.3815707E-9	7.7341926E-12	351.17560E-15	-396.00828E-12	-497.49687E-3	-4.3789572E-9	7.5798213E-12	487.13231E-15	-399.41220E-12	-497.49687E-3	-4.3802642E-9	7.6062403E-12	522.16543E-15	-399.41120E-12	-497.49687E-3	-4.3815707E-9	7.6488841E-12	545.87400E-15	-399.41320E-12	-497.49687E-3	-4.3789572E-9	7.5635956E-12	498.45691E-15	-396.05461E-12	-497.49687E-3	-4.3802642E-9	7.5928942E-12	499.28838E-15	-395.87228E-12	-497.49687E-3	-4.3815707E-9	7.6183608E-12	493.79468E-15	-396.23690E-12	-497.49687E-3	-4.3789572E-9	7.5674276E-12	504.78209E-15	-399.35272E-12	-497.49687E-3	-4.3802642E-9	7.6463506E-12	556.55578E-15	-399.57246E-12	-497.49687E-3	-4.3815707E-9	7.6569376E-12	537.91639E-15	-399.13298E-12	-497.49687E-3	-4.3789572E-9	7.6357627E-12	575.19516E-15
-496.24529E-3	-394.13217E-12	-496.24529E-3	-4.3802642E-9	7.4755948E-12	586.37199E-15	-393.94896E-12	-496.24529E-3	-4.3815707E-9	7.5724834E-12	563.51657E-15	-394.31541E-12	-496.24529E-3	-4.3789572E-9	7.3787070E-12	609.22735E-15	-397.84259E-12	-496.24529E-3	-4.3802642E-9	7.6647924E-12	555.84010E-15	-397.65968E-12	-496.24529E-3	-4.3815707E-9	7.6692073E-12	551.87208E-15	-398.02547E-12	-496.24529E-3	-4.3789572E-9	7.6603767E-12	559.80817E-15	-394.27264E-12	-496.24529E-3	-4.3802642E-9	7.5829620E-12	513.84038E-15	-394.06825E-12	-496.24529E-3	-4.3815707E-9	7.6099379E-12	509.90830E-15	-394.47703E-12	-496.24529E-3	-4.3789572E-9	7.5559871E-12	517.77240E-15	-397.52396E-12	-496.24529E-3	-4.3802642E-9	7.6218606E-12	541.35727E-15	-397.64614E-12	-496.24529E-3	-4.3815707E-9	7.6331936E-12	530.69750E-15	-397.40175E-12	-496.24529E-3	-4.3789572E-9	7.6105268E-12	552.01709E-15
-494.99375E-3	-392.65297E-12	-494.99375E-3	-4.3802642E-9	7.6095406E-12	540.58738E-15	-392.43009E-12	-494.99375E-3	-4.3815707E-9	7.5251394E-12	597.66596E-15	-392.87584E-12	-494.99375E-3	-4.3789572E-9	7.6939418E-12	483.50880E-15	-395.54832E-12	-494.99375E-3	-4.3802642E-9	7.6144221E-12	535.57630E-15	-395.59489E-12	-494.99375E-3	-4.3815707E-9	7.6210288E-12	504.76604E-15	-395.50174E-12	-494.99375E-3	-4.3789572E-9	7.6078154E-12	566.38656E-15	-392.57742E-12	-494.99375E-3	-4.3802642E-9	7.5738435E-12	516.00461E-15	-392.42895E-12	-494.99375E-3	-4.3815707E-9	7.5782401E-12	513.13906E-15	-392.72588E-12	-494.99375E-3	-4.3789572E-9	7.5694477E-12	518.87016E-15	-395.64704E-12	-494.99375E-3	-4.3802642E-9	7.5928664E-12	532.70707E-15	-395.79875E-12	-494.99375E-3	-4.3815707E-9	7.6055152E-12	515.68103E-15	-395.49533E-12	-494.99375E-3	-4.3789572E-9	7.5802177E-12	549.73311E-15
-493.74217E-3	-391.12485E-12	-493.74217E-3	-4.3802642E-9	7.6490385E-12	480.88747E-15	-391.10601E-12	-493.74217E-3	-4.3815707E-9	7.6769294E-12	486.72530E-15	-391.14370E-12	-493.74217E-3	-4.3789572E-9	7.6211476E-12	475.04958E-15	-393.44825E-12	-493.74217E-3	-4.3802642E-9	7.5211174E-12	499.37490E-15	-394.07938E-12	-493.74217E-3	-4.3815707E-9	7.5054529E-12	460.49080E-15	-392.81711E-12	-493.74217E-3	-4.3789572E-9	7.5367811E-12	538.25900E-15	-390.88027E-12	-493.74217E-3	-4.3802642E-9	7.5528923E-12	517.52748E-15	-390.77350E-12	-493.74217E-3	-4.3815707E-9	7.5470871E-12	521.26554E-15	-390.98705E-12	-493.74217E-3	-4.3789572E-9	7.5586985E-12	513.78942E-15	-393.77643E-12	-493.74217E-3	-4.3802642E-9	7.5620196E-12	528.06983E-15	-394.07813E-12	-493.74217E-3	-4.3815707E-9	7.5771117E-12	514.04524E-15	-393.47475E-12	-493.74217E-3	-4.3789572E-9	7.5469266E-12	542.09442E-15
-492.49062E-3	-388.99484E-12	-492.49062E-3	-4.3802642E-9	7.4424512E-12	471.40774E-15	-388.96950E-12	-492.49062E-3	-4.3815707E-9	7.3698894E-12	394.60354E-15	-389.02015E-12	-492.49062E-3	-4.3789572E-9	7.5150121E-12	548.21192E-15	-392.15717E-12	-492.49062E-3	-4.3802642E-9	7.5205259E-12	557.04096E-15	-392.44089E-12	-492.49062E-3	-4.3815707E-9	7.5969708E-12	555.37953E-15	-391.87345E-12	-492.49062E-3	-4.3789572E-9	7.4440818E-12	558.70244E-15	-389.11091E-12	-492.49062E-3	-4.3802642E-9	7.5160399E-12	514.57796E-15	-389.01998E-12	-492.49062E-3	-4.3815707E-9	7.5106674E-12	519.61164E-15	-389.20181E-12	-492.49062E-3	-4.3789572E-9	7.5214123E-12	509.54428E-15	-391.91969E-12	-492.49062E-3	-4.3802642E-9	7.5339786E-12	521.98805E-15	-392.27521E-12	-492.49062E-3	-4.3815707E-9	7.5597376E-12	524.05432E-15	-391.56420E-12	-492.49062E-3	-4.3789572E-9	7.5082197E-12	519.92183E-15
-491.23904E-3	-387.20216E-12	-491.23904E-3	-4.3802642E-9	7.4827202E-12	597.09865E-15	-387.00620E-12	-491.23904E-3	-4.3815707E-9	7.5903329E-12	679.30828E-15	-387.39814E-12	-491.23904E-3	-4.3789572E-9	7.3751075E-12	514.88897E-15	-390.27936E-12	-491.23904E-3	-4.3802642E-9	7.5473343E-12	501.07732E-15	-390.74818E-12	-491.23904E-3	-4.3815707E-9	7.5447912E-12	553.93391E-15	-389.81057E-12	-491.23904E-3	-4.3789572E-9	7.5498774E-12	448.22070E-15	-387.31868E-12	-491.23904E-3	-4.3802642E-9	7.4583352E-12	515.59522E-15	-387.25556E-12	-491.23904E-3	-4.3815707E-9	7.4580776E-12	512.68234E-15	-387.38182E-12	-491.23904E-3	-4.3789572E-9	7.4585928E-12	518.50803E-15	-390.06390E-12	-491.23904E-3	-4.3802642E-9	7.5132921E-12	510.58327E-15	-390.38925E-12	-491.23904E-3	-4.3815707E-9	7.5430157E-12	527.98662E-15	-389.73855E-12	-491.23904E-3	-4.3789572E-9	7.4835676E-12	493.17993E-15
-489.98749E-3	-385.66156E-12	-489.98749E-3	-4.3802642E-9	7.4115523E-12	502.54397E-15	-385.59417E-12	-489.98749E-3	-4.3815707E-9	7.3582390E-12	512.90726E-15	-385.72895E-12	-489.98749E-3	-4.3789572E-9	7.4648647E-12	492.18073E-15	-387.88223E-12	-489.98749E-3	-4.3802642E-9	7.4890580E-12	505.25621E-15	-387.91850E-12	-489.98749E-3	-4.3815707E-9	7.5438015E-12	529.50054E-15	-387.84595E-12	-489.98749E-3	-4.3789572E-9	7.4343136E-12	481.01182E-15	-385.51620E-12	-489.98749E-3	-4.3802642E-9	7.4138881E-12	519.44153E-15	-385.52039E-12	-489.98749E-3	-4.3815707E-9	7.4028145E-12	497.48427E-15	-385.51204E-12	-489.98749E-3	-4.3789572E-9	7.4249617E-12	541.39874E-15	-388.18446E-12	-489.98749E-3	-4.3802642E-9	7.4878497E-12	489.79809E-15	-388.45155E-12	-489.98749E-3	-4.3815707E-9	7.5218876E-12	524.93470E-15	-387.91739E-12	-489.98749E-3	-4.3789572E-9	7.4538127E-12	454.66148E-15
-488.73591E-3	-383.78903E-12	-488.73591E-3	-4.3802642E-9	7.3340136E-12	449.92802E-15	-383.97172E-12	-488.73591E-3	-4.3815707E-9	7.2777695E-12	335.20005E-15	-383.60634E-12	-488.73591E-3	-4.3789572E-9	7.3902568E-12	564.65602E-15	-386.28101E-12	-488.73591E-3	-4.3802642E-9	7.4489165E-12	460.55808E-15	-386.61069E-12	-488.73591E-3	-4.3815707E-9	7.4598678E-12	463.75474E-15	-385.95133E-12	-488.73591E-3	-4.3789572E-9	7.4379660E-12	457.36142E-15	-383.69538E-12	-488.73591E-3	-4.3802642E-9	7.4048909E-12	529.95927E-15	-383.78037E-12	-488.73591E-3	-4.3815707E-9	7.3870814E-12	495.99658E-15	-383.61039E-12	-488.73591E-3	-4.3789572E-9	7.4227005E-12	563.92201E-15	-386.31826E-12	-488.73591E-3	-4.3802642E-9	7.4588547E-12	480.41437E-15	-386.58179E-12	-488.73591E-3	-4.3815707E-9	7.4802378E-12	522.85682E-15	-386.05472E-12	-488.73591E-3	-4.3789572E-9	7.4374725E-12	437.97190E-15
